Date,ARGX.BR
2015-08-24,9.619999885559082
2015-08-25,10.3100004196167
2015-08-26,10.010000228881836
2015-08-27,10.130000114440918
2015-08-28,10.130000114440918
2015-08-31,10.3100004196167
2015-09-01,10.140000343322754
2015-09-02,10.300000190734863
2015-09-03,10.239999771118164
2015-09-04,10.0
2015-09-07,10.050000190734863
2015-09-08,9.949999809265137
2015-09-09,9.920000076293945
2015-09-10,9.979999542236328
2015-09-11,9.930000305175781
2015-09-14,9.670000076293945
2015-09-15,9.569999694824219
2015-09-16,9.569999694824219
2015-09-17,9.609999656677246
2015-09-18,9.5
2015-09-21,9.460000038146973
2015-09-22,9.460000038146973
2015-09-23,9.550000190734863
2015-09-24,9.600000381469727
2015-09-25,9.260000228881836
2015-09-28,8.899999618530273
2015-09-29,8.899999618530273
2015-09-30,9.010000228881836
2015-10-01,9.100000381469727
2015-10-02,9.329999923706055
2015-10-05,9.649999618530273
2015-10-06,9.6899995803833
2015-10-07,9.399999618530273
2015-10-08,9.300000190734863
2015-10-09,9.550000190734863
2015-10-12,9.119999885559082
2015-10-13,9.130000114440918
2015-10-14,9.100000381469727
2015-10-15,9.109999656677246
2015-10-16,9.109999656677246
2015-10-19,9.109999656677246
2015-10-20,9.130000114440918
2015-10-21,9.029999732971191
2015-10-22,9.239999771118164
2015-10-23,9.100000381469727
2015-10-26,9.029999732971191
2015-10-27,9.020000457763672
2015-10-28,9.020000457763672
2015-10-29,9.010000228881836
2015-10-30,8.979999542236328
2015-11-02,8.850000381469727
2015-11-03,9.050000190734863
2015-11-04,9.210000038146973
2015-11-05,9.289999961853027
2015-11-06,9.220000267028809
2015-11-09,9.180000305175781
2015-11-10,9.100000381469727
2015-11-11,9.239999771118164
2015-11-12,9.15999984741211
2015-11-13,9.289999961853027
2015-11-16,9.050000190734863
2015-11-17,9.0600004196167
2015-11-18,9.050000190734863
2015-11-19,9.050000190734863
2015-11-20,9.100000381469727
2015-11-23,9.1899995803833
2015-11-24,9.319999694824219
2015-11-25,9.289999961853027
2015-11-26,9.319999694824219
2015-11-27,9.329999923706055
2015-11-30,9.5
2015-12-01,9.819999694824219
2015-12-02,9.829999923706055
2015-12-03,9.770000457763672
2015-12-04,9.75
2015-12-07,9.75
2015-12-08,9.649999618530273
2015-12-09,9.75
2015-12-10,9.75
2015-12-11,9.75
2015-12-14,9.75
2015-12-15,9.850000381469727
2015-12-16,9.979999542236328
2015-12-17,10.010000228881836
2015-12-18,10.010000228881836
2015-12-21,10.15999984741211
2015-12-22,10.210000038146973
2015-12-23,10.399999618530273
2015-12-24,10.430000305175781
2015-12-28,10.859999656677246
2015-12-29,11.279999732971191
2015-12-30,11.020000457763672
2016-01-04,11.199999809265137
2016-01-05,11.010000228881836
2016-01-06,11.489999771118164
2016-01-07,10.880000114440918
2016-01-08,10.680000305175781
2016-01-11,10.729999542236328
2016-01-12,10.670000076293945
2016-01-13,10.800000190734863
2016-01-14,10.630000114440918
2016-01-15,10.399999618530273
2016-01-18,10.489999771118164
2016-01-19,10.789999961853027
2016-01-20,10.329999923706055
2016-01-21,10.489999771118164
2016-01-22,10.550000190734863
2016-01-25,11.199999809265137
2016-01-26,11.0
2016-01-27,11.050000190734863
2016-01-28,11.0600004196167
2016-01-29,11.109999656677246
2016-02-01,10.819999694824219
2016-02-02,10.899999618530273
2016-02-03,10.899999618530273
2016-02-04,11.010000228881836
2016-02-05,11.0
2016-02-08,10.550000190734863
2016-02-09,10.359999656677246
2016-02-10,10.470000267028809
2016-02-11,10.25
2016-02-12,10.279999732971191
2016-02-15,10.420000076293945
2016-02-16,10.600000381469727
2016-02-17,10.609999656677246
2016-02-18,10.680000305175781
2016-02-19,10.760000228881836
2016-02-22,10.649999618530273
2016-02-23,10.600000381469727
2016-02-24,10.489999771118164
2016-02-25,10.449999809265137
2016-02-26,10.300000190734863
2016-02-29,10.100000381469727
2016-03-01,10.479999542236328
2016-03-02,10.100000381469727
2016-03-03,10.050000190734863
2016-03-04,10.039999961853027
2016-03-07,10.229999542236328
2016-03-08,10.149999618530273
2016-03-09,10.0600004196167
2016-03-10,9.949999809265137
2016-03-11,10.09000015258789
2016-03-14,10.0
2016-03-15,10.100000381469727
2016-03-16,10.0
2016-03-17,9.949999809265137
2016-03-18,10.399999618530273
2016-03-21,10.430000305175781
2016-03-22,10.130000114440918
2016-03-23,10.109999656677246
2016-03-24,10.5
2016-03-29,10.489999771118164
2016-03-30,10.5
2016-03-31,10.470000267028809
2016-04-01,10.470000267028809
2016-04-04,10.449999809265137
2016-04-05,10.399999618530273
2016-04-06,10.4399995803833
2016-04-07,10.630000114440918
2016-04-08,10.470000267028809
2016-04-11,10.350000381469727
2016-04-12,10.399999618530273
2016-04-13,10.380000114440918
2016-04-14,10.380000114440918
2016-04-15,10.40999984741211
2016-04-18,10.5
2016-04-19,10.5
2016-04-20,10.5
2016-04-21,12.0
2016-04-22,11.789999961853027
2016-04-25,11.550000190734863
2016-04-26,11.399999618530273
2016-04-27,11.5
2016-04-28,11.6899995803833
2016-04-29,11.649999618530273
2016-05-02,11.899999618530273
2016-05-03,11.779999732971191
2016-05-04,11.680000305175781
2016-05-05,11.600000381469727
2016-05-06,11.399999618530273
2016-05-09,11.449999809265137
2016-05-10,11.380000114440918
2016-05-11,11.34000015258789
2016-05-12,11.350000381469727
2016-05-13,11.210000038146973
2016-05-16,11.479999542236328
2016-05-17,11.479999542236328
2016-05-18,11.520000457763672
2016-05-19,11.59000015258789
2016-05-20,11.279999732971191
2016-05-23,11.0
