Date,3MINDIA.NS
2015-08-21,11369.29296875
2015-08-24,10325.0615234375
2015-08-25,10108.70703125
2015-08-26,9831.9853515625
2015-08-27,10276.416015625
2015-08-28,10515.021484375
2015-08-31,10280.751953125
2015-09-01,9796.298828125
2015-09-02,10350.3125
2015-09-03,10524.2646484375
2015-09-04,9989.642578125
2015-09-07,9831.603515625
2015-09-08,10458.0380859375
2015-09-09,10518.453125
2015-09-10,10324.4423828125
2015-09-11,10404.2470703125
2015-09-14,10456.5625
2015-09-15,10554.2333984375
2015-09-16,10441.029296875
2015-09-18,10412.15625
2015-09-21,10453.7509765625
2015-09-22,10282.419921875
2015-09-23,10348.7412109375
2015-09-24,10366.607421875
2015-09-28,10425.1630859375
2015-09-29,10416.015625
2015-09-30,10432.310546875
2015-10-01,10357.5546875
2015-10-05,10454.51171875
2015-10-06,10498.822265625
2015-10-07,11162.0380859375
2015-10-08,11181.3818359375
2015-10-09,11106.1513671875
2015-10-12,10964.3125
2015-10-13,10965.98046875
2015-10-14,10885.0791015625
2015-10-15,10942.1572265625
2015-10-16,10801.0810546875
2015-10-19,10813.4697265625
2015-10-20,10890.224609375
2015-10-21,11011.0048828125
2015-10-23,11612.3291015625
2015-10-26,11739.7314453125
2015-10-27,11544.72265625
2015-10-28,11282.388671875
2015-10-29,11250.6103515625
2015-10-30,11125.1611328125
2015-11-02,11323.2685546875
2015-11-03,11123.6357421875
2015-11-04,11151.4130859375
2015-11-05,10845.1533203125
2015-11-06,10789.455078125
2015-11-09,11083.662109375
2015-11-10,11014.673828125
2015-11-13,10910.85546875
2015-11-16,10690.9267578125
2015-11-17,10989.70703125
2015-11-18,11035.017578125
2015-11-19,11022.7236328125
2015-11-20,10896.275390625
2015-11-23,10863.2568359375
2015-11-24,10862.0185546875
2015-11-26,10927.005859375
2015-11-27,10983.9892578125
2015-11-30,10912.427734375
2015-12-01,10868.7373046875
2015-12-02,10773.3046875
2015-12-03,10748.48046875
2015-12-04,10647.90234375
2015-12-07,10664.0078125
2015-12-08,10489.435546875
2015-12-09,10122.619140625
2015-12-10,10296.0458984375
2015-12-11,10184.986328125
2015-12-14,10109.849609375
2015-12-15,10281.181640625
2015-12-16,10143.58203125
2015-12-17,10294.521484375
2015-12-18,10203.615234375
2015-12-21,10026.0908203125
2015-12-22,10083.7412109375
2015-12-23,10194.1337890625
2015-12-24,10116.7578125
2015-12-28,10096.509765625
2015-12-29,10686.8291015625
2015-12-30,10720.9912109375
2015-12-31,10860.68359375
2016-01-01,10788.6455078125
2016-01-04,10420.6845703125
2016-01-05,10276.369140625
2016-01-06,10143.2001953125
2016-01-07,10170.978515625
2016-01-08,10090.7919921875
2016-01-11,10152.111328125
2016-01-12,10155.064453125
2016-01-13,10019.0380859375
2016-01-14,9913.83984375
2016-01-15,9728.833984375
2016-01-18,9374.30859375
2016-01-19,9493.18359375
2016-01-20,9375.5009765625
2016-01-21,9364.58984375
2016-01-22,9457.9736328125
2016-01-25,9189.1611328125
2016-01-27,9073.00390625
2016-01-28,9255.8173828125
2016-01-29,9415.712890625
2016-02-01,9413.0439453125
2016-02-02,9415.8076171875
2016-02-03,9363.7314453125
2016-02-04,9425.765625
2016-02-05,9658.3203125
2016-02-08,10989.564453125
2016-02-09,11021.10546875
2016-02-10,10933.4853515625
2016-02-11,10203.7099609375
2016-02-12,10123.0
2016-02-15,10503.7294921875
2016-02-16,10521.0244140625
2016-02-17,10435.5966796875
2016-02-18,10343.26171875
2016-02-19,10339.1650390625
2016-02-22,10352.171875
2016-02-23,10215.3359375
2016-02-24,9819.55078125
2016-02-25,9814.30859375
2016-02-26,9862.478515625
2016-02-29,9893.1142578125
2016-03-01,10363.654296875
2016-03-02,10249.259765625
2016-03-03,10276.416015625
2016-03-04,10273.17578125
2016-03-08,10267.2685546875
2016-03-09,10271.9384765625
2016-03-10,10338.9267578125
2016-03-11,10234.822265625
2016-03-14,10209.5234375
