Date,NOS.LS
2015-08-24,3.5954582691192627
2015-08-25,3.7452685832977295
2015-08-26,3.6817896366119385
2015-08-27,3.6812820434570312
2015-08-28,3.6371006965637207
2015-08-31,3.658937692642212
2015-09-01,3.5807316303253174
2015-09-02,3.557371139526367
2015-09-03,3.6061224937438965
2015-09-04,3.6010444164276123
2015-09-07,3.600536346435547
2015-09-08,3.6233890056610107
2015-09-09,3.67417311668396
2015-09-10,3.664015293121338
2015-09-11,3.620850086212158
2015-09-14,3.6508121490478516
2015-09-15,3.6614766120910645
2015-09-16,3.70058012008667
2015-09-17,3.6614766120910645
2015-09-18,3.621865749359131
2015-09-21,3.6645233631134033
2015-09-22,3.608154296875
2015-09-23,3.597489833831787
2015-09-24,3.6076462268829346
2015-09-25,3.7173383235931396
2015-09-28,3.713275671005249
2015-09-29,3.68686842918396
2015-09-30,3.7432377338409424
2015-10-01,3.7219088077545166
2015-10-02,3.7447609901428223
2015-10-05,3.7879269123077393
2015-10-06,3.787419319152832
2015-10-07,3.6833136081695557
2015-10-08,3.738159418106079
2015-10-09,3.726987600326538
2015-10-12,3.696009397506714
2015-10-13,3.6630001068115234
2015-10-14,3.6198344230651855
2015-10-15,3.6411631107330322
2015-10-16,3.639131784439087
2015-10-19,3.6675703525543213
2015-10-20,3.677726984024048
2015-10-21,3.6452255249023438
2015-10-22,3.668586254119873
2015-10-23,3.757965087890625
2015-10-26,3.7924981117248535
2015-10-27,3.7848801612854004
2015-10-28,3.756948947906494
2015-10-29,3.840742349624634
2015-10-30,3.838710308074951
2015-11-02,3.8437888622283936
2015-11-03,3.846834659576416
2015-11-04,3.7808172702789307
2015-11-05,3.8270301818847656
2015-11-06,3.7818329334259033
2015-11-09,3.6244049072265625
2015-11-10,3.6203420162200928
2015-11-11,3.677219867706299
2015-11-12,3.6614766120910645
2015-11-13,3.631514072418213
2015-11-16,3.6259279251098633
2015-11-17,3.7716763019561768
2015-11-18,3.711751699447632
2015-11-19,3.75034761428833
2015-11-20,3.7823410034179688
2015-11-23,3.755425214767456
2015-11-24,3.737651824951172
2015-11-25,3.7498395442962646
2015-11-26,3.7452685832977295
2015-11-27,3.756441593170166
