Date,MSCI
2015-08-03,60.554840087890625
2015-08-04,60.03482437133789
2015-08-05,60.6086311340332
2015-08-06,59.63136291503906
2015-08-07,59.37134552001953
2015-08-10,59.88240051269531
2015-08-11,58.77064895629883
2015-08-12,57.33611297607422
2015-08-13,57.039222717285156
2015-08-14,57.6510124206543
2015-08-17,57.983890533447266
2015-08-18,57.956886291503906
2015-08-19,57.83095169067383
2015-08-20,56.44545364379883
2015-08-21,55.19489669799805
2015-08-24,52.34294128417969
2015-08-25,51.98306655883789
2015-08-26,54.10629653930664
2015-08-27,55.46480178833008
2015-08-28,55.92363739013672
2015-08-31,54.44816970825195
2015-09-01,52.684810638427734
2015-09-02,53.88139343261719
2015-09-03,53.683448791503906
2015-09-04,52.774776458740234
2015-09-08,54.80803298950195
2015-09-09,54.06130599975586
2015-09-10,54.754058837890625
2015-09-11,54.89801025390625
2015-09-14,53.84540939331055
2015-09-15,54.63710403442383
2015-09-16,54.56513595581055
2015-09-17,54.61911392211914
2015-09-18,54.08829116821289
2015-09-21,55.61774826049805
2015-09-22,54.853031158447266
2015-09-23,55.248878479003906
2015-09-24,54.4031982421875
2015-09-25,55.167903900146484
2015-09-28,53.02668380737305
2015-09-29,52.39693069458008
2015-09-30,53.49451446533203
2015-10-01,52.13601303100586
2015-10-02,52.69381332397461
2015-10-05,53.28759765625
2015-10-06,52.72979736328125
2015-10-07,53.368553161621094
2015-10-08,53.9173698425293
2015-10-09,53.980342864990234
2015-10-12,54.42118453979492
2015-10-13,54.11529541015625
2015-10-14,53.251609802246094
2015-10-15,53.84540939331055
2015-10-16,54.142276763916016
2015-10-19,54.69108963012695
2015-10-20,54.7900505065918
2015-10-21,54.394203186035156
2015-10-22,54.95199966430664
2015-10-23,55.59974670410156
2015-10-26,56.47243881225586
2015-10-27,55.34783935546875
2015-10-28,56.72433853149414
2015-10-29,58.946537017822266
2015-10-30,60.278045654296875
2015-11-02,63.92173385620117
2015-11-03,63.16600036621094
2015-11-04,62.491241455078125
2015-11-05,61.73552322387695
2015-11-06,60.988773345947266
2015-11-09,59.81922149658203
2015-11-10,60.703819274902344
2015-11-11,60.73994445800781
2015-11-12,60.270538330078125
2015-11-13,59.76505661010742
2015-11-16,61.40789794921875
2015-11-17,62.455013275146484
2015-11-18,62.64453887939453
2015-11-19,62.66261672973633
2015-11-20,62.590370178222656
2015-11-23,62.75286865234375
2015-11-24,63.25834655761719
2015-11-25,63.1500358581543
2015-11-27,63.73676681518555
2015-11-30,63.294464111328125
2015-12-01,63.69161605834961
2015-12-02,63.5381965637207
2015-12-03,62.861183166503906
2015-12-04,64.87413024902344
2015-12-07,63.79092025756836
2015-12-08,63.61943054199219
2015-12-09,62.66261672973633
2015-12-10,63.1409912109375
2015-12-11,62.102928161621094
2015-12-14,62.843109130859375
2015-12-15,63.484004974365234
2015-12-16,64.5220947265625
2015-12-17,63.989505767822266
2015-12-18,64.55818176269531
2015-12-21,64.96437072753906
2015-12-22,64.57621765136719
2015-12-23,65.15391540527344
2015-12-24,65.30736541748047
2015-12-28,65.3344497680664
2015-12-29,65.75873565673828
2015-12-30,65.52400970458984
2015-12-31,65.10877990722656
2016-01-04,63.73676681518555
2016-01-05,64.21516418457031
2016-01-06,63.71870422363281
2016-01-07,62.725772857666016
2016-01-08,61.8321533203125
2016-01-11,61.4981575012207
2016-01-12,62.464012145996094
2016-01-13,61.16419219970703
2016-01-14,61.38083267211914
2016-01-15,60.884342193603516
2016-01-19,60.10805130004883
2016-01-20,59.07001876831055
2016-01-21,59.19639205932617
2016-01-22,60.46913528442383
2016-01-25,59.855308532714844
2016-01-26,59.647708892822266
2016-01-27,59.76505661010742
2016-01-28,60.07196044921875
2016-01-29,62.139068603515625
2016-02-01,61.14612579345703
2016-02-02,60.28858947753906
2016-02-03,59.864349365234375
2016-02-04,60.37885284423828
2016-02-05,58.93461990356445
2016-02-08,57.011959075927734
2016-02-09,58.745059967041016
2016-02-10,59.59355926513672
2016-02-11,58.90753173828125
2016-02-12,60.71285629272461
2016-02-16,61.90434265136719
2016-02-17,63.44382095336914
2016-02-18,63.96904754638672
2016-02-19,64.79312896728516
2016-02-22,65.95223999023438
2016-02-23,65.87979888916016
2016-02-24,64.70254516601562
2016-02-25,65.70771789550781
2016-02-26,65.61717987060547
2016-02-29,63.86037826538086
2016-03-01,64.75688934326172
2016-03-02,64.15919494628906
2016-03-03,63.47098922729492
2016-03-04,62.93669891357422
2016-03-07,63.35326385498047
2016-03-08,62.21223068237305
2016-03-09,62.90048599243164
2016-03-10,62.43865203857422
2016-03-11,63.04534912109375
2016-03-14,63.126895904541016
2016-03-15,62.76463317871094
2016-03-16,63.18120574951172
2016-03-17,63.59777069091797
2016-03-18,64.53954315185547
2016-03-21,64.63916778564453
2016-03-22,64.86555480957031
2016-03-23,64.83838653564453
2016-03-24,64.05960845947266
2016-03-28,64.63013458251953
2016-03-29,65.8073501586914
2016-03-30,66.24199676513672
2016-03-31,67.08419799804688
2016-04-01,67.56411743164062
2016-04-04,67.19282531738281
2016-04-05,66.82157897949219
2016-04-06,67.83580780029297
2016-04-07,66.7581787109375
2016-04-08,66.5046157836914
2016-04-11,66.23296356201172
2016-04-12,66.7944107055664
2016-04-13,67.07514190673828
2016-04-14,67.32869720458984
2016-04-15,67.5912857055664
2016-04-18,68.46062469482422
2016-04-19,68.75947570800781
2016-04-20,68.42442321777344
2016-04-21,68.06217956542969
2016-04-22,68.27046966552734
2016-04-25,68.2251968383789
2016-04-26,68.79571533203125
2016-04-27,69.14885711669922
