Date,WEIR.L
2015-08-24,1273.5435791015625
2015-08-25,1329.435791015625
2015-08-26,1355.3857421875
2015-08-27,1390.318115234375
2015-08-28,1401.2967529296875
2015-09-01,1352.39111328125
2015-09-02,1340.4144287109375
2015-09-03,1325.4434814453125
2015-09-04,1275.539306640625
2015-09-07,1274.5416259765625
2015-09-08,1277.5360107421875
2015-09-09,1271.5472412109375
2015-09-10,1253.58203125
2015-09-11,1241.60498046875
2015-09-14,1235.616455078125
2015-09-15,1295.5010986328125
2015-09-16,1315.4625244140625
2015-09-17,1281.528076171875
2015-09-18,1242.6029052734375
2015-09-21,1232.6224365234375
2015-09-22,1171.7398681640625
2015-09-23,1181.7205810546875
2015-09-24,1137.80517578125
2015-09-25,1163.7550048828125
2015-09-28,1111.8553466796875
2015-09-29,1141.797607421875
2015-09-30,1167.747314453125
2015-10-01,1178.726318359375
2015-10-02,1221.6436767578125
2015-10-05,1298.4951171875
2015-10-06,1315.4625244140625
2015-10-07,1400.2987060546875
2015-10-08,1364.51416015625
2015-10-09,1394.4595947265625
2015-10-12,1345.5487060546875
2015-10-13,1274.677978515625
2015-10-14,1253.716064453125
2015-10-15,1239.7413330078125
2015-10-16,1161.8834228515625
2015-10-19,1139.9232177734375
2015-10-20,1152.8997802734375
2015-10-21,1080.0322265625
2015-10-22,1053.0816650390625
2015-10-23,1089.0159912109375
2015-10-26,1089.0159912109375
2015-10-27,1025.1322021484375
2015-10-28,1048.0906982421875
2015-10-29,1041.103515625
2015-10-30,1065.0595703125
2015-11-02,1073.0450439453125
2015-11-03,1134.932373046875
2015-11-04,1144.9141845703125
2015-11-05,1154.89599609375
2015-11-06,1130.9395751953125
2015-11-09,1150.903076171875
2015-11-10,1140.9215087890625
2015-11-11,1144.9141845703125
2015-11-12,1085.023193359375
2015-11-13,1088.0177001953125
2015-11-16,1095.005126953125
2015-11-17,1126.9471435546875
2015-11-18,1139.9232177734375
2015-11-19,1128.9432373046875
2015-11-20,1131.9378662109375
2015-11-23,1132.93603515625
2015-11-24,1125.948974609375
2015-11-25,1143.916015625
2015-11-26,1194.823486328125
2015-11-27,1171.8651123046875
2015-11-30,1199.8143310546875
2015-12-01,1154.89599609375
2015-12-02,1126.9471435546875
2015-12-03,1105.9852294921875
2015-12-04,1068.0543212890625
2015-12-07,1042.101806640625
2015-12-08,1034.1160888671875
2015-12-09,1047.0924072265625
2015-12-10,1041.103515625
2015-12-11,980.7133178710938
2015-12-14,957.755126953125
2015-12-15,965.2415161132812
2015-12-16,961.7478637695312
2015-12-17,946.2760009765625
2015-12-18,928.308837890625
2015-12-21,937.2922973632812
2015-12-22,952.7642211914062
2015-12-23,1016.1488037109375
2015-12-24,987.7005615234375
2015-12-29,997.6824951171875
2015-12-30,988.69873046875
2015-12-31,998.1815795898438
2016-01-04,952.26513671875
2016-01-05,928.8078002929688
2016-01-06,906.3488159179688
2016-01-07,871.4124755859375
2016-01-08,851.4489135742188
2016-01-11,848.9534301757812
2016-01-12,850.4505615234375
2016-01-13,872.90966796875
2016-01-14,889.3797607421875
2016-01-15,849.9514770507812
2016-01-18,828.9898071289062
2016-01-19,838.9716186523438
2016-01-20,805.53271484375
2016-01-21,848.4542846679688
2016-01-22,884.3888549804688
2016-01-25,841.966064453125
2016-01-26,852.946044921875
2016-01-27,860.432373046875
2016-01-28,865.4234008789062
2016-01-29,863.427001953125
2016-02-01,865.9224853515625
