Date,SSE.L
2015-08-24,1392.267822265625
2015-08-25,1436.0247802734375
2015-08-26,1412.1573486328125
2015-08-27,1451.9365234375
2015-08-28,1462.8758544921875
2015-09-01,1453.9254150390625
2015-09-02,1452.9310302734375
2015-09-03,1466.8536376953125
2015-09-04,1433.0413818359375
2015-09-07,1449.947509765625
2015-09-08,1469.8370361328125
2015-09-09,1477.7928466796875
2015-09-10,1457.9031982421875
2015-09-11,1439.00830078125
2015-09-14,1438.013916015625
2015-09-15,1434.0357666015625
2015-09-16,1444.9752197265625
2015-09-17,1429.0634765625
2015-09-18,1420.1134033203125
2015-09-21,1438.013916015625
2015-09-22,1409.174072265625
2015-09-23,1437.01953125
2015-09-24,1417.129638671875
2015-09-25,1443.9803466796875
2015-09-28,1429.0634765625
2015-09-29,1429.0634765625
2015-09-30,1487.73779296875
2015-10-01,1487.73779296875
2015-10-02,1515.5828857421875
2015-10-05,1543.4285888671875
2015-10-06,1538.4559326171875
2015-10-07,1530.5001220703125
2015-10-08,1550.3897705078125
2015-10-09,1548.400634765625
2015-10-12,1537.46142578125
2015-10-13,1535.472900390625
2015-10-14,1528.510986328125
2015-10-15,1545.4173583984375
2015-10-16,1547.4061279296875
2015-10-19,1545.4173583984375
2015-10-20,1551.384033203125
2015-10-21,1554.36767578125
2015-10-22,1566.30126953125
2015-10-23,1569.2847900390625
2015-10-26,1569.2847900390625
2015-10-27,1534.47802734375
2015-10-28,1546.4117431640625
2015-10-29,1511.605224609375
2015-10-30,1506.6326904296875
2015-11-02,1510.6103515625
2015-11-03,1520.5552978515625
2015-11-04,1530.5001220703125
2015-11-05,1525.52783203125
2015-11-06,1483.759765625
2015-11-09,1460.8865966796875
2015-11-10,1483.759765625
2015-11-11,1436.0247802734375
2015-11-12,1433.0413818359375
2015-11-13,1426.0799560546875
2015-11-16,1430.0576171875
2015-11-17,1456.908935546875
2015-11-18,1454.919921875
2015-11-19,1466.8536376953125
2015-11-20,1461.8814697265625
2015-11-23,1440.0029296875
2015-11-24,1421.1075439453125
2015-11-25,1447.9583740234375
2015-11-26,1450.9417724609375
2015-11-27,1451.9365234375
2015-11-30,1426.0799560546875
2015-12-01,1450.9417724609375
2015-12-02,1453.9254150390625
