Date,TXT
2015-08-03,42.61079406738281
2015-08-04,42.512245178222656
2015-08-05,42.6305046081543
2015-08-06,42.28559875488281
2015-08-07,41.83226776123047
2015-08-10,43.2119140625
2015-08-11,42.3348503112793
2015-08-12,41.911109924316406
2015-08-13,42.34470748901367
2015-08-14,42.935977935791016
2015-08-17,43.073944091796875
2015-08-18,43.05424880981445
2015-08-19,42.76845932006836
2015-08-20,41.12275314331055
2015-08-21,39.18143081665039
2015-08-24,37.831363677978516
2015-08-25,36.46159362792969
2015-08-26,37.44704055786133
2015-08-27,38.83651351928711
2015-08-28,39.132164001464844
2015-08-31,38.23538589477539
2015-09-01,36.62912368774414
2015-09-02,38.01860809326172
2015-09-03,38.23538589477539
2015-09-04,38.087581634521484
2015-09-08,39.674156188964844
2015-09-09,39.7037239074707
2015-09-10,39.81218338012695
2015-09-11,39.94035720825195
2015-09-14,39.75302505493164
2015-09-15,40.35444641113281
2015-09-16,40.64036178588867
2015-09-17,40.098114013671875
2015-09-18,39.02344512939453
2015-09-21,39.00371170043945
2015-09-22,37.98820114135742
2015-09-23,37.54452896118164
2015-09-24,37.74170684814453
2015-09-25,37.73185348510742
2015-09-28,36.96282958984375
2015-09-29,36.90367126464844
2015-09-30,37.11070251464844
2015-10-01,37.554386138916016
2015-10-02,37.88959503173828
2015-10-05,38.816383361816406
2015-10-06,39.00371170043945
2015-10-07,39.65443420410156
2015-10-08,40.522056579589844
2015-10-09,40.679805755615234
2015-10-12,40.6305046081543
2015-10-13,40.10796356201172
2015-10-14,39.51639938354492
2015-10-15,39.289634704589844
2015-10-16,38.54031753540039
2015-10-19,37.96847915649414
2015-10-20,38.254390716552734
2015-10-21,38.04734420776367
2015-10-22,38.61918258666992
2015-10-23,38.48117446899414
2015-10-26,38.274112701416016
2015-10-27,39.86147689819336
2015-10-28,41.389686584472656
2015-10-29,41.24180603027344
2015-10-30,41.57701110839844
2015-11-02,42.257301330566406
2015-11-03,41.45871353149414
2015-11-04,41.2713737487793
2015-11-05,41.37981414794922
2015-11-06,41.389686584472656
2015-11-09,40.6305046081543
2015-11-10,40.522056579589844
2015-11-11,40.60093307495117
2015-11-12,40.32487487792969
2015-11-13,40.43331527709961
2015-11-16,41.84321212768555
2015-11-17,41.20234680175781
2015-11-18,41.99110794067383
2015-11-19,42.710838317871094
2015-11-20,43.00662612915039
2015-11-23,42.79957580566406
2015-11-24,42.572792053222656
2015-11-25,42.720699310302734
2015-11-27,42.63196563720703
2015-11-30,42.069976806640625
2015-12-01,42.11928176879883
2015-12-02,41.15305709838867
2015-12-03,40.591068267822266
2015-12-04,41.48828887939453
2015-12-07,41.31080627441406
2015-12-08,40.60093307495117
2015-12-09,40.90673065185547
2015-12-10,41.03495788574219
2015-12-11,40.30499267578125
2015-12-14,40.6897087097168
2015-12-15,40.80809020996094
2015-12-16,42.031246185302734
2015-12-17,40.85740661621094
2015-12-18,40.45296096801758
2015-12-21,40.74889373779297
2015-12-22,41.49857711791992
2015-12-23,42.19892883300781
2015-12-24,42.11015701293945
2015-12-28,41.981910705566406
2015-12-29,42.39621353149414
2015-12-30,41.87339782714844
2015-12-31,41.43938064575195
2016-01-04,40.936317443847656
2016-01-05,41.03495788574219
2016-01-06,39.80193328857422
2016-01-07,38.983211517333984
2016-01-08,38.53932571411133
2016-01-11,38.36176300048828
2016-01-12,38.549190521240234
2016-01-13,37.43453598022461
2016-01-14,37.444393157958984
2016-01-15,36.84268569946289
2016-01-19,36.30015563964844
2016-01-20,35.866127014160156
2016-01-21,36.01408386230469
2016-01-22,36.941322326660156
2016-01-25,36.329750061035156
2016-01-26,37.21752166748047
2016-01-27,32.24599075317383
2016-01-28,33.133750915527344
2016-01-29,33.75520324707031
2016-02-01,32.73918914794922
2016-02-02,31.328615188598633
2016-02-03,31.84154510498047
2016-02-04,31.861276626586914
2016-02-05,31.861276626586914
2016-02-08,32.03883361816406
2016-02-09,31.594940185546875
2016-02-10,31.565349578857422
2016-02-11,30.687437057495117
2016-02-12,31.644268035888672
2016-02-16,32.39394760131836
2016-02-17,32.84769058227539
2016-02-18,33.29158020019531
2016-02-19,32.82796859741211
2016-02-22,33.69601058959961
2016-02-23,33.4296760559082
2016-02-24,33.53818893432617
2016-02-25,34.04125213623047
2016-02-26,34.080711364746094
2016-02-29,33.68614959716797
2016-03-01,34.031394958496094
2016-03-02,33.70588684082031
2016-03-03,33.18306350708008
2016-03-04,32.55176544189453
2016-03-07,32.47285842895508
2016-03-08,32.068424224853516
2016-03-09,32.729740142822266
2016-03-10,32.532318115234375
2016-03-11,33.46013641357422
2016-03-14,33.410789489746094
2016-03-15,33.07518005371094
2016-03-16,33.775978088378906
2016-03-17,34.516258239746094
2016-03-18,35.70066452026367
2016-03-21,35.88820266723633
2016-03-22,36.13495635986328
2016-03-23,36.11521530151367
2016-03-24,35.6908073425293
2016-03-28,35.562477111816406
2016-03-29,35.68093490600586
2016-03-30,35.84872055053711
2016-03-31,35.98690414428711
2016-04-01,36.21391677856445
2016-04-04,36.12508010864258
2016-04-05,35.92768859863281
2016-04-06,36.431068420410156
2016-04-07,36.391597747802734
2016-04-08,36.204044342041016
2016-04-11,36.34222412109375
2016-04-12,36.66794967651367
2016-04-13,37.566158294677734
2016-04-14,37.46744155883789
2016-04-15,37.26017761230469
2016-04-18,37.437835693359375
2016-04-19,37.556278228759766
2016-04-20,39.39213180541992
2016-04-21,39.03682327270508
2016-04-22,39.26382064819336
2016-04-25,38.484092712402344
2016-04-26,39.23423385620117
2016-04-27,39.36252975463867
