Date,HON
2015-08-03,81.12841033935547
2015-08-04,81.06646728515625
2015-08-05,81.92656707763672
2015-08-06,81.9730453491211
2015-08-07,81.71734619140625
2015-08-10,83.14307403564453
2015-08-11,81.64762878417969
2015-08-12,81.7793197631836
2015-08-13,81.76383972167969
2015-08-14,82.19778442382812
2015-08-17,82.35272979736328
2015-08-18,82.70156860351562
2015-08-19,81.79053497314453
2015-08-20,79.92176818847656
2015-08-21,76.99397277832031
2015-08-24,74.19081115722656
2015-08-25,73.13961791992188
2015-08-26,76.1763916015625
2015-08-27,77.78043365478516
2015-08-28,77.88166046142578
2015-08-31,77.29766082763672
2015-09-01,74.72029113769531
2015-09-02,76.3165512084961
2015-09-03,76.75260162353516
2015-09-04,75.21083068847656
2015-09-08,77.71813201904297
2015-09-09,76.97840881347656
2015-09-10,77.51567840576172
2015-09-11,77.57020568847656
2015-09-14,77.25872802734375
2015-09-15,78.11524200439453
2015-09-16,78.61359405517578
2015-09-17,78.27877807617188
2015-09-18,76.33989715576172
2015-09-21,76.10629272460938
2015-09-22,74.78260803222656
2015-09-23,73.65354919433594
2015-09-24,72.8982162475586
2015-09-25,72.82036590576172
2015-09-28,71.31754302978516
2015-09-29,72.04169464111328
2015-09-30,73.73139953613281
2015-10-01,73.74696350097656
2015-10-02,75.17191314697266
2015-10-05,76.60466003417969
2015-10-06,76.47227478027344
2015-10-07,77.46895599365234
2015-10-08,78.69927978515625
2015-10-09,78.76932525634766
2015-10-12,79.03409576416016
2015-10-13,77.7259292602539
2015-10-14,76.51123809814453
2015-10-15,76.69808197021484
2015-10-16,75.553466796875
2015-10-19,75.67027282714844
2015-10-20,76.52681732177734
2015-10-21,76.90834045410156
2015-10-22,79.87505340576172
2015-10-23,80.30331420898438
2015-10-26,80.03077697753906
2015-10-27,79.77381896972656
2015-10-28,80.6537094116211
2015-10-29,80.1553726196289
2015-10-30,80.42009735107422
2015-11-02,81.12089538574219
2015-11-03,80.70820617675781
2015-11-04,80.49017333984375
2015-11-05,80.66928100585938
2015-11-06,80.9807357788086
2015-11-09,79.97626495361328
2015-11-10,79.73485565185547
2015-11-11,80.40452575683594
2015-11-12,79.4000473022461
2015-11-13,78.7070541381836
2015-11-16,80.17093658447266
2015-11-17,80.1121826171875
2015-11-18,81.49844360351562
