Date,HDFCLIFE.NS
2017-11-17,336.698486328125
2017-11-20,347.2019348144531
2017-11-21,376.4652099609375
2017-11-22,386.13824462890625
2017-11-23,366.25482177734375
2017-11-24,362.20001220703125
2017-11-27,371.6287841796875
2017-11-28,373.4363098144531
2017-11-29,369.1372375488281
2017-11-30,362.981689453125
2017-12-01,364.2030029296875
2017-12-04,354.4811096191406
2017-12-05,354.0414733886719
2017-12-06,359.9039001464844
2017-12-07,379.3964538574219
2017-12-08,380.3734436035156
2017-12-11,372.0684509277344
2017-12-12,374.9996337890625
2017-12-13,372.0684509277344
2017-12-14,375.4881591796875
2017-12-15,373.97808837890625
2017-12-18,370.10498046875
2017-12-19,367.6046142578125
2017-12-20,367.8497314453125
2017-12-21,368.7322082519531
2017-12-22,367.2614440917969
2017-12-26,369.2224426269531
2017-12-27,367.5555725097656
2017-12-28,370.5953063964844
2017-12-29,378.4886169433594
2018-01-01,382.067626953125
2018-01-02,387.8037414550781
2018-01-03,378.1454162597656
2018-01-04,391.2356262207031
2018-01-05,399.0799560546875
2018-01-08,413.88616943359375
2018-01-09,427.0253601074219
2018-01-10,420.89697265625
2018-01-11,438.0074462890625
2018-01-12,447.07745361328125
2018-01-15,465.60968017578125
2018-01-16,473.2578430175781
2018-01-17,469.090576171875
2018-01-18,475.61114501953125
2018-01-19,472.13018798828125
2018-01-22,461.05010986328125
2018-01-23,449.6268310546875
2018-01-24,446.39105224609375
2018-01-25,439.77239990234375
2018-01-29,436.6836853027344
2018-01-30,413.6409912109375
2018-01-31,418.6907958984375
2018-02-01,439.5272216796875
2018-02-02,433.79107666015625
2018-02-05,433.104736328125
2018-02-06,430.26116943359375
2018-02-07,425.0152587890625
2018-02-08,432.90863037109375
2018-02-09,430.9965515136719
2018-02-12,433.15374755859375
2018-02-14,423.4954528808594
2018-02-15,423.5934753417969
2018-02-16,423.0541687011719
2018-02-19,427.4176025390625
2018-02-20,426.0448303222656
2018-02-21,440.8509826660156
2018-02-22,442.0276184082031
2018-02-23,459.7264099121094
2018-02-26,459.18707275390625
2018-02-27,459.87347412109375
2018-02-28,452.22528076171875
2018-03-01,442.1747131347656
2018-03-05,444.0867614746094
2018-03-06,438.644775390625
2018-03-07,429.03546142578125
2018-03-08,422.17169189453125
2018-03-09,417.26898193359375
2018-03-12,422.02459716796875
2018-03-13,433.3498840332031
2018-03-14,436.58563232421875
2018-03-15,439.8704528808594
2018-03-16,434.673583984375
2018-03-19,417.6121826171875
2018-03-20,414.62152099609375
2018-03-21,414.2783203125
2018-03-22,419.1810607910156
2018-03-23,420.7989501953125
2018-03-26,429.03546142578125
2018-03-27,439.91949462890625
2018-03-28,445.60662841796875
2018-04-02,473.2578430175781
2018-04-03,483.9947814941406
2018-04-04,486.20098876953125
2018-04-05,488.2601013183594
2018-04-06,486.6912536621094
2018-04-09,482.4259338378906
2018-04-10,493.7511291503906
2018-04-11,490.02508544921875
2018-04-12,489.8780212402344
2018-04-13,490.0740966796875
2018-04-16,485.1224365234375
2018-04-17,481.739501953125
2018-04-18,483.5535583496094
2018-04-19,493.7021179199219
2018-04-20,486.0049133300781
2018-04-23,483.9947814941406
2018-04-24,489.8289489746094
2018-04-25,500.6639709472656
2018-04-26,522.6771240234375
2018-04-27,509.0476379394531
2018-04-30,507.96893310546875
2018-05-02,500.0266418457031
2018-05-03,486.34808349609375
2018-05-04,490.6134338378906
2018-05-07,490.17218017578125
2018-05-08,500.0266418457031
2018-05-09,504.73321533203125
2018-05-10,507.5767822265625
2018-05-11,513.1168212890625
2018-05-14,529.4918212890625
2018-05-15,496.6437072753906
2018-05-16,487.8678894042969
2018-05-17,484.6811828613281
2018-05-18,484.3379821777344
2018-05-21,480.12164306640625
2018-05-22,472.228271484375
2018-05-23,467.0804443359375
2018-05-24,465.80572509765625
2018-05-25,472.13018798828125
2018-05-28,481.69049072265625
2018-05-29,484.632080078125
2018-05-30,491.4469299316406
2018-05-31,481.5924377441406
2018-06-01,479.33721923828125
2018-06-04,464.62908935546875
2018-06-05,455.3139343261719
2018-06-06,458.1084899902344
2018-06-07,461.393310546875
2018-06-08,462.962158203125
2018-06-11,476.3955993652344
2018-06-12,493.407958984375
2018-06-13,481.69049072265625
2018-06-14,472.13018798828125
2018-06-15,460.60888671875
2018-06-18,469.8749694824219
2018-06-19,465.5115661621094
2018-06-20,464.1878662109375
2018-06-21,463.2073059082031
2018-06-22,462.2267761230469
2018-06-25,458.1084899902344
2018-06-26,458.6968078613281
2018-06-27,459.579345703125
2018-06-28,451.7840270996094
2018-06-29,447.2735595703125
2018-07-02,449.43072509765625
2018-07-03,450.36224365234375
2018-07-04,451.0486145019531
2018-07-05,452.7645568847656
2018-07-06,459.579345703125
2018-07-09,465.364501953125
2018-07-10,466.4430847167969
2018-07-11,459.7754211425781
2018-07-12,469.77691650390625
2018-07-13,462.37384033203125
2018-07-16,450.90155029296875
2018-07-17,455.4610595703125
2018-07-18,464.6781005859375
2018-07-19,461.8345947265625
2018-07-20,480.0726013183594
2018-07-23,473.5520324707031
2018-07-24,470.80645751953125
2018-07-25,484.7301940917969
2018-07-26,479.8764953613281
2018-07-27,498.50677490234375
2018-07-30,485.56365966796875
2018-07-31,492.9176940917969
2018-08-01,486.1029357910156
2018-08-02,483.5044860839844
2018-08-03,476.9349060058594
2018-08-06,475.9543151855469
2018-08-07,468.7964172363281
2018-08-08,458.8929138183594
2018-08-09,456.8828430175781
2018-08-10,455.853271484375
2018-08-13,455.06884765625
2018-08-14,458.9909362792969
2018-08-16,452.22528076171875
