Date,ANDINA-B.SN
2015-08-24,1384.66259765625
2015-08-25,1422.980712890625
2015-08-26,1461.9581298828125
2015-08-27,1547.30029296875
2015-08-28,1537.5391845703125
2015-08-31,1567.9427490234375
2015-09-01,1491.833984375
2015-09-02,1427.7288818359375
2015-09-03,1483.1947021484375
2015-09-04,1448.833740234375
2015-09-07,1453.5821533203125
2015-09-08,1406.1629638671875
2015-09-09,1391.32373046875
2015-09-10,1447.778564453125
2015-09-11,1524.2828369140625
2015-09-14,1597.0936279296875
2015-09-15,1630.729736328125
2015-09-16,1652.8233642578125
2015-09-17,1625.123291015625
2015-09-21,1638.3134765625
2015-09-22,1645.964599609375
2015-09-23,1772.2620849609375
2015-09-24,1802.138671875
2015-09-25,1700.4404296875
2015-09-28,1591.09228515625
2015-09-29,1569.9215087890625
2015-09-30,1588.7838134765625
2015-10-01,1562.996337890625
2015-10-02,1526.0633544921875
2015-10-05,1554.6868896484375
2015-10-06,1622.8148193359375
2015-10-07,1619.715087890625
2015-10-08,1594.5875244140625
2015-10-09,1648.0748291015625
2015-10-13,1653.4169921875
2015-10-14,1661.858642578125
2015-10-15,1658.2972412109375
2015-10-16,1738.956298828125
2015-10-19,1725.1064453125
2015-10-20,1751.421630859375
2015-10-21,1753.927734375
2015-10-22,1780.24267578125
2015-10-23,1721.8748779296875
2015-10-26,1664.59619140625
2015-10-27,1658.689697265625
2015-10-28,1638.379638671875
2015-10-29,1684.8399658203125
2015-10-30,1683.1802978515625
2015-11-02,1681.5211181640625
2015-11-03,1674.55224609375
2015-11-04,1663.7999267578125
2015-11-05,1628.6893310546875
2015-11-06,1622.05224609375
2015-11-09,1611.3662109375
2015-11-10,1595.5035400390625
2015-11-11,1605.592041015625
2015-11-12,1580.5703125
2015-11-13,1564.7740478515625
2015-11-16,1560.79150390625
2015-11-17,1505.9688720703125
2015-11-18,1483.6019287109375
2015-11-19,1508.82275390625
2015-11-20,1603.3358154296875
2015-11-23,1566.49951171875
2015-11-24,1566.3006591796875
2015-11-25,1525.7471923828125
2015-11-26,1533.1812744140625
2015-11-27,1507.7603759765625
2015-11-30,1443.64599609375
2015-12-01,1417.031005859375
2015-12-02,1405.1505126953125
2015-12-03,1403.6240234375
2015-12-04,1393.8006591796875
2015-12-07,1349.265625
2015-12-09,1333.535400390625
2015-12-10,1312.4959716796875
2015-12-11,1371.301025390625
2015-12-14,1342.429443359375
2015-12-15,1393.8006591796875
2015-12-16,1439.796142578125
2015-12-17,1469.066162109375
2015-12-18,1442.5841064453125
2015-12-21,1394.3319091796875
2015-12-22,1406.8759765625
2015-12-23,1398.51318359375
2015-12-24,1398.51318359375
2015-12-28,1401.3009033203125
2015-12-29,1392.340576171875
2015-12-30,1398.9779052734375
2015-12-31,1398.9779052734375
2016-01-04,1383.4471435546875
2016-01-05,1374.0888671875
2016-01-06,1375.748046875
2016-01-07,1305.65966796875
2016-01-08,1289.9962158203125
2016-01-11,1263.5135498046875
2016-01-12,1255.6153564453125
2016-01-13,1244.9964599609375
2016-01-14,1244.929443359375
2016-01-15,1227.8721923828125
2016-01-18,1196.0137939453125
2016-01-19,1195.68212890625
2016-01-20,1186.7882080078125
2016-01-21,1179.8857421875
2016-01-22,1207.09814453125
2016-01-25,1206.1591796875
2016-01-26,1209.110107421875
2016-01-27,1238.348388671875
2016-01-28,1285.4923095703125
2016-01-29,1356.174560546875
2016-02-01,1354.430908203125
2016-02-02,1339.74462890625
2016-02-03,1289.314697265625
2016-02-04,1332.0325927734375
2016-02-05,1358.990966796875
2016-02-08,1368.379638671875
2016-02-09,1332.9044189453125
2016-02-10,1343.6341552734375
2016-02-11,1338.4705810546875
2016-02-12,1304.5377197265625
2016-02-15,1327.673583984375
2016-02-16,1323.71728515625
2016-02-17,1354.9674072265625
2016-02-18,1392.7227783203125
2016-02-19,1408.28076171875
2016-02-22,1416.1270751953125
2016-02-23,1401.9771728515625
2016-02-24,1370.525634765625
2016-02-25,1376.8961181640625
2016-02-26,1385.5472412109375
2016-02-29,1388.7664794921875
2016-03-01,1401.2393798828125
2016-03-02,1374.14697265625
