Date,WTW
2015-08-03,106.91310119628906
2015-08-04,107.0270767211914
2015-08-05,107.50601196289062
2015-08-06,105.63595581054688
2015-08-07,105.52190399169922
2015-08-10,105.8640365600586
2015-08-11,104.7009048461914
2015-08-12,104.51847076416016
2015-08-13,104.5412826538086
2015-08-14,105.47631072998047
2015-08-17,105.95523071289062
2015-08-18,105.84120178222656
2015-08-19,104.74654388427734
2015-08-20,103.74308776855469
2015-08-21,101.78179168701172
2015-08-24,98.63459014892578
2015-08-25,97.69960021972656
2015-08-26,98.33815002441406
2015-08-27,100.4134521484375
2015-08-28,98.90827178955078
2015-08-31,98.26971435546875
2015-09-01,96.8785629272461
2015-09-02,97.22066497802734
2015-09-03,97.24346923828125
2015-09-04,96.37683868408203
2015-09-08,98.97669219970703
2015-09-09,99.06791687011719
2015-09-10,98.42935943603516
2015-09-11,97.0382308959961
2015-09-14,96.35403442382812
2015-09-15,97.01541137695312
2015-09-16,97.90483093261719
2015-09-17,97.33465576171875
2015-09-18,95.46460723876953
2015-09-21,96.28562927246094
2015-09-22,95.66987609863281
2015-09-23,95.41898345947266
2015-09-24,93.4349136352539
2015-09-25,93.89102935791016
2015-09-28,92.99485778808594
2015-09-29,93.2935791015625
2015-09-30,94.14379119873047
2015-10-01,94.1667709350586
2015-10-02,95.33869934082031
2015-10-05,96.809326171875
2015-10-06,96.87825775146484
2015-10-07,96.97017669677734
2015-10-08,97.06210327148438
2015-10-09,96.76338195800781
2015-10-12,96.97017669677734
2015-10-13,96.74039459228516
2015-10-14,95.54551696777344
2015-10-15,96.69442749023438
2015-10-16,96.90125274658203
2015-10-19,96.71741485595703
2015-10-20,97.91231536865234
2015-10-21,98.348876953125
2015-10-22,99.10718536376953
2015-10-23,101.03739166259766
2015-10-26,101.24423217773438
2015-10-27,101.35909271240234
2015-10-28,102.94462585449219
2015-10-29,102.99059295654297
2015-10-30,102.50804138183594
2015-11-02,104.1395492553711
2015-11-03,103.24336242675781
2015-11-04,103.3582534790039
2015-11-05,104.04761505126953
2015-11-06,101.42805480957031
2015-11-09,101.22122192382812
2015-11-10,101.29016876220703
2015-11-11,101.7956771850586
2015-11-12,100.7156982421875
2015-11-13,100.62378692626953
2015-11-16,102.1974868774414
2015-11-17,102.49829864501953
2015-11-18,103.3546371459961
2015-11-19,104.74317169189453
2015-11-20,105.76142120361328
2015-11-23,107.33512115478516
2015-11-24,107.17313385009766
2015-11-25,106.71028137207031
2015-11-27,106.75656127929688
2015-11-30,106.36314392089844
2015-12-01,106.31684875488281
2015-12-02,106.75656127929688
2015-12-03,105.25232696533203
2015-12-04,108.09882354736328
2015-12-07,107.49714660644531
2015-12-08,104.83573150634766
2015-12-09,103.84062194824219
2015-12-10,104.07201385498047
2015-12-11,108.00627136230469
2015-12-14,105.5068588256836
2015-12-15,106.64083099365234
2015-12-16,107.4277114868164
2015-12-17,106.75656127929688
2015-12-18,106.87226867675781
2015-12-21,107.19625854492188
2015-12-22,107.19625854492188
2015-12-23,108.21454620361328
2015-12-24,108.58483123779297
2015-12-28,108.88568115234375
2015-12-29,113.83819580078125
2015-12-30,113.25960540771484
2015-12-31,112.40333557128906
2016-01-04,109.1865005493164
2016-01-05,109.937744140625
2016-01-06,109.937744140625
2016-01-07,100.42388153076172
2016-01-08,101.88285064697266
2016-01-11,100.44136810302734
2016-01-12,100.94808197021484
2016-01-13,98.58927154541016
2016-01-14,99.9259262084961
2016-01-15,98.30970764160156
2016-01-19,96.43138122558594
2016-01-20,95.4878921508789
2016-01-21,96.09942626953125
2016-01-22,97.80298614501953
2016-01-25,96.20426177978516
2016-01-26,96.97305297851562
2016-01-27,96.71971893310547
2016-01-28,98.35338592529297
2016-01-29,100.00455474853516
2016-02-01,100.03074645996094
2016-02-02,96.58865356445312
2016-02-03,99.63763427734375
2016-02-04,101.08785247802734
2016-02-05,99.61140441894531
2016-02-08,97.1128158569336
2016-02-09,96.66726684570312
2016-02-10,93.93281555175781
2016-02-11,93.59207916259766
2016-02-12,94.21238708496094
2016-02-16,96.7720947265625
2016-02-17,97.1827163696289
2016-02-18,97.4972152709961
2016-02-19,96.3877182006836
2016-02-22,98.7552490234375
2016-02-23,97.75057220458984
2016-02-24,97.46227264404297
2016-02-25,98.6154556274414
2016-02-26,98.50189971923828
2016-02-29,98.99988555908203
2016-03-01,100.91312408447266
2016-03-02,102.02263641357422
2016-03-03,102.21483612060547
2016-03-04,102.38082885742188
2016-03-07,102.17115783691406
2016-03-08,101.96147155761719
2016-03-09,101.76927185058594
2016-03-10,102.05758666992188
2016-03-11,105.37737274169922
2016-03-14,105.3861083984375
2016-03-15,105.447265625
2016-03-16,105.55209350585938
2016-03-17,108.35645294189453
2016-03-18,105.94525909423828
2016-03-21,106.10249328613281
2016-03-22,106.11993408203125
2016-03-23,104.29407501220703
2016-03-24,104.32028198242188
2016-03-28,103.71746063232422
2016-03-29,103.48941040039062
2016-03-30,104.15605926513672
2016-03-31,104.08590698242188
2016-04-01,105.19991302490234
2016-04-04,103.1999282836914
2016-04-05,100.05966186523438
2016-04-06,101.28768157958984
2016-04-07,99.59476470947266
2016-04-08,99.480712890625
2016-04-11,100.55963897705078
2016-04-12,101.56840515136719
2016-04-13,103.49818420410156
2016-04-14,103.2613296508789
2016-04-15,103.90167236328125
2016-04-18,106.36656951904297
2016-04-19,106.7349624633789
2016-04-20,107.28759765625
2016-04-21,107.90161895751953
2016-04-22,108.5858154296875
2016-04-25,108.156005859375
2016-04-26,109.12090301513672
2016-04-27,109.37527465820312
