Date,EZTC3.SA
2015-08-24,6.397282123565674
2015-08-25,6.56221342086792
2015-08-26,6.707152366638184
2015-08-27,6.872082233428955
2015-08-28,6.83709716796875
2015-08-31,6.5872015953063965
2015-09-01,6.19736909866333
2015-09-02,6.152387619018555
2015-09-03,6.352303504943848
2015-09-04,6.202364921569824
2015-09-08,6.11240291595459
2015-09-09,6.142390251159668
2015-09-10,6.022439956665039
2015-09-11,6.152387619018555
2015-09-14,6.097409725189209
2015-09-15,6.187373161315918
2015-09-16,6.542220115661621
2015-09-17,6.692158222198486
2015-09-18,6.422270774841309
2015-09-21,6.172377586364746
2015-09-22,6.057427406311035
2015-09-23,6.097409725189209
2015-09-24,6.007447242736816
2015-09-25,6.012446403503418
2015-09-28,5.762551307678223
2015-09-29,5.872506141662598
2015-09-30,5.77754545211792
2015-10-01,6.21735954284668
2015-10-02,6.272336006164551
2015-10-05,6.607193946838379
2015-10-06,6.572207927703857
2015-10-07,6.717148780822754
2015-10-08,6.782120704650879
2015-10-09,6.9720377922058105
2015-10-13,6.922060489654541
2015-10-14,6.672165393829346
2015-10-15,6.80211067199707
2015-10-16,6.597198963165283
2015-10-19,6.4972405433654785
2015-10-20,6.567211151123047
2015-10-21,6.482247352600098
2015-10-22,6.597198963165283
2015-10-23,6.4972405433654785
2015-10-26,6.397282123565674
2015-10-27,6.572207927703857
2015-10-28,6.727142810821533
2015-10-29,6.467252254486084
2015-10-30,6.347303867340088
2015-11-03,6.597198963165283
2015-11-04,6.567211151123047
2015-11-05,6.52223014831543
2015-11-06,6.312317848205566
2015-11-09,6.252344608306885
2015-11-10,6.157384872436523
2015-11-11,6.322315216064453
2015-11-12,6.237350940704346
2015-11-13,6.422270774841309
2015-11-16,6.572207927703857
2015-11-17,6.45725679397583
2015-11-18,6.45725679397583
2015-11-19,6.597198963165283
2015-11-23,6.7571306228637695
2015-11-24,6.6671671867370605
2015-11-25,6.552217483520508
2015-11-26,6.747133731842041
2015-11-27,6.6971540451049805
2015-11-30,6.547219276428223
2015-12-01,6.452259063720703
2015-12-02,6.467252254486084
2015-12-03,6.572207927703857
2015-12-04,6.317317485809326
2015-12-07,6.12239933013916
2015-12-08,6.12239933013916
2015-12-09,6.297324180603027
2015-12-10,6.4972405433654785
2015-12-11,6.472250938415527
2015-12-14,6.272336006164551
2015-12-15,6.297324180603027
2015-12-16,6.352303504943848
2015-12-17,6.467252254486084
2015-12-18,6.1473870277404785
2015-12-21,6.1473870277404785
