Date,REDINGTON.NS
2015-08-21,43.297943115234375
2015-08-24,41.39634704589844
2015-08-25,40.591819763183594
2015-08-26,39.860443115234375
2015-08-27,40.4272575378418
2015-08-28,40.591819763183594
2015-08-31,39.6593132019043
2015-09-01,38.65365219116211
2015-09-02,37.684574127197266
2015-09-03,39.00105667114258
2015-09-04,38.34281921386719
2015-09-07,38.4525260925293
2015-09-08,38.050262451171875
2015-09-09,38.7267951965332
2015-09-10,39.07419967651367
2015-09-11,39.45817947387695
2015-09-14,37.958839416503906
2015-09-15,37.958839416503906
2015-09-16,39.1473388671875
2015-09-18,38.94620895385742
2015-09-21,40.719818115234375
2015-09-22,40.51869201660156
2015-09-23,40.719818115234375
2015-09-24,40.610107421875
2015-09-28,41.0489387512207
2015-09-29,40.7746696472168
2015-09-30,40.280982971191406
2015-10-01,41.68889236450195
2015-10-05,42.054588317871094
2015-10-06,42.054588317871094
2015-10-07,43.206520080566406
2015-10-08,42.74940872192383
2015-10-09,43.86476516723633
2015-10-12,43.95619201660156
2015-10-13,44.61442947387695
2015-10-14,45.455528259277344
2015-10-15,45.784645080566406
2015-10-16,45.784645080566406
2015-10-19,44.760719299316406
2015-10-20,45.729793548583984
2015-10-21,46.42461013793945
2015-10-23,45.784645080566406
2015-10-26,45.34581756591797
2015-10-27,45.236114501953125
2015-10-28,45.693233489990234
2015-10-29,44.925270080566406
2015-10-30,43.53565216064453
2015-11-02,42.01802062988281
2015-11-03,41.67061996459961
2015-11-04,43.773345947265625
2015-11-05,43.060245513916016
2015-11-06,42.054588317871094
2015-11-09,40.847808837890625
2015-11-10,41.103797912597656
2015-11-13,41.012367248535156
2015-11-16,41.78032302856445
2015-11-17,42.96882247924805
2015-11-18,42.82254409790039
2015-11-19,43.90134048461914
2015-11-20,43.279659271240234
2015-11-23,43.49907302856445
2015-11-24,44.047611236572266
2015-11-26,42.71283721923828
2015-11-27,41.926597595214844
2015-11-30,41.926597595214844
2015-12-01,43.444217681884766
2015-12-02,43.86476516723633
2015-12-03,44.248741149902344
2015-12-04,44.08417892456055
2015-12-07,45.51038360595703
2015-12-08,45.089839935302734
2015-12-09,44.870418548583984
2015-12-10,45.16297912597656
2015-12-11,45.455528259277344
2015-12-14,44.998416900634766
2015-12-15,45.473812103271484
2015-12-16,45.34581756591797
2015-12-17,45.784645080566406
2015-12-18,44.980125427246094
2015-12-21,44.44987487792969
2015-12-22,43.86476516723633
2015-12-23,43.88304901123047
2015-12-24,43.88304901123047
2015-12-28,44.1390380859375
2015-12-29,42.456851959228516
2015-12-30,42.29228973388672
2015-12-31,42.12772750854492
2016-01-01,42.7676887512207
2016-01-04,41.94488525390625
2016-01-05,42.054588317871094
2016-01-06,42.78597640991211
2016-01-07,42.25572204589844
2016-01-08,41.70718765258789
2016-01-11,41.67061996459961
2016-01-12,40.847808837890625
2016-01-13,39.293617248535156
2016-01-14,41.70718765258789
2016-01-15,40.610107421875
2016-01-18,38.70851135253906
2016-01-19,39.36675262451172
2016-01-20,37.31888198852539
2016-01-21,37.84912872314453
2016-01-22,38.21482467651367
2016-01-25,38.690223693847656
2016-01-27,37.13603210449219
2016-01-28,36.806907653808594
2016-01-29,37.86742401123047
2016-02-01,38.4525260925293
2016-02-02,37.81256866455078
2016-02-03,37.72114944458008
2016-02-04,37.11775207519531
2016-02-05,37.37372589111328
2016-02-08,37.37372589111328
2016-02-09,37.5200080871582
2016-02-10,37.33716583251953
2016-02-11,37.300594329833984
2016-02-12,37.282310485839844
2016-02-15,37.61143112182617
2016-02-16,37.31888198852539
2016-02-17,37.574859619140625
2016-02-18,37.31888198852539
2016-02-19,36.88004684448242
2016-02-22,36.8251953125
2016-02-23,36.66063690185547
2016-02-24,36.58749771118164
2016-02-25,36.53264236450195
2016-02-26,36.78862762451172
2016-02-29,37.556583404541016
2016-03-01,39.00105667114258
2016-03-02,38.7267951965332
2016-03-03,38.83650207519531
2016-03-04,38.63536834716797
2016-03-08,38.745079040527344
2016-03-09,39.60445022583008
2016-03-10,39.98843002319336
2016-03-11,39.9152946472168
2016-03-14,40.73809814453125
2016-03-15,39.84214782714844
2016-03-16,40.0067138671875
2016-03-17,40.280982971191406
2016-03-18,41.63405227661133
2016-03-21,42.25572204589844
2016-03-22,42.091163635253906
2016-03-23,41.853458404541016
2016-03-28,41.1220703125
2016-03-29,41.414634704589844
2016-03-30,41.597476959228516
2016-03-31,41.926597595214844
2016-04-01,41.323204040527344
2016-04-04,41.50605392456055
2016-04-05,40.66496276855469
2016-04-06,40.610107421875
2016-04-07,41.17692947387695
2016-04-08,42.054588317871094
2016-04-11,41.65232849121094
2016-04-12,41.231781005859375
2016-04-13,41.15864944458008
2016-04-18,41.54262161254883
2016-04-20,42.25572204589844
2016-04-21,41.68889236450195
2016-04-22,42.01802062988281
2016-04-25,41.926597595214844
2016-04-26,41.83517837524414
2016-04-27,41.231781005859375
2016-04-28,40.93922805786133
2016-04-29,39.714168548583984
2016-05-02,39.31189727783203
2016-05-03,39.07419967651367
2016-05-04,38.34281921386719
2016-05-05,36.569210052490234
2016-05-06,36.77033996582031
2016-05-09,37.37372589111328
2016-05-10,38.83650207519531
2016-05-11,38.690223693847656
2016-05-12,38.85478591918945
2016-05-13,39.18390655517578
2016-05-16,38.891353607177734
2016-05-17,40.48211669921875
2016-05-18,40.2626953125
2016-05-19,41.03065490722656
2016-05-20,40.683250427246094
2016-05-23,39.82387161254883
2016-05-24,44.19388961791992
2016-05-25,43.6270637512207
2016-05-26,42.84083557128906
2016-05-27,41.83517837524414
