Date,IVZ
2015-08-03,24.516775131225586
2015-08-04,24.42774772644043
2015-08-05,24.631256103515625
2015-08-06,24.54857635498047
2015-08-07,24.300548553466797
2015-08-10,24.72028923034668
2015-08-11,24.376869201660156
2015-08-12,24.065237045288086
2015-08-13,23.823564529418945
2015-08-14,23.85536003112793
2015-08-17,23.950761795043945
2015-08-18,23.841869354248047
2015-08-19,23.483150482177734
2015-08-20,22.989912033081055
2015-08-21,22.16358184814453
2015-08-24,21.061809539794922
2015-08-25,20.523733139038086
2015-08-26,21.260387420654297
2015-08-27,22.137958526611328
2015-08-28,22.16998863220215
2015-08-31,21.849708557128906
2015-09-01,21.08102798461914
2015-09-02,21.113052368164062
2015-09-03,21.07462501525879
2015-09-04,20.46608543395996
2015-09-08,21.087434768676758
2015-09-09,20.837614059448242
2015-09-10,20.972129821777344
2015-09-11,21.061809539794922
2015-09-14,20.92087745666504
2015-09-15,21.305225372314453
2015-09-16,21.59347915649414
2015-09-17,21.439739227294922
2015-09-18,20.811986923217773
2015-09-21,21.042587280273438
2015-09-22,20.54935646057129
2015-09-23,20.427648544311523
2015-09-24,20.46608543395996
2015-09-25,20.51092529296875
2015-09-28,19.806297302246094
2015-09-29,19.74224281311035
2015-09-30,20.004871368408203
2015-10-01,20.165016174316406
2015-10-02,20.209856033325195
2015-10-05,20.81839942932129
2015-10-06,20.81839942932129
2015-10-07,21.138675689697266
2015-10-08,21.22835350036621
2015-10-09,21.061809539794922
2015-10-12,20.901668548583984
2015-10-13,20.152204513549805
2015-10-14,19.934417724609375
2015-10-15,20.498109817504883
2015-10-16,20.75433921813965
2015-10-19,20.337970733642578
2015-10-20,20.434057235717773
2015-10-21,20.152204513549805
2015-10-22,21.125864028930664
2015-10-23,21.715187072753906
2015-10-26,21.59347915649414
2015-10-27,21.311630249023438
2015-10-28,22.003440856933594
2015-10-29,21.452550888061523
2015-10-30,21.247573852539062
2015-11-02,21.433340072631836
2015-11-03,21.56785774230957
2015-11-04,21.48458480834961
2015-11-05,21.708776473999023
2015-11-06,21.84330177307129
2015-11-09,21.420530319213867
2015-11-10,21.119464874267578
2015-11-11,21.337257385253906
2015-11-12,20.805580139160156
2015-11-13,20.489070892333984
2015-11-16,20.786203384399414
2015-11-17,20.773286819458008
2015-11-18,21.35462760925293
2015-11-19,21.438596725463867
2015-11-20,21.44506072998047
2015-11-23,21.3675537109375
2015-11-24,21.438596725463867
2015-11-25,21.696971893310547
2015-11-27,21.703433990478516
2015-11-30,21.76156997680664
2015-12-01,21.8972110748291
2015-12-02,21.709890365600586
2015-12-03,21.425676345825195
2015-12-04,21.852005004882812
2015-12-07,21.677600860595703
2015-12-08,21.218978881835938
2015-12-09,20.908931732177734
2015-12-10,21.180225372314453
2015-12-11,20.2952938079834
2015-12-14,19.629980087280273
2015-12-15,20.243619918823242
2015-12-16,20.6053466796875
2015-12-17,20.146730422973633
2015-12-18,19.85605812072754
2015-12-21,20.443857192993164
2015-12-22,20.49553680419922
2015-12-23,21.393383026123047
2015-12-24,21.26420021057129
2015-12-28,21.290035247802734
2015-12-29,21.684057235717773
2015-12-30,21.561325073242188
2015-12-31,21.62592315673828
2016-01-04,21.438596725463867
2016-01-05,21.380460739135742
2016-01-06,21.012287139892578
2016-01-07,20.353429794311523
2016-01-08,19.462038040161133
2016-01-11,19.332853317260742
2016-01-12,19.248872756958008
2016-01-13,18.790267944335938
2016-01-14,19.13907241821289
2016-01-15,18.577102661132812
2016-01-19,18.615861892700195
2016-01-20,18.22184181213379
2016-01-21,18.363943099975586
2016-01-22,19.04217529296875
2016-01-25,18.50604820251465
2016-01-26,18.84840202331543
2016-01-27,18.71921157836914
2016-01-28,18.44146156311035
2016-01-29,19.332853317260742
2016-02-01,18.809640884399414
2016-02-02,17.950550079345703
2016-02-03,17.808443069458008
2016-02-04,18.060352325439453
2016-02-05,17.491939544677734
2016-02-08,16.652219772338867
2016-02-09,16.568248748779297
2016-02-10,16.994565963745117
2016-02-11,16.393844604492188
2016-02-12,17.117290496826172
2016-02-16,17.424001693725586
2016-02-17,17.913440704345703
2016-02-18,17.645885467529297
2016-02-19,17.162973403930664
2016-02-22,17.73724937438965
2016-02-23,17.18907928466797
2016-02-24,17.078134536743164
2016-02-25,17.54146957397461
2016-02-26,17.685043334960938
2016-02-29,17.450109481811523
2016-03-01,18.19405746459961
2016-03-02,18.41593360900879
2016-03-03,18.663917541503906
2016-03-04,18.983678817749023
2016-03-07,18.93147850036621
2016-03-08,18.40288734436035
2016-03-09,18.396358489990234
2016-03-10,18.487720489501953
2016-03-11,19.577533721923828
2016-03-14,19.55143165588379
2016-03-15,19.316499710083008
2016-03-16,19.662372589111328
2016-03-17,20.17791175842285
2016-03-18,20.236644744873047
2016-03-21,20.210540771484375
2016-03-22,20.112653732299805
2016-03-23,19.83856773376465
2016-03-24,19.792892456054688
2016-03-28,19.89729881286621
2016-03-29,20.14528465270996
2016-03-30,20.399791717529297
2016-03-31,20.080028533935547
2016-04-01,20.478103637695312
2016-04-04,20.288850784301758
2016-04-05,20.027814865112305
2016-04-06,20.073501586914062
2016-04-07,19.316499710083008
2016-04-08,19.316499710083008
2016-04-11,19.329553604125977
2016-04-12,19.629745483398438
2016-04-13,20.373687744140625
2016-04-14,20.432422637939453
2016-04-15,20.386743545532227
2016-04-18,20.57598876953125
2016-04-19,20.74566078186035
2016-04-20,21.13068962097168
2016-04-21,21.085006713867188
2016-04-22,21.11763572692871
2016-04-25,20.765241622924805
2016-04-26,21.163318634033203
2016-04-27,21.359094619750977
