Date,DRREDDY.NS
2015-08-03,774.942138671875
2015-08-04,778.2802124023438
2015-08-05,783.8998413085938
2015-08-06,797.8880615234375
2015-08-07,796.438720703125
2015-08-10,796.59765625
2015-08-11,789.8934326171875
2015-08-12,799.4589233398438
2015-08-13,802.59130859375
2015-08-14,796.2330322265625
2015-08-17,781.96435546875
2015-08-18,783.815673828125
2015-08-19,791.2867431640625
2015-08-20,803.311279296875
2015-08-21,793.6710815429688
2015-08-24,756.1199951171875
2015-08-25,767.7330322265625
2015-08-26,759.4766845703125
2015-08-27,772.3615112304688
2015-08-28,781.8334350585938
2015-08-31,804.6297607421875
2015-09-01,794.615478515625
2015-09-02,785.4614868164062
2015-09-03,787.15380859375
2015-09-04,757.9150390625
2015-09-07,738.02685546875
2015-09-08,743.8334350585938
2015-09-09,755.70849609375
2015-09-10,743.0855102539062
2015-09-11,750.687255859375
2015-09-14,756.016845703125
2015-09-15,747.3865356445312
2015-09-16,749.9766845703125
2015-09-18,749.1257934570312
2015-09-21,740.0465698242188
2015-09-22,734.8850708007812
2015-09-23,735.7827758789062
2015-09-24,742.4683227539062
2015-09-28,783.7970581054688
2015-09-29,763.263427734375
2015-09-30,778.3923950195312
2015-10-01,791.5953369140625
2015-10-05,781.739990234375
2015-10-06,794.1292114257812
2015-10-07,784.6011962890625
2015-10-08,790.14599609375
2015-10-09,796.251708984375
2015-10-12,783.0957641601562
2015-10-13,790.6788940429688
2015-10-14,784.84423828125
2015-10-15,786.826416015625
2015-10-16,798.52392578125
2015-10-19,813.0357055664062
2015-10-20,807.8181762695312
2015-10-21,780.496337890625
2015-10-23,783.2640380859375
2015-10-26,785.5736083984375
2015-10-27,781.5248413085938
2015-10-28,769.2852172851562
2015-10-29,789.4259643554688
2015-10-30,800.375244140625
2015-11-02,803.4423217773438
2015-11-03,810.70751953125
2015-11-04,808.4166259765625
2015-11-05,794.671630859375
2015-11-06,678.9603881835938
2015-11-09,654.7427978515625
2015-11-10,622.8673706054688
2015-11-13,633.8820190429688
2015-11-16,656.2482299804688
2015-11-17,643.5504150390625
2015-11-18,629.6464233398438
2015-11-19,613.5916748046875
2015-11-20,627.0563354492188
2015-11-23,637.5567626953125
2015-11-24,633.5267944335938
2015-11-26,579.86474609375
2015-11-27,579.59375
2015-11-30,581.5947265625
2015-12-01,600.4638061523438
2015-12-02,608.0842895507812
2015-12-03,602.84814453125
2015-12-04,597.5838623046875
2015-12-07,594.6666259765625
2015-12-08,572.8427734375
