Date,IDFCFIRSTB.NS
2015-11-06,67.5837631225586
2015-11-09,64.27176666259766
2015-11-10,61.9677848815918
2015-11-13,60.95978546142578
2015-11-16,62.399776458740234
2015-11-17,62.111778259277344
2015-11-18,62.59177017211914
2015-11-19,61.295780181884766
2015-11-20,62.59177017211914
2015-11-23,61.24778366088867
2015-11-24,60.43178939819336
2015-11-26,59.18379211425781
2015-11-27,58.559791564941406
2015-11-30,58.559791564941406
2015-12-01,57.599796295166016
2015-12-02,57.88779067993164
2015-12-03,58.1277961730957
2015-12-04,58.07979202270508
2015-12-07,57.07179641723633
2015-12-08,55.39180374145508
2015-12-09,54.5758056640625
2015-12-10,54.5758056640625
2015-12-11,53.08781051635742
2015-12-14,53.519813537597656
2015-12-15,53.279808044433594
2015-12-16,53.80780792236328
2015-12-17,55.72780227661133
2015-12-18,56.06380081176758
2015-12-21,55.15180587768555
2015-12-22,56.927799224853516
2015-12-23,56.927799224853516
2015-12-24,58.46379089355469
2015-12-28,57.55179977416992
2015-12-29,59.37578582763672
2015-12-30,59.03978729248047
2015-12-31,58.415794372558594
2016-01-01,58.271793365478516
2016-01-04,56.591800689697266
2016-01-05,56.639801025390625
2016-01-06,55.43980407714844
2016-01-07,53.66381072998047
2016-01-08,52.895809173583984
2016-01-11,51.74382019042969
2016-01-12,50.399818420410156
2016-01-13,49.24782180786133
2016-01-14,46.751834869384766
2016-01-15,44.97583770751953
2016-01-18,43.24784469604492
2016-01-19,43.72784423828125
2016-01-20,41.711856842041016
2016-01-21,41.711856842041016
2016-01-22,44.20784378051758
2016-01-25,45.4078369140625
2016-01-27,48.575828552246094
2016-01-28,48.719825744628906
2016-01-29,50.447818756103516
2016-02-01,54.47980880737305
2016-02-02,52.17581558227539
2016-02-03,50.01582336425781
2016-02-04,51.31182098388672
2016-02-05,52.75181579589844
2016-02-08,52.41581344604492
2016-02-09,51.455814361572266
2016-02-10,50.92782211303711
2016-02-11,48.719825744628906
2016-02-12,48.719825744628906
2016-02-15,51.83981704711914
2016-02-16,48.431827545166016
2016-02-17,49.34382629394531
2016-02-18,48.67182540893555
2016-02-19,48.767826080322266
2016-02-22,47.56782913208008
2016-02-23,46.12783432006836
2016-02-24,44.87984085083008
2016-02-25,44.87984085083008
2016-02-26,45.21583557128906
2016-02-29,43.72784423828125
2016-03-01,44.97583770751953
2016-03-02,46.9918327331543
2016-03-03,47.039833068847656
2016-03-04,47.6638298034668
2016-03-08,47.135833740234375
2016-03-09,45.695838928222656
2016-03-10,45.4078369140625
2016-03-11,45.64783477783203
2016-03-14,45.023841857910156
