Date,MOREALTY.NS
2024-03-21,86.22000122070312
2024-03-22,87.77999877929688
2024-03-26,89.31999969482422
2024-03-27,90.05999755859375
2024-03-28,90.87000274658203
2024-04-01,94.20999908447266
2024-04-02,95.30999755859375
2024-04-03,92.87000274658203
2024-04-04,92.72000122070312
2024-04-05,94.08999633789062
2024-04-08,95.22000122070312
2024-04-09,96.08999633789062
2024-04-10,96.4800033569336
2024-04-12,96.11000061035156
2024-04-15,94.37000274658203
2024-04-16,94.04000091552734
2024-04-18,93.58999633789062
2024-04-19,92.91999816894531
2024-04-22,93.54000091552734
2024-04-23,95.80999755859375
2024-04-24,96.73999786376953
2024-04-25,96.55000305175781
2024-04-26,96.91000366210938
2024-04-29,96.12999725341797
2024-04-30,97.38999938964844
2024-05-02,97.37999725341797
2024-05-03,96.5
2024-05-06,98.63999938964844
2024-05-07,95.69000244140625
2024-05-08,96.0999984741211
2024-05-09,94.13999938964844
2024-05-10,93.77999877929688
2024-05-13,94.44000244140625
2024-05-14,95.72000122070312
2024-05-15,96.62999725341797
2024-05-16,97.93000030517578
2024-05-17,99.55000305175781
2024-05-21,100.5
2024-05-22,101.88999938964844
2024-05-23,102.88999938964844
2024-05-24,102.63999938964844
2024-05-27,103.2300033569336
2024-05-28,101.3499984741211
2024-05-29,100.30000305175781
2024-05-30,99.81999969482422
2024-05-31,102.05000305175781
2024-06-03,107.91000366210938
2024-06-04,100.51000213623047
2024-06-05,99.68000030517578
2024-06-06,104.23999786376953
2024-06-07,106.72000122070312
2024-06-10,108.22000122070312
2024-06-11,109.79000091552734
2024-06-12,109.75
2024-06-13,111.94999694824219
2024-06-14,113.01000213623047
2024-06-18,115.19999694824219
2024-06-19,112.11000061035156
2024-06-20,113.56999969482422
2024-06-21,113.41000366210938
2024-06-24,113.25
2024-06-25,111.66000366210938
2024-06-26,110.1500015258789
2024-06-27,110.23999786376953
2024-06-28,110.63999938964844
2024-07-01,110.36000061035156
2024-07-02,111.16000366210938
2024-07-03,111.38999938964844
2024-07-04,111.87000274658203
2024-07-05,111.9000015258789
