Date,POOL
2015-08-03,63.101783752441406
2015-08-04,63.18215560913086
2015-08-05,63.17324447631836
2015-08-06,62.8250617980957
2015-08-07,62.405433654785156
2015-08-10,63.33739471435547
2015-08-11,63.34635925292969
2015-08-12,63.13130187988281
2015-08-13,63.1223258972168
2015-08-14,64.0990982055664
2015-08-17,64.52923583984375
2015-08-18,64.01842498779297
2015-08-19,63.79441452026367
2015-08-20,63.041664123535156
2015-08-21,61.67957305908203
2015-08-24,59.26905059814453
2015-08-25,59.493072509765625
2015-08-26,60.64009475708008
2015-08-27,61.993221282958984
2015-08-28,62.23517990112305
2015-08-31,62.441287994384766
2015-09-01,60.200992584228516
2015-09-02,62.06491470336914
2015-09-03,62.378570556640625
2015-09-04,62.04700469970703
2015-09-08,63.8840446472168
2015-09-09,63.606239318847656
2015-09-10,63.6689567565918
2015-09-11,64.69053649902344
2015-09-14,64.43963623046875
2015-09-15,64.69947814941406
2015-09-16,65.01314544677734
2015-09-17,65.2371597290039
2015-09-18,64.27832794189453
2015-09-21,64.85184478759766
2015-09-22,64.43069458007812
2015-09-23,64.52027130126953
2015-09-24,64.77120208740234
2015-09-25,65.20132446289062
2015-09-28,64.50234985351562
2015-09-29,64.36795043945312
2015-09-30,64.78913116455078
2015-10-01,65.08480072021484
2015-10-02,66.20496368408203
2015-10-05,66.85018920898438
2015-10-06,66.64407348632812
2015-10-07,66.90393829345703
2015-10-08,67.75524139404297
2015-10-09,67.80901336669922
2015-10-12,67.36094665527344
2015-10-13,66.76953125
2015-10-14,66.10637664794922
2015-10-15,67.15486907958984
2015-10-16,67.40576934814453
2015-10-19,67.79109954833984
2015-10-20,67.28926086425781
2015-10-21,66.20496368408203
2015-10-22,71.50997161865234
2015-10-23,72.77349853515625
2015-10-26,73.23945617675781
2015-10-27,72.6928482055664
2015-10-28,74.18936157226562
2015-10-29,73.83090209960938
2015-10-30,73.0691909790039
2015-11-02,73.36492919921875
2015-11-03,74.8883285522461
2015-11-04,74.17142486572266
2015-11-05,73.90261840820312
2015-11-06,73.6868667602539
2015-11-09,72.27550506591797
2015-11-10,73.32726287841797
2015-11-11,73.7228012084961
2015-11-12,73.16544342041016
2015-11-13,71.4394760131836
2015-11-16,72.59013366699219
2015-11-17,72.77892303466797
2015-11-18,73.6868667602539
2015-11-19,73.74079895019531
2015-11-20,73.6778564453125
2015-11-23,73.61492919921875
2015-11-24,73.71382141113281
2015-11-25,73.93854522705078
2015-11-27,74.51387786865234
2015-11-30,73.7497787475586
2015-12-01,74.19026184082031
2015-12-02,74.20823669433594
2015-12-03,73.36322784423828
2015-12-04,75.65555572509766
2015-12-07,74.24420166015625
