Date,MDLZ
2015-08-03,36.54552459716797
2015-08-04,36.63387680053711
2015-08-05,37.18821334838867
2015-08-06,37.60597229003906
2015-08-07,37.043609619140625
2015-08-10,37.28462600708008
2015-08-11,37.035560607910156
2015-08-12,37.38102722167969
2015-08-13,36.96326446533203
2015-08-14,37.34889221191406
2015-08-17,37.11590576171875
2015-08-18,37.075740814208984
2015-08-19,36.320560455322266
2015-08-20,35.34849166870117
2015-08-21,34.705780029296875
2015-08-24,33.7095947265625
2015-08-25,33.18741989135742
2015-08-26,33.90241241455078
2015-08-27,34.35228729248047
2015-08-28,34.38442611694336
2015-08-31,34.03096389770508
2015-09-01,32.946380615234375
2015-09-02,33.95866012573242
2015-09-03,34.73792266845703
2015-09-04,34.19965744018555
2015-09-08,34.4888801574707
2015-09-09,33.733707427978516
2015-09-10,34.0470085144043
2015-09-11,34.28804397583008
2015-09-14,33.96668243408203
2015-09-15,34.537078857421875
2015-09-16,34.57726287841797
2015-09-17,35.12354278564453
2015-09-18,34.424598693847656
2015-09-21,34.424598693847656
2015-09-22,33.733707427978516
2015-09-23,33.96668243408203
2015-09-24,33.84618377685547
2015-09-25,34.38442611694336
2015-09-28,33.44881057739258
2015-09-29,32.91646194458008
2015-09-30,33.77143096923828
2015-10-01,34.04566955566406
2015-10-02,35.13456344604492
2015-10-05,35.72336959838867
2015-10-06,35.40879821777344
2015-10-07,35.7556266784668
2015-10-08,36.54607009887695
2015-10-09,36.296024322509766
2015-10-12,36.33635330200195
2015-10-13,36.16698455810547
2015-10-14,36.0863151550293
2015-10-15,36.27988815307617
2015-10-16,36.981624603271484
2015-10-19,37.44135665893555
2015-10-20,36.89289474487305
2015-10-21,36.65898895263672
2015-10-22,37.86078643798828
2015-10-23,37.530094146728516
2015-10-26,37.747859954833984
2015-10-27,37.586544036865234
2015-10-28,37.42523956298828
2015-10-29,37.32844924926758
2015-10-30,37.231666564941406
2015-11-02,37.457489013671875
2015-11-03,37.42523956298828
2015-11-04,37.00581741333008
2015-11-05,37.00581741333008
2015-11-06,36.199241638183594
2015-11-09,35.80400848388672
2015-11-10,35.96533203125
2015-11-11,35.8685417175293
2015-11-12,35.19907760620117
2015-11-13,34.9006462097168
2015-11-16,35.5378532409668
2015-11-17,35.34425735473633
2015-11-18,35.87660598754883
2015-11-19,35.9572639465332
2015-11-20,35.44911575317383
2015-11-23,35.55397033691406
2015-11-24,35.47332000732422
2015-11-25,35.43299102783203
2015-11-27,35.82822036743164
2015-11-30,35.21521759033203
2015-12-01,35.74755859375
2015-12-02,35.37653350830078
2015-12-03,34.36830520629883
2015-12-04,35.89274597167969
2015-12-07,35.513641357421875
2015-12-08,35.48944854736328
2015-12-09,35.2071533203125
