Date,COP
2015-08-03,36.72169494628906
2015-08-04,36.839908599853516
2015-08-05,36.28586196899414
2015-08-06,37.14277267456055
2015-08-07,36.07902145385742
2015-08-10,37.083675384521484
2015-08-11,37.23143768310547
2015-08-12,38.07356643676758
2015-08-13,37.009803771972656
2015-08-14,36.76604080200195
2015-08-17,36.610897064208984
2015-08-18,36.57395935058594
2015-08-19,35.22210693359375
2015-08-20,34.71977233886719
2015-08-21,33.53044891357422
2015-08-24,31.713193893432617
2015-08-25,31.166534423828125
2015-08-26,32.067779541015625
2015-08-27,33.88501739501953
2015-08-28,34.58681106567383
2015-08-31,36.30801010131836
2015-09-01,35.27381896972656
2015-09-02,35.59884262084961
2015-09-03,35.59146499633789
2015-09-04,34.86752700805664
2015-09-08,35.79831314086914
2015-09-09,35.34768295288086
2015-09-10,35.77613830566406
2015-09-11,34.9857177734375
2015-09-14,34.54986572265625
2015-09-15,34.926605224609375
2015-09-16,36.544410705566406
2015-09-17,37.03196334838867
2015-09-18,35.72443389892578
2015-09-21,36.012535095214844
2015-09-22,35.916500091552734
2015-09-23,35.355072021484375
2015-09-24,35.28119659423828
2015-09-25,34.860137939453125
2015-09-28,33.870262145996094
2015-09-29,34.402130126953125
2015-09-30,35.4289436340332
2015-10-01,35.57668685913086
2015-10-02,37.815006256103516
2015-10-05,39.137298583984375
2015-10-06,40.73294448852539
2015-10-07,40.8289680480957
2015-10-08,41.57508087158203
2015-10-09,41.44211959838867
2015-10-12,40.8289680480957
2015-10-13,40.6590690612793
2015-10-14,40.96934509277344
2015-10-15,41.3511848449707
2015-10-16,41.3511848449707
2015-10-19,40.19816589355469
2015-10-20,40.085853576660156
2015-10-21,39.65909957885742
2015-10-22,40.86452102661133
2015-10-23,40.88698196411133
2015-10-26,39.64411544799805
2015-10-27,38.70074462890625
2015-10-28,39.93611145019531
2015-10-29,40.145748138427734
2015-10-30,39.94359588623047
2015-11-02,41.13405990600586
2015-11-03,42.474246978759766
2015-11-04,42.182254791259766
2015-11-05,42.13732147216797
2015-11-06,41.7554931640625
2015-11-09,40.909446716308594
2015-11-10,40.91691970825195
2015-11-11,40.010990142822266
2015-11-12,38.91039276123047
2015-11-13,38.80557632446289
2015-11-16,40.7072868347168
2015-11-17,40.35539627075195
2015-11-18,40.789649963378906
2015-11-19,40.10083770751953
2015-11-20,39.629146575927734
2015-11-23,39.891197204589844
2015-11-24,41.41856384277344
2015-11-25,40.714778900146484
2015-11-27,40.04093551635742
2015-11-30,40.46770477294922
2015-12-01,40.88698196411133
2015-12-02,39.344635009765625
2015-12-03,38.640865325927734
2015-12-04,38.326385498046875
2015-12-07,36.679237365722656
2015-12-08,36.16262435913086
2015-12-09,36.2899055480957
2015-12-10,36.8514404296875
2015-12-11,36.03534698486328
2015-12-14,37.08353805541992
2015-12-15,37.85470962524414
2015-12-16,36.94877624511719
2015-12-17,35.39894104003906
2015-12-18,34.388187408447266
2015-12-21,33.76677322387695
2015-12-22,34.650238037109375
2015-12-23,36.70918273925781
2015-12-24,36.379756927490234
2015-12-28,35.331565856933594
2015-12-29,35.76581954956055
2015-12-30,34.88982391357422
2015-12-31,34.95719909667969
2016-01-04,35.09946060180664
2016-01-05,35.48877716064453
2016-01-06,33.95393371582031
2016-01-07,32.988101959228516
2016-01-08,32.411598205566406
2016-01-11,30.78689956665039
2016-01-12,30.135522842407227
2016-01-13,29.19964027404785
2016-01-14,30.884220123291016
2016-01-15,29.469175338745117
2016-01-19,27.253000259399414
2016-01-20,26.017629623413086
2016-01-21,27.634838104248047
2016-01-22,28.203853607177734
2016-01-25,25.6058406829834
2016-01-26,26.46685218811035
2016-01-27,27.11074447631836
2016-01-28,28.46590805053711
2016-01-29,29.259538650512695
2016-02-01,28.900146484375
2016-02-02,27.395244598388672
2016-02-03,28.92262077331543
2016-02-04,26.44438934326172
2016-02-05,24.63252067565918
2016-02-08,25.778047561645508
2016-02-09,25.14163589477539
2016-02-10,24.21323585510254
2016-02-11,24.054784774780273
2016-02-12,24.82442283630371
2016-02-16,24.718778610229492
2016-02-17,25.586498260498047
2016-02-18,25.428049087524414
2016-02-19,24.801782608032227
2016-02-22,25.99395751953125
2016-02-23,24.839508056640625
2016-02-24,24.86968231201172
2016-02-25,24.945144653320312
2016-02-26,25.744956970214844
2016-02-29,25.526138305664062
2016-03-01,26.001502990722656
2016-03-02,27.53321647644043
2016-03-03,29.095130920410156
2016-03-04,31.026748657226562
2016-03-07,31.238019943237305
2016-03-08,29.140396118164062
2016-03-09,29.464841842651367
2016-03-10,29.44975471496582
2016-03-11,30.574037551879883
2016-03-14,30.189197540283203
2016-03-15,30.053401947021484
2016-03-16,31.592653274536133
2016-03-17,32.45282745361328
2016-03-18,32.46038055419922
2016-03-21,32.128379821777344
2016-03-22,31.630388259887695
2016-03-23,30.068477630615234
2016-03-24,30.211837768554688
2016-03-28,29.94019889831543
2016-03-29,29.89493179321289
2016-03-30,30.24203872680664
2016-03-31,30.385385513305664
2016-04-01,30.015655517578125
2016-04-04,29.502567291259766
2016-04-05,29.457294464111328
2016-04-06,30.747570037841797
2016-04-07,30.41556739807129
2016-04-08,31.109750747680664
2016-04-11,31.079566955566406
2016-04-12,32.79991912841797
2016-04-13,32.882930755615234
2016-04-14,33.3658332824707
2016-04-15,32.97346496582031
2016-04-18,33.95436477661133
2016-04-19,35.508724212646484
2016-04-20,35.52381896972656
2016-04-21,34.88245391845703
2016-04-22,35.931270599365234
2016-04-25,34.912635803222656
2016-04-26,36.27836227416992
2016-04-27,36.30099105834961
