Date,OKE
2015-08-03,19.542020797729492
2015-08-04,19.0717716217041
2015-08-05,18.606863021850586
2015-08-06,18.86870765686035
2015-08-07,18.339679718017578
2015-08-10,19.077116012573242
2015-08-11,19.258800506591797
2015-08-12,20.177921295166016
2015-08-13,19.419111251831055
2015-08-14,19.387054443359375
2015-08-17,19.552705764770508
2015-08-18,19.034360885620117
2015-08-19,18.69770622253418
2015-08-20,18.63892936706543
2015-08-21,18.238149642944336
2015-08-24,17.190773010253906
2015-08-25,16.90221405029297
2015-08-26,17.399187088012695
2015-08-27,18.42517852783203
2015-08-28,19.039709091186523
2015-08-31,19.24277114868164
2015-09-01,18.670991897583008
2015-09-02,18.884740829467773
2015-09-03,19.06108283996582
2015-09-04,18.91680335998535
2015-09-08,19.46721076965332
2015-09-09,19.151927947998047
2015-09-10,19.322933197021484
2015-09-11,18.804582595825195
2015-09-14,18.435861587524414
2015-09-15,18.622896194458008
2015-09-16,19.274831771850586
2015-09-17,19.387054443359375
2015-09-18,19.098487854003906
2015-09-21,19.4992733001709
2015-09-22,19.616830825805664
2015-09-23,18.87940216064453
2015-09-24,18.612211227416992
2015-09-25,18.804582595825195
2015-09-28,17.63430404663086
2015-09-29,16.49074935913086
2015-09-30,17.206809997558594
2015-10-01,17.516742706298828
2015-10-02,18.489301681518555
2015-10-05,19.739730834960938
2015-10-06,20.220680236816406
2015-10-07,20.771076202392578
2015-10-08,20.893978118896484
2015-10-09,21.150484085083008
2015-10-12,20.733673095703125
2015-10-13,20.375648498535156
2015-10-14,20.20464515686035
2015-10-15,20.63214683532715
2015-10-16,20.749704360961914
2015-10-19,20.482521057128906
2015-10-20,20.375648498535156
2015-10-21,19.98554801940918
2015-10-22,19.60079574584961
2015-10-23,19.36033058166504
2015-10-26,18.489301681518555
2015-10-27,17.77859115600586
2015-10-28,17.976306915283203
2015-10-29,18.11510467529297
2015-10-30,18.463476181030273
2015-11-02,18.724754333496094
2015-11-03,18.545127868652344
2015-11-04,18.267520904541016
2015-11-05,17.07545280456543
2015-11-06,17.200645446777344
2015-11-09,16.765180587768555
2015-11-10,16.754301071166992
2015-11-11,16.057567596435547
2015-11-12,15.360831260681152
2015-11-13,15.507794380187988
2015-11-16,16.17731475830078
2015-11-17,15.491464614868164
2015-11-18,15.948694229125977
2015-11-19,15.774516105651855
2015-11-20,15.567667961120605
2015-11-23,15.834390640258789
2015-11-24,16.48213768005371
2015-11-25,16.552900314331055
2015-11-27,16.03579330444336
2015-11-30,16.04667854309082
2015-12-01,15.899713516235352
2015-12-02,14.691306114196777
2015-12-03,14.58244800567627
2015-12-04,13.499237060546875
2015-12-07,11.768289566040039
2015-12-08,11.681193351745605
2015-12-09,12.083996772766113
2015-12-10,12.13843059539795
2015-12-11,11.055220603942871
2015-12-14,11.213077545166016
2015-12-15,11.615880012512207
2015-12-16,11.365489959716797
2015-12-17,10.810279846191406
2015-12-18,10.304057121276855
2015-12-21,11.89348316192627
2015-12-22,12.584775924682617
2015-12-23,13.221634864807129
2015-12-24,13.129100799560547
2015-12-28,13.129100799560547
2015-12-29,13.090994834899902
2015-12-30,12.758959770202637
2015-12-31,13.423033714294434
2016-01-04,13.798619270324707
2016-01-05,13.809507369995117
2016-01-06,13.183528900146484
2016-01-07,12.399704933166504
2016-01-08,12.546669960021973
2016-01-11,12.307172775268555
