Date,PNCINFRA.NS
2015-08-21,95.10653686523438
2015-08-24,84.37043762207031
2015-08-25,85.84020233154297
2015-08-26,88.62399291992188
2015-08-27,94.09425354003906
2015-08-28,95.44720458984375
2015-08-31,97.34525299072266
2015-09-01,93.47130584716797
2015-09-02,93.7633056640625
2015-09-03,92.25458526611328
2015-09-04,92.9456787109375
2015-09-07,91.24230194091797
2015-09-08,91.40778350830078
2015-09-09,93.65623474121094
2015-09-10,91.51483917236328
2015-09-11,91.93339538574219
2015-09-14,89.24694061279297
2015-09-15,88.88679504394531
2015-09-16,90.95030975341797
2015-09-18,93.76258850097656
2015-09-21,93.6747055053711
2015-09-22,92.58103942871094
2015-09-23,92.20997619628906
2015-09-24,95.00273895263672
2015-09-28,95.04180145263672
2015-09-29,95.11016082763672
2015-09-30,97.38538360595703
2015-10-01,97.80526733398438
2015-10-05,100.66639709472656
2015-10-06,100.6468505859375
2015-10-07,101.81863403320312
2015-10-08,101.36945343017578
2015-10-09,101.57451629638672
2015-10-12,101.76004791259766
2015-10-13,102.09205627441406
2015-10-14,101.45733642578125
2015-10-15,100.5687255859375
2015-10-16,102.336181640625
2015-10-19,100.9690933227539
2015-10-20,100.11954498291016
2015-10-21,99.33836364746094
2015-10-23,101.0276870727539
2015-10-26,100.7249755859375
2015-10-27,100.48085021972656
2015-10-28,99.2992935180664
2015-10-29,99.3090591430664
2015-10-30,99.63130950927734
2015-11-02,100.37342834472656
2015-11-03,102.69747924804688
2015-11-04,103.45914459228516
2015-11-05,100.99838256835938
2015-11-06,102.04324340820312
2015-11-09,102.94159698486328
2015-11-10,103.04902648925781
2015-11-13,102.8146743774414
2015-11-16,103.10761260986328
2015-11-17,103.29313659667969
2015-11-18,103.08808135986328
2015-11-19,104.43563079833984
2015-11-20,104.82623291015625
2015-11-23,105.36331176757812
2015-11-24,103.72280883789062
2015-11-26,103.80091857910156
2015-11-27,103.72280883789062
2015-11-30,102.34595489501953
2015-12-01,105.4023666381836
2015-12-02,105.91989135742188
2015-12-03,105.22660827636719
2015-12-04,104.59187316894531
2015-12-07,103.00021362304688
2015-12-08,103.50796508789062
2015-12-09,104.03528594970703
2015-12-10,103.48844909667969
2015-12-11,104.06456756591797
2015-12-14,103.41033172607422
2015-12-15,103.48844909667969
2015-12-16,103.96691131591797
2015-12-17,105.5000228881836
2015-12-18,105.46094512939453
2015-12-21,104.10362243652344
2015-12-22,104.85552215576172
2015-12-23,105.24612426757812
2015-12-24,104.38682556152344
2015-12-28,105.4023666381836
2015-12-29,104.2696304321289
2015-12-30,104.29893493652344
2015-12-31,104.47470092773438
2016-01-01,105.12894439697266
2016-01-04,105.65624237060547
2016-01-05,104.4942398071289
2016-01-06,105.27542114257812
2016-01-07,102.21900177001953
2016-01-08,103.47866821289062
2016-01-11,104.47470092773438
2016-01-12,103.88880157470703
2016-01-13,102.68772888183594
2016-01-14,100.5492172241211
2016-01-15,99.26023864746094
2016-01-18,91.13584899902344
2016-01-19,95.06133270263672
2016-01-20,90.18865203857422
2016-01-21,92.65916442871094
2016-01-22,94.26061248779297
2016-01-25,94.78791046142578
2016-01-27,99.2992935180664
2016-01-28,98.7915267944336
2016-01-29,98.92821502685547
2016-02-01,100.16838073730469
2016-02-02,98.69387817382812
2016-02-03,97.79550170898438
2016-02-04,96.82878875732422
2016-02-05,98.93800354003906
2016-02-08,100.37342834472656
2016-02-09,101.12533569335938
2016-02-10,101.61357879638672
2016-02-11,96.78971099853516
2016-02-12,97.29749298095703
2016-02-15,103.35173797607422
2016-02-16,101.1155776977539
2016-02-17,101.18392181396484
