Date,ELV
2015-08-03,133.263427734375
2015-08-04,133.01930236816406
2015-08-05,135.1562957763672
2015-08-06,132.96693420410156
2015-08-07,133.1326446533203
2015-08-10,132.87095642089844
2015-08-11,132.94944763183594
2015-08-12,130.37632751464844
2015-08-13,130.56820678710938
2015-08-14,130.22804260253906
2015-08-17,132.4959259033203
2015-08-18,133.71707153320312
2015-08-19,132.5395050048828
2015-08-20,128.97201538085938
2015-08-21,127.89037322998047
2015-08-24,122.70916748046875
2015-08-25,120.49364471435547
2015-08-26,124.0001220703125
2015-08-27,124.0001220703125
2015-08-28,122.6044921875
2015-08-31,123.03187561035156
2015-09-01,120.42385864257812
2015-09-02,122.52601623535156
2015-09-03,124.68919372558594
2015-09-04,123.9041748046875
2015-09-08,128.28909301757812
2015-09-09,127.56192779541016
2015-09-10,126.10758972167969
2015-09-11,128.8673095703125
2015-09-14,127.7984848022461
2015-09-15,129.87490844726562
2015-09-16,132.42437744140625
2015-09-17,131.65338134765625
2015-09-18,128.66580200195312
2015-09-21,131.04010009765625
2015-09-22,130.2428436279297
2015-09-23,130.78604125976562
2015-09-24,128.84104919433594
2015-09-25,124.3291015625
2015-09-28,119.4228515625
2015-09-29,120.65815734863281
2015-09-30,122.65570831298828
2015-10-01,121.7270278930664
2015-10-02,124.27655792236328
2015-10-05,125.15264892578125
2015-10-06,122.1826171875
2015-10-07,122.13880157470703
2015-10-08,120.3165054321289
2015-10-09,123.08502960205078
2015-10-12,126.03752899169922
2015-10-13,128.37673950195312
2015-10-14,125.59069061279297
2015-10-15,127.23780059814453
2015-10-16,128.83230590820312
2015-10-19,130.37425231933594
2015-10-20,129.87490844726562
2015-10-21,125.10005187988281
2015-10-22,122.13880157470703
2015-10-23,123.4880142211914
2015-10-26,124.18013763427734
2015-10-27,126.76465606689453
2015-10-28,124.23270416259766
2015-10-29,123.82965087890625
2015-10-30,121.9110107421875
2015-11-02,122.53300476074219
2015-11-03,120.07117462158203
2015-11-04,118.57301330566406
2015-11-05,119.18629455566406
2015-11-06,117.38154602050781
2015-11-09,117.19754791259766
2015-11-10,118.51168823242188
2015-11-11,117.56548309326172
2015-11-12,116.89965057373047
2015-11-13,116.12866973876953
2015-11-16,118.32772827148438
2015-11-17,119.37030029296875
2015-11-18,120.29019927978516
2015-11-19,112.01971435546875
2015-11-20,115.02477264404297
2015-11-23,114.88459777832031
2015-11-24,115.32263946533203
2015-11-25,114.77070617675781
2015-11-27,114.96344757080078
2015-11-30,114.22753143310547
2015-12-01,118.9935531616211
2015-12-02,116.9911880493164
2015-12-03,113.91941833496094
2015-12-04,116.84151458740234
2015-12-07,116.8679428100586
2015-12-08,115.8293685913086
2015-12-09,116.58631134033203
2015-12-10,118.68109130859375
2015-12-11,119.50843048095703
2015-12-14,119.28839874267578
2015-12-15,118.83955383300781
2015-12-16,121.26878356933594
2015-12-17,122.35139465332031
2015-12-18,121.24238586425781
2015-12-21,122.80901336669922
2015-12-22,123.38993072509766
2015-12-23,123.6716079711914
2015-12-24,123.71562194824219
2015-12-28,123.24917602539062
2015-12-29,124.85106658935547
2015-12-30,124.06768798828125
2015-12-31,122.72985076904297
2016-01-04,122.52742767333984
2016-01-05,124.31419372558594
2016-01-06,121.27755737304688
2016-01-07,119.2004165649414
2016-01-08,116.29584503173828
2016-01-11,112.97763061523438
2016-01-12,119.3499984741211
2016-01-13,118.06495666503906
2016-01-14,121.55044555664062
2016-01-15,118.81310272216797
2016-01-19,120.45022583007812
2016-01-20,121.01351928710938
2016-01-21,122.1489486694336
2016-01-22,124.45494079589844
2016-01-25,122.05211639404297
2016-01-26,121.25115966796875
2016-01-27,115.5036849975586
2016-01-28,111.27012634277344
2016-01-29,114.85237121582031
2016-02-01,114.17467498779297
2016-02-02,111.78942108154297
2016-02-03,111.6309814453125
2016-02-04,111.46377563476562
2016-02-05,108.59443664550781
2016-02-08,103.17266082763672
2016-02-09,105.46104431152344
2016-02-10,106.91332244873047
2016-02-11,105.60187530517578
2016-02-12,106.98373413085938
2016-02-16,109.87069702148438
2016-02-17,112.27349853515625
2016-02-18,112.67839813232422
2016-02-19,111.98307800292969
2016-02-22,116.33104705810547
2016-02-23,115.53890228271484
2016-02-24,115.08122253417969
2016-02-25,116.38386535644531
2016-02-26,116.62150573730469
2016-02-29,115.0284194946289
2016-03-01,116.0053939819336
2016-03-02,118.02095031738281
2016-03-03,117.03518676757812
2016-03-04,116.4894790649414
2016-03-07,117.23763275146484
2016-03-08,117.17573547363281
2016-03-09,118.99775695800781
2016-03-10,121.89000701904297
2016-03-11,126.56883239746094
2016-03-14,127.5152359008789
2016-03-15,125.8701171875
2016-03-16,126.93157958984375
2016-03-17,124.13656616210938
2016-03-18,126.1973648071289
2016-03-21,123.82701873779297
2016-03-22,124.59650421142578
2016-03-23,123.38475799560547
2016-03-24,123.80048370361328
2016-03-28,123.43780517578125
2016-03-29,124.07466125488281
2016-03-30,123.80048370361328
2016-03-31,122.93367767333984
2016-04-01,125.46331787109375
2016-04-04,130.24832153320312
2016-04-05,126.7811279296875
2016-04-06,128.13438415527344
2016-04-07,126.85192108154297
2016-04-08,127.13493347167969
2016-04-11,124.62300109863281
2016-04-12,126.36547088623047
2016-04-13,126.96685028076172
2016-04-14,126.66619110107422
2016-04-15,126.40078735351562
2016-04-18,126.11779022216797
2016-04-19,127.71871948242188
2016-04-20,128.70933532714844
2016-04-21,129.0542449951172
2016-04-22,130.47825622558594
2016-04-25,129.21347045898438
2016-04-26,130.08029174804688
2016-04-27,128.03713989257812
2016-04-28,127.36489868164062
2016-04-29,124.50807189941406
2016-05-02,124.25154876708984
2016-05-03,125.08293151855469
2016-05-04,122.70369720458984
2016-05-05,121.2354507446289
2016-05-06,121.39468383789062
2016-05-09,122.44717407226562
2016-05-10,123.96849822998047
2016-05-11,123.4466781616211
2016-05-12,120.35982513427734
2016-05-13,119.85570526123047
2016-05-16,121.37699890136719
2016-05-17,120.4748306274414
