Date,ASL.L
2015-08-24,1126.3326416015625
2015-08-25,1177.257080078125
2015-08-26,1174.26171875
2015-08-27,1178.255859375
2015-08-28,1180.252685546875
2015-09-01,1183.248046875
2015-09-02,1197.2275390625
2015-09-03,1212.2054443359375
2015-09-04,1203.2188720703125
2015-09-07,1205.2156982421875
2015-09-08,1199.224609375
2015-09-09,1203.2188720703125
2015-09-10,1189.239501953125
2015-09-11,1197.2275390625
2015-09-14,1200.22314453125
2015-09-15,1198.22607421875
2015-09-16,1189.239501953125
2015-09-17,1178.255859375
2015-09-18,1185.24560546875
2015-09-21,1173.26318359375
2015-09-22,1134.32080078125
2015-09-23,1143.3074951171875
2015-09-24,1113.351806640625
2015-09-25,1121.340087890625
2015-09-28,1106.3621826171875
2015-09-29,1082.397705078125
2015-09-30,1090.3857421875
2015-10-01,1096.376953125
2015-10-02,1113.351806640625
2015-10-05,1132.3233642578125
2015-10-06,1135.3192138671875
2015-10-07,1132.3233642578125
2015-10-08,1139.313232421875
2015-10-09,1137.31640625
2015-10-12,1134.32080078125
2015-10-13,1129.328125
2015-10-14,1128.32958984375
2015-10-15,1132.3233642578125
2015-10-16,1134.32080078125
2015-10-19,1118.3441162109375
2015-10-20,1132.3233642578125
2015-10-21,1145.304443359375
2015-10-22,1144.3060302734375
2015-10-23,1160.282470703125
2015-10-26,1161.2808837890625
2015-10-27,1157.2869873046875
2015-10-28,1161.2808837890625
2015-10-29,1148.3001708984375
2015-10-30,1143.3074951171875
2015-11-02,1123.337158203125
2015-11-03,1123.337158203125
2015-11-04,1124.3353271484375
2015-11-05,1120.3414306640625
2015-11-06,1120.3414306640625
2015-11-09,1115.3489990234375
2015-11-10,1113.351806640625
2015-11-11,1116.3472900390625
2015-11-12,1116.3472900390625
2015-11-13,1108.3592529296875
2015-11-16,1112.3533935546875
2015-11-17,1131.3250732421875
2015-11-18,1132.3233642578125
2015-11-19,1129.328125
2015-11-20,1134.32080078125
2015-11-23,1126.3326416015625
2015-11-24,1114.350341796875
2015-11-25,1122.33837890625
2015-11-26,1128.32958984375
2015-11-27,1126.3326416015625
2015-11-30,1136.3175048828125
2015-12-01,1138.314697265625
2015-12-02,1150.297119140625
2015-12-03,1142.3089599609375
2015-12-04,1153.2926025390625
2015-12-07,1162.2794189453125
2015-12-08,1153.2926025390625
2015-12-09,1170.2674560546875
2015-12-10,1167.2720947265625
2015-12-11,1149.2984619140625
2015-12-14,1172.2646484375
2015-12-15,1197.2275390625
2015-12-16,1200.22314453125
2015-12-17,1196.2291259765625
2015-12-18,1188.2408447265625
2015-12-21,1180.252685546875
2015-12-22,1180.252685546875
2015-12-23,1183.248046875
2015-12-24,1183.248046875
2015-12-29,1201.2216796875
2015-12-30,1196.2291259765625
2015-12-31,1191.2364501953125
2016-01-04,1164.2764892578125
2016-01-05,1183.248046875
2016-01-06,1171.26611328125
2016-01-07,1151.2955322265625
2016-01-08,1148.3001708984375
2016-01-11,1152.2940673828125
2016-01-12,1154.291259765625
2016-01-13,1135.3192138671875
2016-01-14,1118.3441162109375
2016-01-15,1102.3680419921875
2016-01-18,1078.403564453125
2016-01-19,1081.3990478515625
2016-01-20,1008.5068969726562
2016-01-21,1007.508544921875
2016-01-22,1057.4345703125
2016-01-25,1064.4241943359375
2016-01-26,1072.4124755859375
2016-01-27,1083.396240234375
2016-01-28,1086.3917236328125
2016-01-29,1091.3841552734375
2016-02-01,1070.41552734375
2016-02-02,1063.42578125
2016-02-03,1028.4776611328125
2016-02-04,1030.474365234375
2016-02-05,1023.4846801757812
2016-02-08,1018.4921264648438
2016-02-09,996.5247192382812
2016-02-10,1005.5114135742188
2016-02-11,972.5602416992188
2016-02-12,972.5602416992188
2016-02-15,973.5587158203125
2016-02-16,964.572021484375
2016-02-17,1008.5068969726562
2016-02-18,998.5217895507812
2016-02-19,1006.5099487304688
2016-02-22,1010.5039672851562
2016-02-23,996.5247192382812
2016-02-24,986.0403442382812
2016-02-25,993.5291748046875
2016-02-26,1003.5143432617188
2016-02-29,990.0343627929688
2016-03-01,1007.508544921875
2016-03-02,1005.5114135742188
2016-03-03,1000.5187377929688
2016-03-04,1021.4878540039062
2016-03-07,1012.5010375976562
2016-03-08,1013.4996948242188
2016-03-09,1000.5187377929688
2016-03-10,1006.5099487304688
2016-03-11,1007.508544921875
2016-03-14,1005.5114135742188
2016-03-15,1008.5068969726562
2016-03-16,1026.48046875
2016-03-17,1023.4846801757812
2016-03-18,1020.4892578125
2016-03-21,1021.4878540039062
2016-03-22,1015.4966430664062
2016-03-23,1006.5099487304688
2016-03-24,998.5217895507812
2016-03-29,998.5217895507812
2016-03-30,1008.5068969726562
2016-03-31,1003.5143432617188
2016-04-01,996.5247192382812
2016-04-04,998.5217895507812
2016-04-05,989.53515625
2016-04-06,1013.4996948242188
2016-04-07,1011.5025024414062
2016-04-08,1023.4846801757812
2016-04-11,1012.5010375976562
2016-04-12,1018.4921264648438
2016-04-13,1033.4700927734375
2016-04-14,1025.48193359375
2016-04-15,1031.472900390625
2016-04-18,1023.4846801757812
2016-04-19,1039.4613037109375
2016-04-20,1028.4776611328125
2016-04-21,1035.46728515625
2016-04-22,1030.474365234375
2016-04-25,1049.446533203125
2016-04-26,1057.4345703125
2016-04-27,1073.4107666015625
2016-04-28,1070.41552734375
2016-04-29,1046.450927734375
2016-05-03,1054.4388427734375
2016-05-04,1043.455322265625
2016-05-05,1045.4521484375
2016-05-06,1035.46728515625
2016-05-09,1037.464111328125
2016-05-10,1039.4613037109375
2016-05-11,1039.4613037109375
2016-05-12,1032.4715576171875
2016-05-13,1026.48046875
2016-05-16,1026.48046875
2016-05-17,1042.4569091796875
2016-05-18,1031.472900390625
2016-05-19,1036.465576171875
2016-05-20,1036.465576171875
2016-05-23,1040.4595947265625
2016-05-24,1052.44189453125
2016-05-25,1057.4345703125
2016-05-26,1060.43017578125
2016-05-27,1066.4212646484375
2016-05-31,1069.4168701171875
2016-06-01,1062.4271240234375
2016-06-02,1063.42578125
2016-06-03,1052.44189453125
2016-06-06,1054.4388427734375
2016-06-07,1049.446533203125
2016-06-08,1043.455322265625
2016-06-09,1042.4569091796875
2016-06-10,1034.468505859375
2016-06-13,1016.4952392578125
2016-06-14,991.5322265625
2016-06-15,1006.5099487304688
2016-06-16,989.0357666015625
2016-06-17,1016.4952392578125
2016-06-20,1047.449462890625
2016-06-21,1048.4476318359375
2016-06-22,1050.445068359375
2016-06-23,1066.4212646484375
2016-06-24,984.043212890625
2016-06-27,847.7450561523438
2016-06-28,883.69189453125
2016-06-29,926.6282348632812
2016-06-30,906.1585083007812
2016-07-01,910.6517944335938
2016-07-04,893.6769409179688
2016-07-05,868.7138671875
2016-07-06,864.7198486328125
2016-07-07,881.1954956054688
2016-07-08,880.6963500976562
2016-07-11,951.5913696289062
2016-07-12,953.0890502929688
2016-07-13,948.5956420898438
2016-07-14,962.07568359375
2016-07-15,949.59423828125
2016-07-18,973.5587158203125
2016-07-19,972.5602416992188
2016-07-20,985.541015625
2016-07-21,984.043212890625
2016-07-22,973.0594482421875
2016-07-25,980.54833984375
2016-07-26,977.5527954101562
2016-07-27,991.0328979492188
2016-07-28,1003.5143432617188
2016-07-29,998.5217895507812
2016-08-01,984.54248046875
2016-08-02,960.5780639648438
2016-08-03,966.5690307617188
2016-08-04,981.1348266601562
2016-08-05,999.609130859375
2016-08-08,1004.6022338867188
2016-08-09,1008.5964965820312
2016-08-10,1010.59375
2016-08-11,1011.5924682617188
2016-08-12,1013.5897216796875
2016-08-15,1013.5897216796875
2016-08-16,1008.5964965820312
2016-08-17,1018.5827026367188
2016-08-18,1017.5841064453125
2016-08-19,1019.5813598632812
2016-08-22,1018.5827026367188
2016-08-23,1032.5633544921875
2016-08-24,1030.5660400390625
2016-08-25,1033.5618896484375
2016-08-26,1031.5645751953125
2016-08-30,1036.5577392578125
2016-08-31,1029.5675048828125
2016-09-01,1051.536865234375
2016-09-02,1055.53125
2016-09-05,1058.527099609375
2016-09-06,1053.5341796875
2016-09-07,1041.5506591796875
2016-09-08,1045.5450439453125
