Date,SN.L
2015-08-24,1068.62744140625
2015-08-25,1110.5341796875
2015-08-26,1085.589599609375
2015-08-27,1131.48779296875
2015-08-28,1160.423583984375
2015-09-01,1127.496826171875
2015-09-02,1133.4832763671875
2015-09-03,1163.416748046875
2015-09-04,1147.4521484375
2015-09-07,1154.4365234375
2015-09-08,1162.4190673828125
2015-09-09,1178.3836669921875
2015-09-10,1168.4058837890625
2015-09-11,1158.427978515625
2015-09-14,1146.454345703125
2015-09-15,1152.4412841796875
2015-09-16,1160.423583984375
2015-09-17,1156.4322509765625
2015-09-18,1141.4656982421875
2015-09-21,1162.4190673828125
2015-09-22,1153.43896484375
2015-09-23,1168.4058837890625
2015-09-24,1156.4322509765625
2015-09-25,1172.39697265625
2015-09-28,1140.4677734375
2015-09-29,1119.51416015625
2015-09-30,1150.44580078125
2015-10-01,1144.4588623046875
2015-10-02,1139.47021484375
2015-10-05,1166.409912109375
2015-10-06,1158.427978515625
2015-10-07,1117.5184326171875
2015-10-08,1125.5782470703125
2015-10-09,1123.5823974609375
2015-10-12,1120.588623046875
2015-10-13,1127.573974609375
2015-10-14,1119.5909423828125
2015-10-15,1130.567626953125
2015-10-16,1144.537353515625
2015-10-19,1148.5286865234375
2015-10-20,1143.5394287109375
2015-10-21,1135.5567626953125
2015-10-22,1133.5611572265625
2015-10-23,1144.537353515625
2015-10-26,1152.52001953125
2015-10-27,1137.552490234375
2015-10-28,1147.531005859375
2015-10-29,1093.6470947265625
2015-10-30,1107.61669921875
2015-11-02,1102.62744140625
2015-11-03,1099.6337890625
2015-11-04,1101.6297607421875
2015-11-05,1099.6337890625
2015-11-06,1109.6124267578125
2015-11-09,1089.6553955078125
2015-11-10,1086.6619873046875
2015-11-11,1092.6492919921875
2015-11-12,1077.68115234375
2015-11-13,1070.6961669921875
2015-11-16,1067.7027587890625
2015-11-17,1098.636474609375
2015-11-18,1106.6187744140625
2015-11-19,1122.5843505859375
2015-11-20,1114.6016845703125
2015-11-23,1113.6038818359375
2015-11-24,1104.623291015625
2015-11-25,1114.6016845703125
2015-11-26,1130.567626953125
2015-11-27,1118.5933837890625
2015-11-30,1122.5843505859375
2015-12-01,1124.580322265625
2015-12-02,1142.5416259765625
2015-12-03,1114.6016845703125
2015-12-04,1110.610107421875
2015-12-07,1113.6038818359375
2015-12-08,1102.62744140625
2015-12-09,1088.6575927734375
2015-12-10,1085.6640625
2015-12-11,1070.6961669921875
2015-12-14,1057.7242431640625
2015-12-15,1083.66845703125
2015-12-16,1083.66845703125
2015-12-17,1117.59521484375
2015-12-18,1169.4835205078125
2015-12-21,1140.546142578125
2015-12-22,1150.5245361328125
2015-12-23,1168.4859619140625
2015-12-24,1170.4815673828125
2015-12-29,1206.4041748046875
2015-12-30,1209.397705078125
2015-12-31,1205.406494140625
2016-01-04,1166.48974609375
2016-01-05,1176.4686279296875
2016-01-06,1173.47509765625
2016-01-07,1164.4945068359375
2016-01-08,1152.52001953125
2016-01-11,1135.5567626953125
2016-01-12,1157.50927734375
2016-01-13,1147.531005859375
2016-01-14,1123.5823974609375
2016-01-15,1100.632080078125
2016-01-18,1100.632080078125
2016-01-19,1104.623291015625
2016-01-20,1079.6767578125
2016-01-21,1101.6297607421875
2016-01-22,1122.5843505859375
2016-01-25,1128.5716552734375
2016-01-26,1139.5482177734375
2016-01-27,1160.5032958984375
2016-01-28,1131.5654296875
2016-01-29,1159.50537109375
2016-02-01,1150.5245361328125
2016-02-02,1134.5587158203125
2016-02-03,1113.6038818359375
2016-02-04,1098.636474609375
2016-02-05,1090.6533203125
2016-02-08,1053.73291015625
2016-02-09,1064.709228515625
2016-02-10,1078.6790771484375
2016-02-11,1048.743408203125
2016-02-12,1062.7135009765625
2016-02-15,1092.6492919921875
2016-02-16,1109.6124267578125
2016-02-17,1140.546142578125
2016-02-18,1149.5267333984375
2016-02-19,1150.5245361328125
2016-02-22,1158.507568359375
2016-02-23,1149.5267333984375
2016-02-24,1143.5394287109375
2016-02-25,1174.4730224609375
2016-02-26,1174.4730224609375
2016-02-29,1170.4815673828125
2016-03-01,1175.470703125
2016-03-02,1170.4815673828125
2016-03-03,1142.5416259765625
2016-03-04,1146.532958984375
2016-03-07,1135.5567626953125
2016-03-08,1139.5482177734375
2016-03-09,1127.573974609375
2016-03-10,1105.6212158203125
2016-03-11,1118.5933837890625
2016-03-14,1123.5823974609375
2016-03-15,1119.5909423828125
2016-03-16,1120.588623046875
2016-03-17,1110.610107421875
2016-03-18,1117.59521484375
2016-03-21,1112.6058349609375
2016-03-22,1124.580322265625
2016-03-23,1126.5760498046875
2016-03-24,1116.5975341796875
2016-03-29,1127.573974609375
2016-03-30,1146.532958984375
2016-03-31,1145.535400390625
2016-04-01,1163.4967041015625
2016-04-04,1164.4945068359375
2016-04-05,1155.5137939453125
2016-04-06,1165.49267578125
2016-04-07,1170.4815673828125
2016-04-08,1172.47705078125
2016-04-11,1160.5032958984375
2016-04-12,1163.4967041015625
2016-04-13,1178.46435546875
2016-04-14,1193.4322509765625
2016-04-15,1199.4188232421875
2016-04-18,1197.423583984375
2016-04-19,1190.4384765625
2016-04-20,1167.4876708984375
2016-04-21,1150.65234375
2016-04-22,1120.713134765625
2016-04-25,1140.6728515625
2016-04-26,1136.6807861328125
2016-04-27,1146.660400390625
2016-04-28,1166.6195068359375
2016-04-29,1153.646240234375
2016-05-03,1167.6175537109375
2016-05-04,1161.6298828125
2016-05-05,1129.6949462890625
2016-05-06,1133.6866455078125
2016-05-09,1162.627685546875
2016-05-10,1152.6478271484375
2016-05-11,1154.64404296875
2016-05-12,1144.6644287109375
2016-05-13,1162.627685546875
2016-05-16,1150.65234375
2016-05-17,1148.65625
2016-05-18,1138.6767578125
2016-05-19,1128.6968994140625
2016-05-20,1148.65625
2016-05-23,1155.6422119140625
2016-05-24,1170.611572265625
2016-05-25,1177.5970458984375
2016-05-26,1171.6094970703125
2016-05-27,1176.599365234375
2016-05-31,1169.6136474609375
2016-06-01,1173.6053466796875
2016-06-02,1175.60107421875
2016-06-03,1185.5811767578125
2016-06-06,1187.5771484375
2016-06-07,1169.6136474609375
2016-06-08,1162.627685546875
2016-06-09,1160.63232421875
2016-06-10,1136.6807861328125
2016-06-13,1132.688720703125
2016-06-14,1116.7215576171875
2016-06-15,1117.719482421875
2016-06-16,1109.7357177734375
2016-06-17,1112.7293701171875
2016-06-20,1147.6585693359375
2016-06-21,1148.65625
2016-06-22,1158.6361083984375
2016-06-23,1157.6378173828125
2016-06-24,1179.5931396484375
2016-06-27,1168.61572265625
2016-06-28,1193.564697265625
2016-06-29,1232.4852294921875
2016-06-30,1264.4200439453125
2016-07-01,1279.3892822265625
2016-07-04,1268.411865234375
2016-07-05,1290.3670654296875
2016-07-06,1290.3670654296875
2016-07-07,1298.35107421875
2016-07-08,1307.3328857421875
