Date,MMK.VI
2015-08-24,82.15069580078125
2015-08-25,79.47274017333984
2015-08-26,77.1019287109375
2015-08-27,80.2209701538086
2015-08-28,74.82565307617188
2015-08-31,82.5838851928711
2015-09-01,79.55147552490234
2015-09-02,78.73233032226562
2015-09-03,79.07891082763672
2015-09-04,79.7483901977539
2015-09-07,78.61419677734375
2015-09-08,79.55147552490234
2015-09-09,78.76385498046875
2015-09-10,77.5823745727539
2015-09-11,78.37002563476562
2015-09-14,78.110107421875
2015-09-15,78.6850814819336
2015-09-16,78.51180267333984
2015-09-17,78.56692504882812
2015-09-18,78.29125213623047
2015-09-21,78.1731185913086
2015-09-22,77.38546752929688
2015-09-23,78.76385498046875
2015-09-24,77.61389923095703
2015-09-25,79.35456848144531
2015-09-28,80.69355773925781
2015-09-29,80.339111328125
2015-09-30,81.36306762695312
2015-10-01,81.71749114990234
2015-10-02,82.46574401855469
2015-10-05,81.63873291015625
2015-10-06,80.339111328125
2015-10-07,79.2364273071289
2015-10-08,80.6541748046875
2015-10-09,80.96922302246094
2015-10-12,82.11131286621094
2015-10-13,82.30821228027344
2015-10-14,83.13524627685547
2015-10-15,84.27731323242188
2015-10-16,80.73294067382812
2015-10-19,84.7499008178711
2015-10-20,83.17462921142578
2015-10-21,82.50511932373047
2015-10-22,85.02556610107422
2015-10-23,85.77383422851562
2015-10-27,84.71053314208984
2015-10-28,84.98619842529297
2015-10-29,84.86803436279297
2015-10-30,84.6317367553711
2015-11-02,84.11978149414062
2015-11-03,84.27971649169922
2015-11-04,86.35871887207031
2015-11-05,86.35871887207031
2015-11-06,86.35871887207031
2015-11-09,86.55862426757812
2015-11-10,85.31922149658203
2015-11-11,86.35871887207031
2015-11-12,86.35871887207031
2015-11-13,86.11882781982422
2015-11-16,83.91987609863281
2015-11-17,84.19974517822266
2015-11-18,84.2397232055664
2015-11-19,84.55957794189453
2015-11-20,84.35968017578125
2015-11-23,82.60052490234375
2015-11-24,82.88038635253906
2015-11-25,82.52055358886719
2015-11-26,81.40109252929688
2015-11-27,83.04029846191406
2015-11-30,84.43962860107422
2015-12-01,86.3187255859375
2015-12-02,86.7585220336914
2015-12-03,88.51768493652344
2015-12-04,85.27922821044922
2015-12-07,85.27922821044922
2015-12-09,85.9189224243164
2015-12-10,84.75947570800781
2015-12-11,84.55957794189453
2015-12-14,83.95986938476562
2015-12-15,84.91940307617188
2015-12-16,86.27876281738281
2015-12-17,88.55766296386719
2015-12-18,91.55622863769531
2015-12-21,92.75566101074219
2015-12-22,89.87703704833984
2015-12-23,90.83656311035156
2015-12-28,91.83610534667969
2015-12-29,91.4363021850586
2015-12-30,91.55622863769531
2016-01-04,89.11738586425781
2016-01-05,88.79753875732422
2016-01-07,86.59860229492188
2016-01-08,83.75995635986328
2016-01-11,84.03982543945312
2016-01-12,84.83943176269531
2016-01-13,85.23924255371094
2016-01-14,85.07933044433594
2016-01-15,84.43962860107422
2016-01-18,83.56004333496094
2016-01-19,83.95986938476562
2016-01-20,83.2002182006836
2016-01-21,85.03935241699219
2016-01-22,84.47962188720703
2016-01-25,81.7209243774414
2016-01-26,81.08123016357422
2016-01-27,83.00032043457031
2016-01-28,81.7209243774414
2016-01-29,83.719970703125
2016-02-01,82.08076477050781
2016-02-02,81.04126739501953
2016-02-03,81.64096069335938
2016-02-04,82.36062622070312
2016-02-05,82.60052490234375
2016-02-08,80.28162384033203
2016-02-09,82.40060424804688
2016-02-10,79.16214752197266
2016-02-11,78.36253356933594
2016-02-12,79.51398468017578
2016-02-15,81.76091003417969
2016-02-16,80.36157989501953
2016-02-17,81.2811508178711
2016-02-18,81.68095397949219
2016-02-19,81.76091003417969
2016-02-22,81.44105529785156
2016-02-23,81.80089569091797
2016-02-24,80.92131805419922
2016-02-25,81.16120147705078
2016-02-26,81.40109252929688
2016-02-29,80.6414566040039
2016-03-01,81.40109252929688
2016-03-02,80.92131805419922
2016-03-03,80.04173278808594
2016-03-04,80.36157989501953
2016-03-07,80.04173278808594
2016-03-08,80.04173278808594
2016-03-09,80.76138305664062
2016-03-10,78.40251159667969
2016-03-11,79.00224304199219
2016-03-14,82.36062622070312
2016-03-15,82.36062622070312
2016-03-16,82.92036437988281
2016-03-17,85.7989730834961
2016-03-18,85.87895202636719
2016-03-21,82.24068450927734
2016-03-22,84.11978149414062
2016-03-23,85.87895202636719
2016-03-24,83.95986938476562
2016-03-29,83.16024780273438
2016-03-30,83.9998550415039
2016-03-31,84.35968017578125
2016-04-01,83.28018951416016
2016-04-04,83.56004333496094
2016-04-05,83.16024780273438
2016-04-06,81.56100463867188
2016-04-07,82.20069885253906
2016-04-08,83.16024780273438
2016-04-11,82.36062622070312
2016-04-12,82.08076477050781
2016-04-13,82.76042938232422
2016-04-14,82.24068450927734
2016-04-15,81.56100463867188
2016-04-18,81.16120147705078
2016-04-19,83.44011688232422
2016-04-20,81.96082305908203
2016-04-21,82.16072082519531
2016-04-22,82.68047332763672
2016-04-25,81.60100555419922
2016-04-26,83.16024780273438
2016-04-27,83.64002990722656
2016-04-28,82.56053161621094
2016-04-29,81.96082305908203
2016-05-02,84.75947570800781
2016-05-03,83.22280883789062
2016-05-04,84.71904754638672
2016-05-06,83.182373046875
2016-05-09,84.63816833496094
2016-05-10,84.47640228271484
2016-05-11,82.89929962158203
2016-05-12,83.38456726074219
2016-05-13,82.81842803955078
2016-05-17,85.32561492919922
2016-05-18,85.00212097167969
2016-05-19,83.22280883789062
2016-05-20,84.11245727539062
2016-05-23,83.99114990234375
2016-05-24,83.86982727050781
