Date,MAXHEALTH.NS
2020-08-21,111.24356842041016
2020-08-24,116.76842498779297
2020-08-25,122.59191131591797
2020-08-26,123.43806457519531
2020-08-27,117.26615905761719
2020-08-28,111.44266510009766
2020-08-31,105.91781616210938
2020-09-01,105.22098541259766
2020-09-02,105.96759033203125
2020-09-03,111.24356842041016
2020-09-04,114.72771453857422
2020-09-07,112.83631896972656
2020-09-08,109.50149536132812
2020-09-09,110.94493103027344
2020-09-10,111.19380187988281
2020-09-11,130.95384216308594
2020-09-14,120.35211181640625
2020-09-15,118.21185302734375
2020-09-16,120.15301513671875
2020-09-17,117.16661071777344
2020-09-18,116.32046508789062
2020-09-21,110.39742279052734
2020-09-22,108.55581665039062
2020-09-23,110.44719696044922
2020-09-24,108.25717163085938
2020-09-25,109.40196228027344
2020-09-28,116.0218276977539
2020-09-29,112.93585968017578
2020-09-30,114.82726287841797
2020-10-01,115.37476348876953
2020-10-05,113.4833755493164
2020-10-06,115.02635192871094
2020-10-07,113.78202819824219
2020-10-08,112.13949584960938
2020-10-09,110.19832611083984
2020-10-12,108.05807495117188
2020-10-13,112.13949584960938
2020-10-14,109.45172882080078
2020-10-15,106.66442108154297
2020-10-16,107.610107421875
2020-10-19,108.10784912109375
2020-10-20,106.46532440185547
2020-10-21,105.7187271118164
2020-10-22,105.17122650146484
2020-10-23,104.82280731201172
2020-10-26,104.72325897216797
2020-10-27,105.56940460205078
2020-10-28,104.07621002197266
2020-10-29,103.18028259277344
2020-10-30,106.06714630126953
2020-11-02,106.66442108154297
2020-11-03,107.31147766113281
2020-11-04,112.68700408935547
2020-11-05,114.03089141845703
2020-11-06,113.98110961914062
2020-11-09,119.45619201660156
2020-11-10,114.72771453857422
2020-11-11,120.65074920654297
2020-11-12,117.61457061767578
2020-11-13,121.64620971679688
2020-11-14,121.69599914550781
2020-11-17,121.14848327636719
2020-11-18,119.40641021728516
2020-11-19,120.50143432617188
2020-11-20,123.33850860595703
2020-11-23,125.7276382446289
2020-11-24,125.08058166503906
2020-11-25,123.7864761352539
2020-11-26,123.53760528564453
2020-11-27,126.4742431640625
2020-12-01,126.8226547241211
2020-12-02,127.37016296386719
2020-12-03,127.56925964355469
2020-12-04,138.7682647705078
2020-12-07,148.02610778808594
2020-12-08,141.50579833984375
2020-12-09,138.66873168945312
2020-12-10,140.31124877929688
2020-12-11,140.11215209960938
2020-12-14,138.27053833007812
2020-12-15,136.77732849121094
2020-12-16,138.22076416015625
2020-12-17,138.56918334960938
2020-12-18,139.6144256591797
2020-12-21,129.7095184326172
2020-12-22,135.58277893066406
2020-12-23,140.9085235595703
2020-12-24,140.7592010498047
2020-12-28,143.0487823486328
2020-12-29,140.31124877929688
2020-12-30,139.86328125
2020-12-31,139.51486206054688
2021-01-01,141.85421752929688
2021-01-04,141.1076202392578
2021-01-05,141.1076202392578
2021-01-06,142.99899291992188
2021-01-07,155.4921417236328
2021-01-08,153.60073852539062
2021-01-11,159.1256103515625
2021-01-12,162.75904846191406
2021-01-13,158.92648315429688
2021-01-14,160.51925659179688
2021-01-15,159.2251434326172
2021-01-18,163.60520935058594
2021-01-19,164.94908142089844
2021-01-20,161.7635955810547
2021-01-21,162.808837890625
2021-01-22,161.9129180908203
2021-01-25,161.5147247314453
2021-01-27,163.90383911132812
2021-01-28,161.46495056152344
2021-01-29,161.46495056152344
2021-02-01,166.49205017089844
2021-02-02,168.8314208984375
2021-02-03,169.92642211914062
2021-02-04,174.70468139648438
2021-02-05,178.3878936767578
2021-02-08,180.62770080566406
2021-02-09,184.95799255371094
2021-02-10,179.134521484375
2021-02-11,196.90362548828125
2021-02-12,197.2520294189453
2021-02-15,194.31539916992188
2021-02-16,190.63217163085938
2021-02-17,200.2882080078125
2021-02-18,202.1298370361328
2021-02-19,205.81304931640625
2021-02-22,188.54168701171875
2021-02-23,183.1163787841797
2021-02-24,182.96707153320312
2021-02-25,182.17066955566406
2021-02-26,180.4783935546875
2021-03-01,183.91275024414062
2021-03-02,188.09371948242188
2021-03-03,188.8900909423828
2021-03-04,194.5144805908203
2021-03-05,197.94886779785156
2021-03-08,197.6999969482422
2021-03-09,198.14794921875
2021-03-10,200.63661193847656
2021-03-12,205.31532287597656
2021-03-15,201.48275756835938
2021-03-16,205.4646453857422
2021-03-17,200.73617553710938
2021-03-18,196.90362548828125
2021-03-19,198.54612731933594
2021-03-22,203.1252899169922
2021-03-23,203.82211303710938
2021-03-24,202.08006286621094
2021-03-25,197.84930419921875
2021-03-26,197.79953002929688
2021-03-30,204.1705322265625
2021-03-31,204.81759643554688
2021-04-01,217.21116638183594
2021-04-05,227.61380004882812
2021-04-06,229.50518798828125
2021-04-07,223.78126525878906
2021-04-08,221.2926025390625
2021-04-09,217.90798950195312
2021-04-12,219.84915161132812
2021-04-13,219.00299072265625
2021-04-15,218.95323181152344
2021-04-16,221.04373168945312
2021-04-19,232.5413818359375
2021-04-20,234.5820770263672
2021-04-22,224.72694396972656
2021-04-23,223.43283081054688
2021-04-26,223.7314910888672
2021-04-27,226.41925048828125
2021-04-28,225.07537841796875
2021-04-29,223.48260498046875
2021-04-30,225.9215087890625
2021-05-03,229.7540740966797
2021-05-04,226.91697692871094
2021-05-05,228.75860595703125
2021-05-06,227.61380004882812
2021-05-07,226.3197021484375
2021-05-10,230.45089721679688
2021-05-11,233.08888244628906
2021-05-12,222.4871368408203
2021-05-14,219.10256958007812
2021-05-17,217.75868225097656
2021-05-18,221.6409912109375
2021-05-19,224.92604064941406
2021-05-20,224.0799102783203
2021-05-21,226.22015380859375
