Date,SKF-B.ST
2015-08-24,109.19664764404297
2015-08-25,112.39996337890625
2015-08-26,109.55256652832031
2015-08-27,116.45743560791016
2015-08-28,116.03033447265625
2015-08-31,115.24730682373047
2015-09-01,112.11519622802734
2015-09-02,112.96942138671875
2015-09-03,114.53548431396484
2015-09-04,111.75928497314453
2015-09-07,112.04400634765625
2015-09-08,113.11180114746094
2015-09-09,115.03378295898438
2015-09-10,116.17272186279297
2015-09-11,118.59298706054688
2015-09-14,115.38969421386719
2015-09-15,117.95232391357422
2015-09-16,118.16587829589844
2015-09-17,114.1083755493164
2015-09-18,109.69495391845703
2015-09-21,110.47798919677734
2015-09-22,105.5662612915039
2015-09-23,105.5662612915039
2015-09-24,103.07481384277344
2015-09-25,104.78323364257812
2015-09-28,103.92901611328125
2015-09-29,109.62377166748047
2015-09-30,109.41021728515625
2015-10-01,110.69153594970703
2015-10-02,110.1932373046875
2015-10-05,112.5423355102539
2015-10-06,110.90509796142578
2015-10-07,111.11863708496094
2015-10-08,111.6880874633789
2015-10-09,115.7456283569336
2015-10-12,116.3862533569336
2015-10-13,114.67786407470703
2015-10-14,112.68470001220703
2015-10-15,110.54917907714844
2015-10-16,102.5053482055664
2015-10-19,100.654541015625
2015-10-20,102.5765380859375
2015-10-21,102.36297607421875
2015-10-22,106.34928131103516
2015-10-23,107.77296447753906
2015-10-26,108.84072875976562
2015-10-27,105.77982330322266
2015-10-28,107.20349884033203
2015-10-29,104.640869140625
2015-10-30,107.06111907958984
2015-11-02,107.06111907958984
2015-11-03,109.26783752441406
2015-11-04,113.53889465332031
2015-11-05,110.47798919677734
2015-11-06,112.89826202392578
2015-11-09,109.83731842041016
2015-11-10,107.98651885986328
2015-11-11,108.48483276367188
2015-11-12,106.49166870117188
2015-11-13,105.99337005615234
2015-11-16,105.99337005615234
2015-11-17,108.91192626953125
2015-11-18,109.26783752441406
2015-11-19,109.26783752441406
2015-11-20,111.6169204711914
2015-11-23,111.6169204711914
2015-11-24,109.0542984008789
2015-11-25,108.91192626953125
2015-11-26,106.7763900756836
2015-11-27,105.70862579345703
2015-11-30,108.27127838134766
2015-12-01,107.48822784423828
2015-12-02,107.98651885986328
