Date,IBST.L
2015-10-22,195.3773193359375
2015-10-23,197.37098693847656
2015-10-26,194.38052368164062
2015-10-27,191.88844299316406
2015-10-28,190.39321899414062
2015-10-29,190.8916015625
2015-10-30,190.8916015625
2015-11-02,190.8916015625
2015-11-03,193.38369750976562
2015-11-04,193.88209533691406
2015-11-05,195.6265106201172
2015-11-06,197.6201934814453
2015-11-09,198.3677978515625
2015-11-10,196.37413024902344
2015-11-11,196.1249237060547
2015-11-12,195.1281280517578
2015-11-13,188.3996124267578
2015-11-16,189.3964080810547
2015-11-17,189.3964080810547
2015-11-18,191.39004516601562
2015-11-19,190.8916015625
2015-11-20,191.39004516601562
2015-11-23,189.3964080810547
2015-11-24,188.89801025390625
2015-11-25,196.87255859375
2015-11-26,203.8502960205078
2015-11-27,204.84718322753906
2015-11-30,206.34242248535156
2015-12-01,204.84718322753906
2015-12-02,208.58523559570312
2015-12-03,211.32647705078125
2015-12-04,213.32015991210938
2015-12-07,217.8058624267578
2015-12-08,217.8058624267578
2015-12-09,214.8153839111328
2015-12-10,210.08047485351562
2015-12-11,207.5884246826172
2015-12-14,211.32647705078125
2015-12-15,212.82174682617188
2015-12-16,212.32333374023438
2015-12-17,214.8153839111328
2015-12-18,214.31700134277344
2015-12-21,216.6096649169922
2015-12-22,219.30108642578125
2015-12-23,221.69349670410156
2015-12-24,220.29788208007812
2015-12-29,222.9893341064453
2015-12-30,221.29476928710938
2015-12-31,221.3944549560547
2016-01-04,221.29476928710938
2016-01-05,223.88648986816406
2016-01-06,224.28524780273438
2016-01-07,223.98614501953125
2016-01-08,216.41026306152344
2016-01-11,220.39761352539062
2016-01-12,217.3074493408203
2016-01-13,212.82174682617188
2016-01-14,220.69662475585938
2016-01-15,219.30108642578125
2016-01-18,210.72842407226562
2016-01-19,206.34242248535156
2016-01-20,197.67002868652344
2016-01-21,204.94683837890625
2016-01-22,206.04331970214844
2016-01-25,204.84718322753906
2016-01-26,206.9404754638672
2016-01-27,208.23634338378906
2016-01-28,208.4357147216797
2016-01-29,210.2300262451172
2016-02-01,210.13031005859375
2016-02-02,209.33282470703125
2016-02-03,213.32015991210938
2016-02-04,210.13031005859375
2016-02-05,206.34242248535156
2016-02-08,199.96273803710938
2016-02-09,202.35508728027344
2016-02-10,204.54811096191406
2016-02-11,203.75064086914062
2016-02-12,204.3487548828125
2016-02-15,201.45797729492188
2016-02-16,201.85662841796875
2016-02-17,203.95004272460938
2016-02-18,207.23951721191406
2016-02-19,204.3487548828125
2016-02-22,199.3646240234375
2016-02-23,198.8662109375
2016-02-24,195.7760467529297
2016-02-25,197.2712860107422
2016-02-26,197.57032775878906
2016-02-29,198.96591186523438
2016-03-01,198.8662109375
2016-03-02,198.3677978515625
2016-03-03,204.3487548828125
2016-03-04,201.65728759765625
2016-03-07,199.46432495117188
2016-03-08,197.47067260742188
2016-03-09,200.3614501953125
2016-03-10,195.47708129882812
2016-03-11,197.17161560058594
2016-03-14,196.87255859375
2016-03-15,199.3646240234375
2016-03-16,200.95956420898438
2016-03-17,200.95956420898438
2016-03-18,199.6636505126953
2016-03-21,200.3614501953125
2016-03-22,201.85662841796875
2016-03-23,200.46115112304688
2016-03-24,197.67002868652344
2016-03-29,196.97225952148438
2016-03-30,201.35826110839844
2016-03-31,204.1494140625
2016-04-01,204.3487548828125
2016-04-04,199.46432495117188
2016-04-05,204.3487548828125
2016-04-06,203.55128479003906
2016-04-07,203.3519287109375
2016-04-08,203.05291748046875
2016-04-11,197.0719451904297
2016-04-12,197.37098693847656
2016-04-13,197.9690704345703
2016-04-14,196.37413024902344
2016-04-15,194.77920532226562
2016-04-18,193.18435668945312
2016-04-19,193.28402709960938
2016-04-20,192.7855987548828
2016-04-21,188.59893798828125
2016-04-22,188.499267578125
2016-04-25,195.3773193359375
2016-04-26,197.37098693847656
