Date,CONCHATORO.SN
2015-08-24,815.1820678710938
2015-08-25,848.91845703125
2015-08-26,856.7674560546875
2015-08-27,877.2962646484375
2015-08-28,870.201904296875
2015-08-31,877.3717041015625
2015-09-01,878.2774047851562
2015-09-02,892.6926879882812
2015-09-03,891.107666015625
2015-09-04,884.9943237304688
2015-09-07,883.8621826171875
2015-09-08,884.4660034179688
2015-09-09,873.9754028320312
2015-09-10,881.749267578125
2015-09-11,893.9003295898438
2015-09-14,883.6361083984375
2015-09-15,875.8621826171875
2015-09-16,870.6544799804688
2015-09-17,894.2776489257812
2015-09-21,894.5795288085938
2015-09-22,882.65478515625
2015-09-23,876.3905029296875
2015-09-24,886.0512084960938
2015-09-25,876.8198852539062
2015-09-28,848.369140625
2015-09-29,852.5309448242188
2015-09-30,873.036376953125
2015-10-01,872.35546875
2015-10-02,862.8215942382812
2015-10-05,885.218994140625
2015-10-06,877.4252319335938
2015-10-07,882.5703735351562
2015-10-08,880.14892578125
2015-10-09,882.267822265625
2015-10-13,882.4190063476562
2015-10-14,881.510986328125
2015-10-15,871.9772338867188
2015-10-16,860.0218505859375
2015-10-19,876.7439575195312
2015-10-20,866.1509399414062
2015-10-21,858.2816772460938
2015-10-22,862.51904296875
2015-10-23,881.73828125
2015-10-26,902.5460815429688
2015-10-27,904.967529296875
2015-10-28,907.0105590820312
2015-10-29,904.1353149414062
2015-10-30,890.061279296875
2015-11-02,889.9857788085938
2015-11-03,900.4277954101562
2015-11-04,886.8077392578125
2015-11-05,891.72607421875
2015-11-06,888.0186157226562
2015-11-09,878.5601806640625
2015-11-10,879.9979248046875
2015-11-11,863.80517578125
2015-11-12,854.7254638671875
2015-11-13,806.3746337890625
2015-11-16,840.6513671875
2015-11-17,834.3709106445312
2015-11-18,838.4569091796875
2015-11-19,841.5594482421875
2015-11-20,844.8887329101562
2015-11-23,829.5285034179688
2015-11-24,828.0906982421875
2015-11-25,821.8862915039062
2015-11-26,827.031494140625
2015-11-27,818.7081298828125
2015-11-30,800.3212890625
2015-12-01,794.2680053710938
2015-12-02,781.4046020507812
2015-12-03,798.126953125
