Date,POMO4.SA
2015-08-24,1.3300542831420898
2015-08-25,1.3857640027999878
2015-08-26,1.4414726495742798
2015-08-27,1.4762911796569824
2015-08-28,1.462363839149475
2015-08-31,1.3927268981933594
2015-09-01,1.4414726495742798
2015-09-02,1.4275455474853516
2015-09-03,1.462363839149475
2015-09-04,1.5250364542007446
2015-09-08,1.4275455474853516
2015-09-09,1.3996912240982056
2015-09-10,1.3439817428588867
2015-09-11,1.3230913877487183
2015-09-14,1.302200198173523
2015-09-15,1.2673821449279785
2015-09-16,1.2673821449279785
2015-09-17,1.2743457555770874
2015-09-18,1.2256001234054565
2015-09-21,1.1907819509506226
2015-09-22,1.1768639087677002
2015-09-23,1.1768639087677002
2015-09-24,1.1557226181030273
2015-09-25,1.1768639087677002
2015-09-28,1.1275343894958496
2015-09-29,1.1980047225952148
2015-09-30,1.1275343894958496
2015-10-01,1.1557226181030273
2015-10-02,1.1345808506011963
2015-10-05,1.1557226181030273
2015-10-06,1.2614284753799438
2015-10-07,1.3178056478500366
2015-10-08,1.3882763385772705
2015-10-09,1.2825703620910645
2015-10-13,1.3459937572479248
2015-10-14,1.3248523473739624
2015-10-15,1.3178056478500366
2015-10-16,1.3459937572479248
2015-10-19,1.3389471769332886
2015-10-20,1.3459937572479248
2015-10-21,1.2896175384521484
2015-10-22,1.3037112951278687
2015-10-23,1.3107584714889526
2015-10-26,1.3037112951278687
2015-10-27,1.3600878715515137
2015-10-28,1.395323634147644
2015-10-29,1.3671355247497559
2015-10-30,1.374182105064392
2015-11-03,1.3882763385772705
2015-11-04,1.5010298490524292
2015-11-05,1.6490190029144287
2015-11-06,1.606736660003662
2015-11-09,1.5855947732925415
2015-11-10,1.5503596067428589
2015-11-11,1.6913013458251953
2015-11-12,1.6631128787994385
2015-11-13,1.6490190029144287
2015-11-16,1.627877116203308
2015-11-17,1.5926423072814941
2015-11-18,1.6137831211090088
2015-11-19,1.7124428749084473
2015-11-23,1.747678279876709
2015-11-24,1.7124428749084473
2015-11-25,1.7194898128509521
2015-11-26,1.6913013458251953
2015-11-27,1.6913013458251953
2015-11-30,1.5855947732925415
2015-12-01,1.5855947732925415
2015-12-02,1.5151236057281494
2015-12-03,1.6208302974700928
2015-12-04,1.5574065446853638
2015-12-07,1.5503596067428589
2015-12-08,1.5221710205078125
2015-12-09,1.5503596067428589
2015-12-10,1.5221710205078125
2015-12-11,1.4305592775344849
2015-12-14,1.3812294006347656
2015-12-15,1.3882763385772705
2015-12-16,1.3671355247497559
2015-12-17,1.395323634147644
2015-12-18,1.3459937572479248
2015-12-21,1.3530412912368774
2015-12-22,1.3318997621536255
2015-12-23,1.3318997621536255
2015-12-28,1.2896175384521484
2015-12-29,1.2896175384521484
2015-12-30,1.3037112951278687
2016-01-04,1.2191462516784668
2016-01-05,1.2402876615524292
2016-01-06,1.2614284753799438
2016-01-07,1.2402876615524292
2016-01-08,1.2402876615524292
2016-01-11,1.2261936664581299
2016-01-12,1.2332401275634766
2016-01-13,1.2896175384521484
2016-01-14,1.2966641187667847
2016-01-15,1.2966641187667847
2016-01-18,1.3530412912368774
2016-01-19,1.4023709297180176
2016-01-20,1.374182105064392
2016-01-21,1.374182105064392
2016-01-22,1.4023709297180176
2016-01-26,1.4235115051269531
2016-01-27,1.4516997337341309
2016-01-28,1.4516997337341309
2016-01-29,1.4305592775344849
2016-02-01,1.4446532726287842
2016-02-02,1.465794563293457
2016-02-03,1.5080773830413818
2016-02-04,1.5855947732925415
2016-02-05,1.5785475969314575
2016-02-10,1.5362651348114014
2016-02-11,1.5292185544967651
2016-02-12,1.4728411436080933
2016-02-15,1.4516997337341309
