Date,REN.AS
2015-08-24,10.751547813415527
2015-08-25,10.861257553100586
2015-08-26,10.735296249389648
2015-08-27,11.056297302246094
2015-08-28,11.117246627807617
2015-08-31,11.161942481994629
2015-09-01,10.832815170288086
2015-09-02,10.893762588500977
2015-09-03,11.287908554077148
2015-09-04,11.080678939819336
2015-09-07,11.186324119567871
2015-09-08,11.300097465515137
2015-09-09,11.466692924499512
2015-09-10,11.279779434204102
2015-09-11,11.092867851257324
2015-09-14,11.141627311706543
2015-09-15,11.218832015991211
2015-09-16,11.442312240600586
2015-09-17,11.42605972290039
2015-09-18,11.255401611328125
2015-09-21,11.466692924499512
2015-09-22,11.259465217590332
2015-09-23,11.328539848327637
2015-09-24,11.336665153503418
2015-09-25,11.637351036071777
2015-09-28,11.617033958435059
2015-09-29,11.499200820922852
2015-09-30,11.8405179977417
2015-10-01,11.747062683105469
2015-10-02,11.824267387390137
2015-10-05,11.921788215637207
2015-10-06,12.043685913085938
2015-10-07,11.864898681640625
2015-10-08,11.909594535827637
2015-10-09,11.698302268981934
2015-10-12,11.686113357543945
2015-10-13,11.653605461120605
2015-10-14,11.710493087768555
2015-10-15,11.994924545288086
2015-10-16,12.145267486572266
2015-10-19,12.287484169006348
2015-10-20,12.279356002807617
2015-10-21,12.210282325744629
2015-10-22,12.356558799743652
2015-10-23,12.649120330810547
2015-10-26,12.571918487548828
2015-10-27,12.478459358215332
2015-10-28,12.494714736938477
2015-10-29,12.61661148071289
2015-10-30,12.636931419372559
2015-11-02,12.620674133300781
2015-11-03,12.681625366210938
2015-11-04,12.77101993560791
2015-11-05,12.791335105895996
2015-11-06,12.673500061035156
2015-11-09,12.636931419372559
2015-11-10,12.66943645477295
2015-11-11,12.92136287689209
2015-11-12,12.884791374206543
2015-11-13,12.673500061035156
2015-11-16,12.677565574645996
2015-11-17,13.051389694213867
2015-11-18,13.043259620666504
2015-11-19,13.152972221374512
2015-11-20,13.108274459838867
2015-11-23,12.986372947692871
2015-11-24,12.77101993560791
2015-11-25,13.075767517089844
2015-11-26,13.169225692749023
2015-11-27,13.331758499145508
2015-11-30,13.315505027770996
2015-12-01,13.303315162658691
2015-12-02,13.408960342407227
2015-12-03,12.880729675292969
2015-12-04,12.718195915222168
2015-12-07,12.864476203918457
2015-12-08,12.714133262634277
2015-12-09,12.482522964477539
2015-12-10,12.37281322479248
2015-12-11,12.21434497833252
2015-12-14,12.112761497497559
2015-12-15,12.401257514953613
2015-12-16,12.458144187927246
2015-12-17,12.555662155151367
2015-12-18,12.364686965942383
2015-12-21,12.21434497833252
2015-12-22,12.173709869384766
2015-12-23,12.466272354125977
2015-12-24,12.417510032653809
2015-12-28,12.53534984588623
2015-12-29,12.681625366210938
2015-12-30,12.697880744934082
2016-01-04,12.344371795654297
2016-01-05,12.429699897766113
2016-01-06,12.279356002807617
2016-01-07,12.165584564208984
2016-01-08,12.02743148803711
2016-01-11,11.91772174835205
2016-01-12,12.051813125610352
2016-01-13,12.05993938446045
2016-01-14,11.909594535827637
2016-01-15,11.722683906555176
2016-01-18,11.641414642333984
2016-01-19,11.747062683105469
2016-01-20,11.352919578552246
2016-01-21,11.580465316772461
2016-01-22,12.100573539733887
2016-01-25,12.031494140625
2016-01-26,11.901470184326172
2016-01-27,12.161520957946777
2016-01-28,11.990862846374512
2016-01-29,12.486587524414062
2016-02-01,12.543475151062012
2016-02-02,12.429699897766113
2016-02-03,12.234661102294922
2016-02-04,12.00711441040039
2016-02-05,11.66579532623291
2016-02-08,11.157879829406738
2016-02-09,11.267590522766113
2016-02-10,11.401680946350098
2016-02-11,11.092867851257324
2016-02-12,11.20257568359375
2016-02-15,11.53576946258545
2016-02-16,11.657670021057129
2016-02-17,11.933975219726562
