Date,FRAS3.SA
2015-08-24,2.2584283351898193
2015-08-25,2.2802841663360596
2015-08-26,2.2584283351898193
2015-08-27,2.433274269104004
2015-08-28,2.433274269104004
2015-08-31,2.3531365394592285
2015-09-01,2.3312807083129883
2015-09-02,2.272998094558716
2015-09-03,2.309425115585327
2015-09-04,2.251143455505371
2015-09-08,2.2584283351898193
2015-09-09,2.287569046020508
2015-09-10,2.2657134532928467
2015-09-11,2.2584283351898193
2015-09-14,2.2657134532928467
2015-09-15,2.3239951133728027
2015-09-16,2.3239951133728027
2015-09-17,2.3239951133728027
2015-09-18,2.251143455505371
2015-09-21,2.251143455505371
2015-09-22,2.345850706100464
2015-09-23,2.3604209423065186
2015-09-24,2.3385658264160156
2015-09-25,2.4041335582733154
2015-09-28,2.3312807083129883
2015-09-29,2.3749923706054688
2015-09-30,2.3749923706054688
2015-10-01,2.433274269104004
2015-10-02,2.4259896278381348
2015-10-05,2.4114179611206055
2015-10-06,2.4114179611206055
2015-10-07,2.476985216140747
2015-10-08,2.440558671951294
2015-10-09,2.440558671951294
2015-10-13,2.4114179611206055
2015-10-14,2.4041335582733154
2015-10-15,2.4041335582733154
2015-10-16,2.3239951133728027
2015-10-19,2.3385658264160156
2015-10-20,2.345850706100464
2015-10-21,2.4114179611206055
2015-10-22,2.3895621299743652
2015-10-23,2.4041335582733154
2015-10-26,2.4041335582733154
2015-10-27,2.3677072525024414
2015-10-28,2.3312807083129883
2015-10-29,2.3385658264160156
2015-10-30,2.4041335582733154
2015-11-03,2.345850706100464
2015-11-04,2.3531365394592285
2015-11-05,2.3312807083129883
2015-11-06,2.3312807083129883
2015-11-09,2.3312807083129883
2015-11-10,2.2948544025421143
2015-11-11,2.3312807083129883
2015-11-12,2.3385658264160156
2015-11-13,2.382277011871338
2015-11-16,2.3677072525024414
2015-11-17,2.4988412857055664
2015-11-18,2.4988412857055664
2015-11-19,2.4114179611206055
2015-11-23,2.5862643718719482
2015-11-24,2.6081202030181885
2015-11-25,2.6591169834136963
2015-11-26,2.6591169834136963
2015-11-27,2.6664023399353027
2015-11-30,2.622690200805664
2015-12-01,2.622690200805664
2015-12-02,2.6591169834136963
2015-12-03,2.6664023399353027
