Date,JUBLPHARMA.NS
2015-08-21,252.99447631835938
2015-08-24,222.11978149414062
2015-08-25,228.56201171875
2015-08-26,231.20057678222656
2015-08-27,243.22833251953125
2015-08-28,241.27508544921875
2015-08-31,244.77035522460938
2015-09-01,240.04148864746094
2015-09-02,241.27508544921875
2015-09-03,237.6770477294922
2015-09-04,227.70533752441406
2015-09-07,208.44715881347656
2015-09-08,209.40664672851562
2015-09-09,218.3503875732422
2015-09-10,219.92665100097656
2015-09-11,213.86138916015625
2015-09-14,219.5154571533203
2015-09-15,231.1663055419922
2015-09-16,227.08848571777344
2015-09-18,232.29713439941406
2015-09-21,237.54000854492188
2015-09-22,231.20057678222656
2015-09-23,250.5272674560547
2015-09-24,260.3619689941406
2015-09-28,253.337158203125
2015-09-29,248.8824462890625
2015-09-30,260.19061279296875
2015-10-01,256.7638854980469
2015-10-05,258.9569396972656
2015-10-06,272.5267639160156
2015-10-07,273.5890808105469
2015-10-08,268.92864990234375
2015-10-09,256.62677001953125
2015-10-12,260.4647216796875
2015-10-13,263.8914489746094
2015-10-14,270.5049743652344
2015-10-15,268.4832458496094
2015-10-16,268.27764892578125
2015-10-19,266.87274169921875
2015-10-20,266.701416015625
2015-10-21,285.4454650878906
2015-10-23,286.3021545410156
2015-10-26,283.1838684082031
2015-10-27,291.1680908203125
2015-10-28,279.928466796875
2015-10-29,274.7198791503906
2015-10-30,280.6823425292969
2015-11-02,293.01849365234375
2015-11-03,292.81292724609375
2015-11-04,290.242919921875
2015-11-05,272.081298828125
2015-11-06,274.1716613769531
2015-11-09,277.6325988769531
2015-11-10,275.54229736328125
2015-11-13,274.0688171386719
2015-11-16,281.1278381347656
2015-11-17,281.0593566894531
2015-11-18,276.090576171875
2015-11-19,276.9129333496094
2015-11-20,277.3584289550781
2015-11-23,280.2026062011719
2015-11-24,286.64483642578125
2015-11-26,283.6293029785156
2015-11-27,280.2368469238281
2015-11-30,283.83489990234375
2015-12-01,307.1023254394531
2015-12-02,307.4107666015625
2015-12-03,302.6475830078125
2015-12-04,296.6851501464844
2015-12-07,308.50726318359375
2015-12-08,298.8096618652344
2015-12-09,291.1338195800781
2015-12-10,292.6758728027344
2015-12-11,291.0310363769531
2015-12-14,293.6010437011719
2015-12-15,293.5325012207031
2015-12-16,290.92822265625
2015-12-17,289.9002685546875
2015-12-18,286.0280456542969
2015-12-21,292.05902099609375
2015-12-22,288.8036804199219
2015-12-23,287.1588134765625
2015-12-24,285.8224182128906
2015-12-28,280.0655212402344
2015-12-29,279.44873046875
2015-12-30,283.0467834472656
2015-12-31,281.916015625
2016-01-01,287.1930847167969
2016-01-04,288.906494140625
2016-01-05,288.18682861328125
2016-01-06,284.0747985839844
2016-01-07,284.5888366699219
2016-01-08,283.7320861816406
2016-01-11,277.2214050292969
2016-01-12,280.305419921875
2016-01-13,261.1843566894531
2016-01-14,251.04127502441406
2016-01-15,232.87965393066406
2016-01-18,197.6529998779297
2016-01-19,223.86741638183594
2016-01-20,212.3536376953125
2016-01-21,214.34112548828125
2016-01-22,230.8236083984375
2016-01-25,217.9391632080078
2016-01-27,221.05751037597656
2016-01-28,224.41566467285156
2016-01-29,238.84214782714844
2016-02-01,245.62709045410156
2016-02-02,234.5244903564453
2016-02-03,233.66781616210938
2016-02-04,224.4842071533203
2016-02-05,238.05398559570312
2016-02-08,250.664306640625
2016-02-09,243.05702209472656
2016-02-10,232.9481964111328
2016-02-11,202.5874786376953
2016-02-12,211.39414978027344
2016-02-15,215.5747528076172
2016-02-16,207.14501953125
2016-02-17,213.51869201660156
2016-02-18,207.14501953125
2016-02-19,213.62149047851562
2016-02-22,207.17929077148438
2016-02-23,209.920654296875
2016-02-24,208.10450744628906
2016-02-25,200.83987426757812
2016-02-26,200.46292114257812
2016-02-29,209.16676330566406
2016-03-01,218.83010864257812
2016-03-02,218.28182983398438
2016-03-03,251.8294219970703
2016-03-04,251.00697326660156
2016-03-08,259.8479309082031
2016-03-09,258.78564453125
2016-03-10,244.63330078125
2016-03-11,249.15658569335938
2016-03-14,264.0970153808594
2016-03-15,251.7266082763672
2016-03-16,258.2373962402344
2016-03-17,262.3836669921875
2016-03-18,277.2214050292969
2016-03-21,302.9902648925781
2016-03-22,295.314453125
2016-03-23,293.4982604980469
2016-03-28,282.6698303222656
2016-03-29,268.5517883300781
2016-03-30,271.8071594238281
2016-03-31,285.6853332519531
2016-04-01,281.1278381347656
2016-04-04,286.50775146484375
2016-04-05,277.4269714355469
2016-04-06,279.2088317871094
2016-04-07,274.6170654296875
2016-04-08,271.2931213378906
2016-04-11,279.7914123535156
2016-04-12,273.41766357421875
2016-04-13,272.2525939941406
2016-04-18,269.6825866699219
2016-04-20,265.776123046875
2016-04-21,262.3836669921875
2016-04-22,258.511474609375
2016-04-25,268.3804626464844
2016-04-26,274.6170654296875
2016-04-27,280.0655212402344
2016-04-28,273.3491516113281
2016-04-29,273.69183349609375
2016-05-02,266.87274169921875
2016-05-03,266.9755554199219
2016-05-04,258.40869140625
2016-05-05,253.9196319580078
2016-05-06,255.42745971679688
2016-05-09,269.81964111328125
2016-05-10,264.8509216308594
2016-05-11,259.71087646484375
2016-05-12,265.98175048828125
2016-05-13,268.20904541015625
2016-05-16,265.776123046875
2016-05-17,267.3524475097656
2016-05-18,265.70758056640625
2016-05-19,259.8821716308594
2016-05-20,254.74209594726562
2016-05-23,253.88543701171875
2016-05-24,242.8514404296875
2016-05-25,232.43417358398438
2016-05-26,237.19729614257812
2016-05-27,237.43719482421875
2016-05-30,237.23158264160156
