Date,PAG.L
2015-08-24,383.33990478515625
2015-08-25,390.9071960449219
2015-08-26,388.2189025878906
2015-08-27,406.7386169433594
2015-08-28,410.0244445800781
2015-09-01,406.93780517578125
2015-09-02,408.13250732421875
2015-09-03,422.6696472167969
2015-09-04,420.8773193359375
2015-09-07,421.6739501953125
2015-09-08,421.1761474609375
2015-09-09,424.8601989746094
2015-09-10,426.6523742675781
2015-09-11,423.4662170410156
2015-09-14,421.57440185546875
2015-09-15,420.4790954589844
2015-09-16,419.7820739746094
2015-09-17,422.0722351074219
2015-09-18,421.375244140625
2015-09-21,421.2757263183594
2015-09-22,410.8209533691406
2015-09-23,407.43560791015625
2015-09-24,401.76019287109375
2015-09-25,408.2321472167969
2015-09-28,402.55670166015625
2015-09-29,393.5955810546875
2015-09-30,393.2968444824219
2015-10-01,393.0976867675781
2015-10-02,432.7260437011719
2015-10-05,438.7998046875
2015-10-06,442.8820495605469
2015-10-07,433.52264404296875
2015-10-08,438.003173828125
2015-10-09,437.3062438964844
2015-10-12,436.90802001953125
2015-10-13,429.93817138671875
2015-10-14,426.7519226074219
2015-10-15,429.739013671875
2015-10-16,430.7347717285156
2015-10-19,431.1329650878906
2015-10-20,434.51824951171875
2015-10-21,433.1243591308594
2015-10-22,430.0377502441406
2015-10-23,428.6438293457031
2015-10-26,425.8558044433594
2015-10-27,429.63946533203125
2015-10-28,424.6610107421875
2015-10-29,417.9898986816406
2015-10-30,418.1890563964844
2015-11-02,419.0850830078125
2015-11-03,419.68255615234375
2015-11-04,417.09375
2015-11-05,417.69110107421875
2015-11-06,417.69110107421875
2015-11-09,415.30157470703125
2015-11-10,409.2278137207031
2015-11-11,411.1196594238281
2015-11-12,411.5179138183594
2015-11-13,413.0114440917969
2015-11-16,413.9075622558594
2015-11-17,422.1717834472656
2015-11-18,419.58294677734375
2015-11-19,400.7644958496094
2015-11-20,401.76019287109375
2015-11-23,398.27520751953125
2015-11-24,395.48736572265625
2015-11-25,374.3787536621094
2015-11-26,361.434814453125
2015-11-27,375.1753234863281
2015-11-30,381.5477294921875
2015-12-01,384.73394775390625
2015-12-02,384.73394775390625
2015-12-03,391.9028625488281
2015-12-04,388.7165832519531
2015-12-07,388.7165832519531
2015-12-08,374.7769775390625
2015-12-09,377.66455078125
2015-12-10,371.9891357421875
2015-12-11,362.3309631347656
2015-12-14,356.555908203125
2015-12-15,342.9149475097656
2015-12-16,349.78521728515625
2015-12-17,362.1317138671875
2015-12-18,360.73785400390625
2015-12-21,358.4477233886719
2015-12-22,361.1361083984375
2015-12-23,360.8373718261719
2015-12-24,358.4477233886719
2015-12-29,359.5429992675781
2015-12-30,354.4649658203125
2015-12-31,351.97576904296875
2016-01-04,346.0015869140625
2016-01-05,347.49517822265625
2016-01-06,347.49517822265625
2016-01-07,329.6426696777344
2016-01-08,326.75457763671875
2016-01-11,329.4434509277344
2016-01-12,332.13238525390625
2016-01-13,325.2607421875
2016-01-14,315.6004638671875
2016-01-15,300.7615661621094
2016-01-18,300.6619873046875
2016-01-19,301.25958251953125
2016-01-20,291.0017395019531
2016-01-21,295.1845703125
2016-01-22,299.7657165527344
2016-01-25,307.13531494140625
2016-01-26,312.0152587890625
2016-01-27,325.6590881347656
2016-01-28,314.80377197265625
2016-01-29,314.3058166503906
2016-02-01,319.08612060546875
2016-02-02,314.7041931152344
2016-02-03,308.828369140625
2016-02-04,305.0439453125
2016-02-05,311.218505859375
2016-02-08,291.0017395019531
2016-02-09,286.5202331542969
2016-02-10,294.58697509765625
2016-02-11,287.3168640136719
2016-02-12,294.6866455078125
2016-02-15,303.8489074707031
2016-02-16,298.3714599609375
2016-02-17,302.7533874511719
2016-02-18,297.97314453125
2016-02-19,296.7779846191406
2016-02-22,302.5541687011719
2016-02-23,291.7984619140625
2016-02-24,285.9226989746094
2016-02-25,295.5828552246094
2016-02-26,307.4341735839844
2016-02-29,313.60870361328125
2016-03-01,315.0029602050781
2016-03-02,317.7914733886719
2016-03-03,324.264892578125
2016-03-04,328.4475402832031
2016-03-07,324.86236572265625
2016-03-08,321.476318359375
2016-03-09,318.687744140625
