Date,ICICIGI.NS
2017-09-27,649.204345703125
2017-09-28,653.6835327148438
2017-09-29,648.2512817382812
2017-10-03,652.3492431640625
2017-10-04,649.6807861328125
2017-10-05,634.90869140625
2017-10-06,648.060546875
2017-10-09,651.8251342773438
2017-10-10,654.2075805664062
2017-10-11,655.16064453125
2017-10-12,667.4547729492188
2017-10-13,662.4037475585938
2017-10-16,663.4520263671875
2017-10-17,684.5139770507812
2017-10-18,681.6549682617188
2017-10-19,688.2785034179688
2017-10-23,660.5452880859375
2017-10-24,663.4998168945312
2017-10-25,651.2056274414062
2017-10-26,653.4955444335938
2017-10-27,651.53955078125
2017-10-30,648.963623046875
2017-10-31,645.9105224609375
2017-11-01,649.34521484375
2017-11-02,649.7267456054688
2017-11-03,643.6206665039062
2017-11-06,649.8699951171875
2017-11-07,649.0589599609375
2017-11-08,647.6278076171875
2017-11-09,647.6278076171875
2017-11-10,649.0589599609375
2017-11-13,653.972412109375
2017-11-14,654.497314453125
2017-11-15,654.87890625
2017-11-16,646.6259765625
2017-11-17,654.1156005859375
2017-11-20,657.7887573242188
2017-11-21,666.9478149414062
2017-11-22,663.942626953125
2017-11-23,668.808349609375
2017-11-24,667.9495849609375
2017-11-27,668.4266967773438
2017-11-28,673.6262817382812
2017-11-29,685.9340209960938
2017-11-30,681.5452880859375
2017-12-01,686.8881225585938
2017-12-04,687.6513671875
2017-12-05,693.9482421875
2017-12-06,693.2804565429688
2017-12-07,701.39013671875
2017-12-08,730.5848388671875
2017-12-11,729.5831298828125
2017-12-12,748.282958984375
2017-12-13,739.5054931640625
2017-12-14,741.4614868164062
2017-12-15,754.484375
2017-12-18,763.261962890625
2017-12-19,759.73193359375
2017-12-20,740.6502685546875
2017-12-21,739.6009521484375
2017-12-22,741.6521606445312
2017-12-26,750.2865600585938
2017-12-27,745.373046875
2017-12-28,755.867919921875
2017-12-29,739.8871459960938
2018-01-01,758.9686889648438
2018-01-02,763.3096923828125
2018-01-03,763.5482177734375
2018-01-04,770.3699340820312
2018-01-05,784.2994384765625
2018-01-08,809.010009765625
2018-01-09,749.5234375
2018-01-10,742.2722778320312
2018-01-11,753.9597778320312
2018-01-12,754.0075073242188
2018-01-15,752.5286865234375
2018-01-16,773.9476928710938
2018-01-17,811.0134887695312
2018-01-18,804.764404296875
2018-01-19,789.5945434570312
2018-01-22,814.4005126953125
2018-01-23,793.2677001953125
2018-01-24,798.22900390625
2018-01-25,790.7871704101562
2018-01-29,786.0645141601562
2018-01-30,766.1719970703125
2018-01-31,750.7636108398438
2018-02-01,795.3667602539062
2018-02-02,782.2005004882812
2018-02-05,778.240966796875
2018-02-06,769.9882202148438
2018-02-07,781.1032104492188
2018-02-08,772.4689331054688
2018-02-09,778.6226196289062
2018-02-12,785.4442749023438
2018-02-14,777.6685180664062
2018-02-15,766.3628540039062
2018-02-16,777.7640380859375
2018-02-19,781.67578125
2018-02-20,782.2481689453125
2018-02-21,777.4300537109375
2018-02-22,771.9918823242188
2018-02-23,783.011474609375
2018-02-26,781.1986694335938
2018-02-27,778.5272827148438
2018-02-28,758.30078125
2018-03-01,751.4791870117188
2018-03-05,744.7528686523438
2018-03-06,758.0145874023438
2018-03-07,753.7689208984375
2018-03-08,764.025390625
2018-03-09,775.5695190429688
2018-03-12,779.385986328125
2018-03-13,789.6900024414062
2018-03-14,769.3681640625
2018-03-15,763.118896484375
2018-03-16,735.832275390625
2018-03-19,735.1168212890625
2018-03-20,722.9523315429688
2018-03-21,697.7645874023438
2018-03-22,693.9005126953125
2018-03-23,707.1145629882812
2018-03-26,727.53173828125
2018-03-27,757.108154296875
2018-03-28,757.3944091796875
2018-04-02,747.9491577148438
2018-04-03,753.673583984375
2018-04-04,745.325439453125
2018-04-05,752.8148803710938
2018-04-06,760.9244995117188
2018-04-09,732.4453735351562
2018-04-10,746.0885620117188
2018-04-11,736.0230712890625
2018-04-12,730.3941040039062
2018-04-13,744.2759399414062
2018-04-16,743.7034301757812
2018-04-17,730.489501953125
2018-04-18,737.97900390625
2018-04-19,738.0742797851562
2018-04-20,734.83056640625
2018-04-23,725.4327392578125
2018-04-24,737.69287109375
2018-04-25,738.5037231445312
2018-04-26,719.9468994140625
2018-04-27,718.3727416992188
2018-04-30,725.0035400390625
2018-05-02,709.7860107421875
2018-05-03,704.3477172851562
2018-05-04,686.7926025390625
2018-05-07,699.6251220703125
2018-05-08,718.2295532226562
2018-05-09,714.0316162109375
2018-05-10,715.605712890625
2018-05-11,719.4698486328125
2018-05-14,715.367431640625
2018-05-15,695.0931396484375
2018-05-16,700.149658203125
2018-05-17,696.5242919921875
2018-05-18,698.2893676757812
2018-05-21,701.4855346679688
2018-05-22,698.2893676757812
2018-05-23,699.5296630859375
2018-05-24,715.0810546875
2018-05-25,714.5086059570312
2018-05-28,705.3973388671875
2018-05-29,702.63037109375
2018-05-30,707.3532104492188
2018-05-31,719.756103515625
2018-06-01,690.7521362304688
2018-06-04,693.1849975585938
2018-06-05,702.4871826171875
2018-06-06,693.7575073242188
2018-06-07,696.33349609375
2018-06-08,696.1427612304688
