Date,JSWENERGY.NS
2015-08-03,74.31244659423828
2015-08-04,72.50215911865234
2015-08-05,71.82329559326172
2015-08-06,71.23494720458984
2015-08-07,69.83197784423828
2015-08-10,69.37940979003906
2015-08-11,69.10786437988281
2015-08-12,65.985107421875
2015-08-13,62.90761184692383
2015-08-14,67.2070541381836
2015-08-17,70.01300048828125
2015-08-18,68.61004638671875
2015-08-19,68.06694030761719
2015-08-20,66.61871337890625
2015-08-21,66.79972839355469
2015-08-24,55.892738342285156
2015-08-25,59.51332092285156
2015-08-26,62.27401351928711
2015-08-27,66.79972839355469
2015-08-28,67.52386474609375
2015-08-31,68.8363265991211
2015-09-01,63.72224807739258
2015-09-02,62.54555892944336
2015-09-03,66.8902587890625
2015-09-04,64.3558349609375
2015-09-07,61.278350830078125
2015-09-08,67.1165542602539
2015-09-09,70.60134887695312
2015-09-10,74.17667388916016
2015-09-11,74.04090118408203
2015-09-14,75.89643859863281
2015-09-15,74.40296936035156
2015-09-16,76.07748413085938
2015-09-18,74.99129486083984
2015-09-21,78.11407470703125
2015-09-22,76.39429473876953
2015-09-23,78.52136993408203
2015-09-24,79.0644760131836
2015-09-28,78.47611999511719
2015-09-29,79.60755920410156
2015-09-30,85.26470184326172
2015-10-01,80.87476348876953
2015-10-05,84.58584594726562
2015-10-06,83.72596740722656
2015-10-07,82.54927062988281
2015-10-08,80.60321044921875
2015-10-09,77.93303680419922
2015-10-12,79.2455062866211
2015-10-13,82.14195251464844
2015-10-14,79.0644760131836
2015-10-15,79.60755920410156
2015-10-16,78.88343811035156
2015-10-19,80.60321044921875
2015-10-20,83.7712173461914
2015-10-21,83.04710388183594
2015-10-23,84.31430053710938
2015-10-26,79.69805908203125
2015-10-27,82.54927062988281
2015-10-28,79.51704406738281
2015-10-29,81.55360412597656
2015-10-30,84.45008087158203
2015-11-02,84.85739135742188
2015-11-03,84.72161865234375
2015-11-04,84.85739135742188
2015-11-05,81.23680877685547
2015-11-06,77.66149139404297
2015-11-09,78.7476577758789
2015-11-10,76.53004455566406
2015-11-13,74.90079498291016
2015-11-16,75.39862823486328
2015-11-17,76.21324920654297
2015-11-18,76.66580963134766
2015-11-19,77.6162338256836
2015-11-20,79.01921081542969
2015-11-23,79.33602142333984
2015-11-24,77.34468841552734
2015-11-26,78.70240783691406
2015-11-27,79.01921081542969
2015-11-30,77.52571868896484
2015-12-01,78.15931701660156
2015-12-02,78.20457458496094
2015-12-03,77.16365814208984
2015-12-04,76.98262023925781
2015-12-07,75.85120391845703
2015-12-08,71.46123504638672
2015-12-09,71.05392456054688
2015-12-10,71.8685531616211
2015-12-11,67.7501449584961
2015-12-14,69.87723541259766
2015-12-15,68.92684173583984
2015-12-16,71.23494720458984
2015-12-17,73.31678771972656
2015-12-18,74.17667388916016
2015-12-21,75.35335540771484
2015-12-22,74.40296936035156
2015-12-23,75.4891357421875
