Date,GODFRYPHLP.NS
2015-08-21,512.7015991210938
2015-08-24,483.5556335449219
2015-08-25,486.74139404296875
2015-08-26,487.3440856933594
2015-08-27,491.2187805175781
2015-08-28,483.0390319824219
2015-08-31,473.782958984375
2015-09-01,474.9453125
2015-09-02,478.7337951660156
2015-09-03,496.3848876953125
2015-09-04,490.83135986328125
2015-09-07,481.27386474609375
2015-09-08,481.7474060058594
2015-09-09,483.12506103515625
2015-09-10,480.24066162109375
2015-09-11,481.6182556152344
2015-09-14,484.97637939453125
2015-09-15,483.9000244140625
2015-09-16,496.5141906738281
2015-09-18,570.218505859375
2015-09-21,576.798828125
2015-09-22,558.4524536132812
2015-09-23,556.4913940429688
2015-09-24,559.5853881835938
2015-09-28,579.1083374023438
2015-09-29,558.8881225585938
2015-09-30,558.1038208007812
2015-10-01,551.8285522460938
2015-10-05,587.954833984375
2015-10-06,569.172607421875
2015-10-07,567.3858642578125
2015-10-08,559.5853881835938
2015-10-09,545.2482299804688
2015-10-12,566.64501953125
2015-10-13,584.8170776367188
2015-10-14,593.7071533203125
2015-10-15,618.2415161132812
2015-10-16,741.872314453125
2015-10-19,880.3196411132812
2015-10-20,805.7578125
2015-10-21,844.0628051757812
2015-10-23,843.4962158203125
2015-10-26,837.177490234375
2015-10-27,833.0811767578125
2015-10-28,821.6201171875
2015-10-29,799.3081665039062
2015-10-30,819.0490112304688
2015-11-02,801.9227905273438
2015-11-03,830.6407470703125
2015-11-04,825.1934814453125
2015-11-05,829.4641723632812
2015-11-06,814.9962768554688
2015-11-09,833.9525756835938
2015-11-10,814.5603637695312
2015-11-13,862.1912231445312
2015-11-16,993.4481201171875
2015-11-17,1104.6593017578125
2015-11-18,1034.847412109375
2015-11-19,1044.6090087890625
2015-11-20,1104.8773193359375
2015-11-23,1186.5860595703125
2015-11-24,1194.909423828125
2015-11-26,1247.333984375
2015-11-27,1204.365966796875
2015-11-30,1233.8682861328125
2015-12-01,1218.8775634765625
2015-12-02,1366.6507568359375
2015-12-03,1422.6917724609375
2015-12-04,1366.4324951171875
2015-12-07,1298.6689453125
2015-12-08,1303.3751220703125
2015-12-09,1265.7237548828125
2015-12-10,1218.4415283203125
2015-12-11,1207.8958740234375
2015-12-14,1289.38671875
2015-12-15,1208.810791015625
2015-12-16,1219.923095703125
2015-12-17,1163.83837890625
2015-12-18,1047.4849853515625
2015-12-21,1076.377197265625
2015-12-22,1097.774169921875
2015-12-23,1094.113525390625
2015-12-24,1103.439453125
2015-12-28,1107.5355224609375
2015-12-29,1092.849609375
2015-12-30,1153.85888671875
2015-12-31,1192.5997314453125
2016-01-01,1232.1688232421875
2016-01-04,1184.755859375
2016-01-05,1215.0860595703125
2016-01-06,1193.427978515625
2016-01-07,1134.29248046875
2016-01-08,1222.5816650390625
2016-01-11,1211.9049072265625
2016-01-12,1162.0517578125
2016-01-13,1128.9759521484375
2016-01-14,1105.9666748046875
2016-01-15,1053.6295166015625
2016-01-18,941.5031127929688
2016-01-19,920.498779296875
2016-01-20,1018.854248046875
2016-01-21,1054.893310546875
2016-01-22,1057.2899169921875
2016-01-25,1071.6707763671875
2016-01-27,1065.7008056640625
2016-01-28,1057.551513671875
2016-01-29,1065.5262451171875
2016-02-01,1112.372802734375
2016-02-02,1079.12255859375
2016-02-03,1043.083740234375
2016-02-04,992.8816528320312
2016-02-05,1014.8885498046875
2016-02-08,1017.895751953125
2016-02-09,979.4597778320312
2016-02-10,922.7647705078125
2016-02-11,843.8884887695312
2016-02-12,830.4227905273438
2016-02-15,898.4046630859375
2016-02-16,865.6339721679688
2016-02-17,885.026123046875
2016-02-18,870.8633422851562
2016-02-19,923.8104858398438
2016-02-22,980.06982421875
2016-02-23,990.179931640625
2016-02-24,952.920654296875
2016-02-25,925.8587646484375
2016-02-26,891.2577514648438
2016-02-29,936.1432495117188
2016-03-01,1027.264892578125
2016-03-02,1010.2693481445312
2016-03-03,1003.47119140625
2016-03-04,1016.0653076171875
2016-03-08,1014.58349609375
2016-03-09,989.0904541015625
2016-03-10,1044.39111328125
2016-03-11,1052.8450927734375
2016-03-14,1048.22607421875
2016-03-15,1033.104248046875
2016-03-16,1017.895751953125
2016-03-17,1022.9942626953125
2016-03-18,1036.3291015625
2016-03-21,1031.9276123046875
2016-03-22,1025.26025390625
2016-03-23,1055.9827880859375
2016-03-28,1016.108642578125
2016-03-29,1013.5377807617188
2016-03-30,1044.9573974609375
2016-03-31,1035.8060302734375
2016-04-01,1036.764892578125
2016-04-04,997.2832641601562
2016-04-05,1000.420654296875
2016-04-06,1013.7119140625
2016-04-07,1005.47607421875
2016-04-08,999.6362915039062
2016-04-11,1034.6295166015625
2016-04-12,1053.2374267578125
2016-04-13,1065.7877197265625
2016-04-18,1048.051513671875
2016-04-20,1023.0811157226562
2016-04-21,1006.6087036132812
2016-04-22,1014.2350463867188
2016-04-25,982.5537719726562
2016-04-26,811.684326171875
2016-04-27,822.0123291015625
2016-04-28,792.6407470703125
2016-04-29,788.9365844726562
2016-05-02,781.2667846679688
2016-05-03,768.1062622070312
2016-05-04,767.1040649414062
2016-05-05,735.2484741210938
2016-05-06,704.0902099609375
2016-05-09,752.5925903320312
2016-05-10,741.523681640625
2016-05-11,736.2071533203125
2016-05-12,731.021484375
2016-05-13,723.1338500976562
2016-05-16,724.8334350585938
2016-05-17,782.0948486328125
2016-05-18,775.6887817382812
2016-05-19,768.6727905273438
2016-05-20,760.0442504882812
2016-05-23,759.4779663085938
2016-05-24,749.3241577148438
2016-05-25,771.5055541992188
2016-05-26,761.4825439453125
2016-05-27,773.94580078125
2016-05-30,780.7003173828125
2016-05-31,772.3770141601562
2016-06-01,787.49853515625
2016-06-02,769.54443359375
2016-06-03,750.849365234375
2016-06-06,757.2988891601562
2016-06-07,765.230224609375
2016-06-08,764.6636352539062
2016-06-09,758.911376953125
2016-06-10,756.86328125
2016-06-13,766.232421875
2016-06-14,759.390625
2016-06-15,763.3999633789062
2016-06-16,756.122314453125
2016-06-17,754.2049560546875
