Date,CHD
2015-08-03,38.279598236083984
2015-08-04,38.55116653442383
2015-08-05,39.199462890625
2015-08-06,39.13813781738281
2015-08-07,39.14911651611328
2015-08-10,39.21068572998047
2015-08-11,38.88092041015625
2015-08-12,39.17111587524414
2015-08-13,39.245853424072266
2015-08-14,39.41733932495117
2015-08-17,39.711917877197266
2015-08-18,39.821842193603516
2015-08-19,39.46129608154297
2015-08-20,38.977657318115234
2015-08-21,38.12028121948242
2015-08-24,37.3640251159668
2015-08-25,36.47146987915039
2015-08-26,37.368431091308594
2015-08-27,38.049922943115234
2015-08-28,38.18623733520508
2015-08-31,37.93560791015625
2015-09-01,36.89796447753906
2015-09-02,37.30685806274414
2015-09-03,37.82569885253906
2015-09-04,37.342041015625
2015-09-08,38.03673553466797
2015-09-09,37.47393798828125
2015-09-10,37.368431091308594
2015-09-11,36.97270584106445
2015-09-14,36.682525634765625
2015-09-15,37.038665771484375
2015-09-16,37.13979721069336
2015-09-17,37.30247116088867
2015-09-18,36.88477325439453
2015-09-21,37.28489685058594
2015-09-22,36.92874526977539
2015-09-23,36.97710418701172
2015-09-24,37.27168655395508
2015-09-25,37.649818420410156
2015-09-28,37.12660598754883
2015-09-29,37.166168212890625
2015-09-30,36.88916778564453
2015-10-01,36.845191955566406
2015-10-02,37.429962158203125
2015-10-05,37.98398971557617
2015-10-06,37.61902618408203
2015-10-07,38.032344818115234
2015-10-08,38.2741584777832
2015-10-09,38.524784088134766
2015-10-12,38.82375717163086
2015-10-13,38.66108322143555
2015-10-14,38.23460388183594
2015-10-15,38.48081970214844
2015-10-16,38.85454177856445
2015-10-19,38.78419494628906
2015-10-20,38.73582077026367
2015-10-21,38.60831069946289
2015-10-22,38.977657318115234
2015-10-23,38.60831069946289
2015-10-26,38.335716247558594
2015-10-27,38.06751251220703
2015-10-28,38.46761703491211
2015-10-29,38.019142150878906
2015-10-30,37.8520622253418
2015-11-02,37.54869842529297
2015-11-03,36.981502532958984
2015-11-04,36.871585845947266
