Date,BXP
2015-08-03,83.34964752197266
2015-08-04,82.23341369628906
2015-08-05,81.07038879394531
2015-08-06,80.8431396484375
2015-08-07,80.3217544555664
2015-08-10,80.03436279296875
2015-08-11,80.0410385131836
2015-08-12,80.18138885498047
2015-08-13,80.68270874023438
2015-08-14,81.49146270751953
2015-08-17,82.2066879272461
2015-08-18,82.16655731201172
2015-08-19,81.82567596435547
2015-08-20,80.77629089355469
2015-08-21,79.3058090209961
2015-08-24,75.08151245117188
2015-08-25,72.6218032836914
2015-08-26,76.07075500488281
2015-08-27,78.06259155273438
2015-08-28,77.94896697998047
2015-08-31,75.78330993652344
2015-09-01,73.96528625488281
2015-09-02,74.8007583618164
2015-09-03,74.82083129882812
2015-09-04,73.4305419921875
2015-09-08,74.6671142578125
2015-09-09,73.90513610839844
2015-09-10,74.78739166259766
2015-09-11,76.15766143798828
2015-09-14,75.71649169921875
2015-09-15,76.51189422607422
2015-09-16,78.68417358398438
2015-09-17,79.84722137451172
2015-09-18,79.3058090209961
2015-09-21,79.33250427246094
2015-09-22,77.99574279785156
2015-09-23,78.23638916015625
2015-09-24,77.50113677978516
2015-09-25,77.85538482666016
2015-09-28,76.96142578125
2015-09-29,78.95768737792969
2015-09-30,79.5827865600586
2015-10-01,79.73066711425781
2015-10-02,80.30200958251953
2015-10-05,81.07498168945312
2015-10-06,80.87334442138672
2015-10-07,81.49846649169922
2015-10-08,81.92861938476562
2015-10-09,81.7673110961914
2015-10-12,82.38568115234375
2015-10-13,81.00777435302734
2015-10-14,80.5977554321289
2015-10-15,81.1758041381836
2015-10-16,82.41256713867188
2015-10-19,83.41405487060547
2015-10-20,82.6612777709961
2015-10-21,82.24452209472656
2015-10-22,83.17879486083984
2015-10-23,81.91516876220703
2015-10-26,81.29009246826172
2015-10-27,81.92191314697266
2015-10-28,82.13699340820312
2015-10-29,82.52682495117188
2015-10-30,84.59036254882812
2015-11-02,87.22517395019531
2015-11-03,86.43206787109375
2015-11-04,85.4439697265625
2015-11-05,85.97498321533203
2015-11-06,83.47457885742188
2015-11-09,82.45963287353516
2015-11-10,83.34685516357422
