Date,ZTS
2015-08-03,44.81497573852539
2015-08-04,45.15700912475586
2015-08-05,44.93515396118164
2015-08-06,44.63010787963867
2015-08-07,44.657840728759766
2015-08-10,44.731788635253906
2015-08-11,44.64196014404297
2015-08-12,44.3178596496582
2015-08-13,44.13266372680664
2015-08-14,43.95672607421875
2015-08-17,45.08644104003906
2015-08-18,44.1974983215332
2015-08-19,44.3641471862793
2015-08-20,42.94739532470703
2015-08-21,41.68803787231445
2015-08-24,40.30833435058594
2015-08-25,39.41012191772461
2015-08-26,40.97503662109375
2015-08-27,42.46589279174805
2015-08-28,42.39179611206055
2015-08-31,41.54914474487305
2015-09-01,40.72502517700195
2015-09-02,41.78064727783203
2015-09-03,41.23432159423828
2015-09-04,40.75278854370117
2015-09-08,41.56767654418945
2015-09-09,40.69725036621094
2015-09-10,41.05839157104492
2015-09-11,41.6695442199707
2015-09-14,41.17876052856445
2015-09-15,41.7251091003418
2015-09-16,41.21580505371094
2015-09-17,42.60478973388672
2015-09-18,41.78064727783203
2015-09-21,41.20654296875
2015-09-22,40.95652389526367
2015-09-23,41.03987121582031
2015-09-24,40.363887786865234
2015-09-25,39.36383056640625
2015-09-28,37.00254440307617
2015-09-29,36.71550369262695
2015-09-30,38.13224792480469
2015-10-01,38.234127044677734
2015-10-02,39.836082458496094
2015-10-05,39.67866897583008
2015-10-06,38.326717376708984
2015-10-07,39.51197052001953
2015-10-08,40.021278381347656
2015-10-09,39.632347106933594
2015-10-12,39.54901123046875
2015-10-13,39.1878776550293
2015-10-14,39.243446350097656
2015-10-15,39.81755065917969
2015-10-16,40.67873001098633
2015-10-19,40.53982925415039
2015-10-20,39.90089797973633
2015-10-21,38.57672882080078
2015-10-22,37.78037643432617
2015-10-23,39.391597747802734
2015-10-26,39.21564865112305
2015-10-27,39.57680130004883
2015-10-28,40.132389068603516
2015-10-29,40.32685852050781
2015-10-30,39.82680130004883
2015-11-02,40.96579360961914
2015-11-03,43.26005935668945
2015-11-04,43.18585205078125
2015-11-05,42.174617767333984
2015-11-06,42.647762298583984
2015-11-09,42.490047454833984
2015-11-10,42.56427001953125
2015-11-11,41.82207107543945
2015-11-12,41.311824798583984
2015-11-13,41.60870361328125
2015-11-16,42.02617263793945
2015-11-17,42.46220397949219
2015-11-18,43.77031326293945
2015-11-19,43.51055145263672
2015-11-20,43.90019607543945
2015-11-23,43.56621551513672
2015-11-24,43.53837966918945
2015-11-25,43.57548141479492
2015-11-27,43.67753601074219
2015-11-30,43.32499694824219
2015-12-01,43.61259460449219
2015-12-02,43.01884460449219
2015-12-03,41.933414459228516
2015-12-04,43.10234451293945
2015-12-07,42.592098236083984
2015-12-08,42.61992645263672
2015-12-09,41.942684173583984
2015-12-10,42.76835250854492
2015-12-11,42.51787185668945
2015-12-14,43.22294616699219
2015-12-15,43.57548141479492
2015-12-16,43.686805725097656
2015-12-17,43.35282516479492
2015-12-18,43.232215881347656
2015-12-21,43.91875076293945
2015-12-22,44.27128601074219
2015-12-23,44.51249694824219
2015-12-24,44.651649475097656
2015-12-28,44.43828201293945
2015-12-29,44.83720397949219
2015-12-30,44.77225875854492
2015-12-31,44.45682144165039
2016-01-04,43.85382080078125
2016-01-05,44.54031753540039
2016-01-06,44.54960632324219
2016-01-07,43.19512176513672
2016-01-08,42.56427001953125
2016-01-11,41.35822296142578
2016-01-12,41.72002410888672
2016-01-13,40.12433624267578
2016-01-14,40.940738677978516
2016-01-15,40.24493408203125
2016-01-19,40.15660858154297
2016-01-20,40.71446228027344
2016-01-21,40.05433654785156
2016-01-22,40.351863861083984
2016-01-25,40.16590881347656
2016-01-26,40.78885269165039
2016-01-27,40.119407653808594
2016-01-28,39.83119201660156
2016-01-29,40.02643585205078
2016-02-01,39.94276428222656
2016-02-02,38.789852142333984
2016-02-03,38.40864562988281
2016-02-04,38.622493743896484
2016-02-05,38.03675079345703
2016-02-08,37.36730194091797
2016-02-09,37.060489654541016
2016-02-10,36.56770706176758
2016-02-11,36.59560775756836
2016-02-12,37.59046173095703
2016-02-16,37.59046173095703
2016-02-17,38.864227294921875
2016-02-18,39.068782806396484
2016-02-19,38.89212417602539
2016-02-22,39.7661018371582
2016-02-23,39.39419937133789
2016-02-24,39.39419937133789
2016-02-25,39.88697814941406
2016-02-26,39.384910583496094
2016-02-29,38.17620849609375
2016-03-01,39.14315414428711
2016-03-02,38.789852142333984
2016-03-03,38.19479751586914
2016-03-04,37.93446731567383
2016-03-07,38.30638122558594
2016-03-08,37.40449905395508
2016-03-09,37.61833953857422
2016-03-10,37.10697937011719
2016-03-11,38.9293098449707
2016-03-14,38.40864562988281
2016-03-15,37.86009216308594
2016-03-16,37.61833953857422
2016-03-17,36.9302978515625
2016-03-18,37.99025344848633
2016-03-21,38.696876525878906
2016-03-22,39.74750900268555
2016-03-23,39.64524841308594
2016-03-24,39.49647903442383
2016-03-28,39.2175407409668
2016-03-29,40.09152603149414
2016-03-30,40.928314208984375
2016-03-31,41.21653747558594
2016-04-01,41.8301887512207
2016-04-04,42.546104431152344
2016-04-05,42.71846389770508
2016-04-06,44.0414924621582
2016-04-07,43.966949462890625
2016-04-08,43.7340202331543
2016-04-11,43.48246765136719
2016-04-12,43.799251556396484
2016-04-13,44.25579071044922
2016-04-14,44.41416931152344
2016-04-15,44.82411193847656
2016-04-18,45.252689361572266
2016-04-19,45.24338150024414
2016-04-20,45.15953826904297
2016-04-21,45.13157272338867
2016-04-22,45.31791305541992
2016-04-25,44.08806228637695
2016-04-26,44.35826873779297
2016-04-27,44.218509674072266
