Date,SEB-A.ST
2015-08-24,54.572540283203125
2015-08-25,57.00123977661133
2015-08-26,56.65010452270508
2015-08-27,58.02538299560547
2015-08-28,57.87907791137695
2015-08-31,57.674259185791016
2015-09-01,56.73788070678711
2015-09-02,56.591575622558594
2015-09-03,57.76203536987305
2015-09-04,56.12339782714844
2015-09-07,56.416015625
2015-09-08,57.410884857177734
2015-09-09,57.674259185791016
2015-09-10,57.00123977661133
2015-09-11,56.67936325073242
2015-09-14,55.450382232666016
2015-09-15,55.97709274291992
2015-09-16,56.152652740478516
2015-09-17,56.73788070678711
2015-09-18,55.33333969116211
2015-09-21,55.42111587524414
2015-09-22,54.367713928222656
2015-09-23,53.43134689331055
2015-09-24,51.70491409301758
2015-09-25,53.31429672241211
2015-09-28,52.173095703125
2015-09-29,51.295265197753906
2015-09-30,52.29014587402344
2015-10-01,52.436458587646484
2015-10-02,52.81686019897461
2015-10-05,53.75322341918945
2015-10-06,53.89952850341797
2015-10-07,54.16288375854492
2015-10-08,54.396968841552734
2015-10-09,55.04072189331055
2015-10-12,54.95294189453125
2015-10-13,53.870269775390625
2015-10-14,53.25577926635742
2015-10-15,52.75833511352539
2015-10-16,53.694698333740234
2015-10-19,54.367713928222656
2015-10-20,53.811744689941406
2015-10-21,51.470821380615234
2015-10-22,53.84100341796875
2015-10-23,54.33845138549805
2015-10-26,54.04582595825195
2015-10-27,52.72907638549805
2015-10-28,53.7824821472168
2015-10-29,52.7875862121582
2015-10-30,52.61201858520508
2015-11-02,53.28504180908203
2015-11-03,53.37281799316406
2015-11-04,53.987308502197266
2015-11-05,53.05094909667969
2015-11-06,53.66543960571289
2015-11-09,53.37281799316406
2015-11-10,53.13874435424805
2015-11-11,53.34355926513672
2015-11-12,52.75833511352539
2015-11-13,52.0853157043457
2015-11-16,52.0853157043457
2015-11-17,53.66543960571289
2015-11-18,53.43134689331055
2015-11-19,53.54838943481445
2015-11-20,53.34355926513672
2015-11-23,53.34355926513672
2015-11-24,52.407196044921875
2015-11-25,53.197261810302734
2015-11-26,54.04582595825195
2015-11-27,54.04582595825195
2015-11-30,53.958045959472656
2015-12-01,54.45549392700195
2015-12-02,53.89952850341797
2015-12-03,53.89952850341797
2015-12-04,52.75833511352539
2015-12-07,52.75833511352539
2015-12-08,51.50008773803711
2015-12-09,51.50008773803711
2015-12-10,50.59298324584961
2015-12-11,49.042137145996094
2015-12-14,49.042137145996094
2015-12-15,50.76854705810547
2015-12-16,51.0611686706543
2015-12-17,51.50008773803711
2015-12-18,50.914859771728516
2015-12-21,50.914859771728516
2015-12-22,50.94412612915039
2015-12-23,52.114585876464844
2015-12-28,52.114585876464844
2015-12-29,52.348670959472656
2015-12-30,52.31940841674805
2016-01-04,52.31940841674805
2016-01-05,50.76854705810547
2016-01-07,50.76854705810547
2016-01-08,48.047245025634766
2016-01-11,48.19355392456055
2016-01-12,48.36912155151367
2016-01-13,48.07650375366211
2016-01-14,47.4327507019043
2016-01-15,45.85263442993164
2016-01-18,45.501502990722656
2016-01-19,46.467124938964844
2016-01-20,44.94553756713867
2016-01-21,45.79412078857422
2016-01-22,47.344970703125
2016-01-25,47.05236053466797
2016-01-26,48.13502883911133
2016-01-27,47.28645324707031
2016-01-28,46.81826400756836
2016-01-29,48.1642951965332
