Date,RAINBOW.NS
2022-05-10,445.252197265625
2022-05-11,477.98834228515625
2022-05-12,457.0708312988281
2022-05-13,451.384033203125
2022-05-16,431.7522277832031
2022-05-17,415.82916259765625
2022-05-18,436.5983581542969
2022-05-19,446.53790283203125
2022-05-20,472.449951171875
2022-05-23,458.7521667480469
2022-05-24,470.0763244628906
2022-05-25,471.11480712890625
2022-05-26,484.41693115234375
2022-05-27,488.471923828125
2022-05-30,491.4883728027344
2022-05-31,491.73565673828125
2022-06-01,478.33453369140625
2022-06-02,468.39501953125
2022-06-03,465.4774169921875
2022-06-06,473.8345947265625
2022-06-07,466.3180847167969
2022-06-08,461.8675537109375
2022-06-09,464.9829406738281
2022-06-10,464.9335021972656
2022-06-13,450.69171142578125
2022-06-14,433.4829406738281
2022-06-15,434.6697998046875
2022-06-16,428.1423034667969
2022-06-17,421.91156005859375
2022-06-20,415.6807861328125
2022-06-21,425.47198486328125
2022-06-22,431.0599060058594
2022-06-23,448.2686767578125
2022-06-24,454.4993896484375
2022-06-27,466.4169616699219
2022-06-28,461.471923828125
2022-06-29,459.93896484375
2022-06-30,460.8290710449219
2022-07-01,470.2741394042969
2022-07-04,465.9718933105469
2022-07-05,461.7686767578125
2022-07-06,465.77410888671875
2022-07-07,467.15875244140625
2022-07-08,480.9554138183594
2022-07-11,472.15325927734375
2022-07-12,463.9444580078125
2022-07-13,467.3565673828125
2022-07-14,467.5049133300781
2022-07-15,481.69720458984375
2022-07-18,501.5762634277344
2022-07-19,492.32904052734375
2022-07-20,482.1422424316406
2022-07-21,487.927978515625
2022-07-22,482.8345642089844
2022-07-25,487.8290710449219
2022-07-26,479.8180847167969
2022-07-27,485.1092834472656
2022-07-28,486.88946533203125
2022-07-29,483.625732421875
2022-08-01,483.4773864746094
2022-08-02,484.3675231933594
2022-08-03,470.81805419921875
2022-08-04,456.5268859863281
2022-08-05,467.406005859375
2022-08-08,468.8894958496094
2022-08-10,527.5872192382812
2022-08-11,564.6256713867188
2022-08-12,588.0156860351562
2022-08-16,595.1859741210938
2022-08-17,589.2520141601562
2022-08-18,574.1696166992188
2022-08-19,557.8509521484375
2022-08-22,574.5652465820312
2022-08-23,579.9058227539062
2022-08-24,582.9718017578125
2022-08-25,593.4552612304688
2022-08-26,614.175048828125
2022-08-29,603.543212890625
2022-08-30,603.9882202148438
2022-09-01,627.2793579101562
2022-09-02,615.065185546875
2022-09-05,597.4607543945312
2022-09-06,588.8564453125
