Date,DTE
2015-08-03,49.0587272644043
2015-08-04,48.283409118652344
2015-08-05,48.35665512084961
2015-08-06,48.77179718017578
2015-08-07,49.5837516784668
2015-08-10,49.22965621948242
2015-08-11,49.547115325927734
2015-08-12,50.68262481689453
2015-08-13,50.7558708190918
2015-08-14,51.06722640991211
2015-08-17,51.354164123535156
2015-08-18,51.03669738769531
2015-08-19,51.512882232666016
2015-08-20,51.445735931396484
2015-08-21,50.761985778808594
2015-08-24,48.36277389526367
2015-08-25,46.7388801574707
2015-08-26,47.538612365722656
2015-08-27,48.21015167236328
2015-08-28,48.12469482421875
2015-08-31,47.65461730957031
2015-09-01,46.47025680541992
2015-09-02,46.403114318847656
2015-09-03,46.62898254394531
2015-09-04,45.79262161254883
2015-09-08,46.56794738769531
2015-09-09,45.87808609008789
2015-09-10,45.82925033569336
2015-09-11,46.360374450683594
2015-09-14,46.3237419128418
2015-09-15,46.7022590637207
2015-09-16,47.392093658447266
2015-09-17,48.16245651245117
2015-09-18,47.946754455566406
2015-09-21,48.05767822265625
2015-09-22,47.620121002197266
2015-09-23,48.273380279541016
2015-09-24,48.538387298583984
2015-09-25,48.85269546508789
2015-09-28,48.54454803466797
2015-09-29,48.21175003051758
2015-09-30,49.530601501464844
2015-10-01,48.914306640625
2015-10-02,49.67234420776367
2015-10-05,49.992801666259766
2015-10-06,49.74628829956055
2015-10-07,49.524436950683594
2015-10-08,50.1468620300293
2015-10-09,50.005130767822266
2015-10-12,50.28861618041992
2015-10-13,50.134544372558594
2015-10-14,50.38721466064453
2015-10-15,51.3116455078125
2015-10-16,51.367122650146484
2015-10-19,51.54583740234375
2015-10-20,51.65676498413086
2015-10-21,51.63212585449219
2015-10-22,52.303863525390625
2015-10-23,51.35479736328125
2015-10-26,51.459564208984375
2015-10-27,51.45340347290039
2015-10-28,50.63990783691406
2015-10-29,50.01130294799805
2015-10-30,50.282474517822266
2015-11-02,50.63373565673828
2015-11-03,50.81864547729492
2015-11-04,50.972694396972656
2015-11-05,51.15140914916992
2015-11-06,48.92664337158203
2015-11-09,48.871177673339844
2015-11-10,49.42582321166992
2015-11-11,49.91886901855469
2015-11-12,49.32106018066406
2015-11-13,49.012916564941406
2015-11-16,49.955841064453125
2015-11-17,49.02524948120117
2015-11-18,49.22861099243164
2015-11-19,49.87569808959961
2015-11-20,50.153045654296875
2015-11-23,49.62921142578125
2015-11-24,49.43198776245117
2015-11-25,49.22861099243164
2015-11-27,49.40734100341797
2015-11-30,49.60454177856445
2015-12-01,49.71548080444336
2015-12-02,48.489078521728516
2015-12-03,48.23639678955078
2015-12-04,49.62921142578125
2015-12-07,50.02979278564453
2015-12-08,49.684669494628906
2015-12-09,49.43198776245117
2015-12-10,48.63697052001953
2015-12-11,48.273380279541016
2015-12-14,48.35966491699219
2015-12-15,48.76023864746094
2015-12-16,49.851078033447266
2015-12-17,49.720462799072266
2015-12-18,49.05503845214844
2015-12-21,48.91823196411133
2015-12-22,49.17942810058594
2015-12-23,49.75777816772461
2015-12-24,49.67693328857422
2015-12-28,50.16201400756836
2015-12-29,50.6470947265625
2015-12-30,50.70927047729492
2015-12-31,49.869728088378906
2016-01-04,49.21672439575195
2016-01-05,49.720462799072266
2016-01-06,49.49659729003906
2016-01-07,48.955528259277344
2016-01-08,48.744083404541016
2016-01-11,49.22295379638672
2016-01-12,49.502803802490234
2016-01-13,49.90703201293945
2016-01-14,50.57246017456055
2016-01-15,50.087379455566406
2016-01-19,51.13837814331055
2016-01-20,49.869728088378906
2016-01-21,49.285152435302734
2016-01-22,50.578678131103516
2016-01-25,50.224205017089844
2016-01-26,50.80876922607422
2016-01-27,50.9953498840332
2016-01-28,51.77272033691406
2016-01-29,52.867252349853516
2016-02-01,53.0538215637207
2016-02-02,53.619728088378906
2016-02-03,54.16078186035156
2016-02-04,53.86228942871094
2016-02-05,53.762779235839844
2016-02-08,53.619728088378906
2016-02-09,54.01155471801758
2016-02-10,53.35232162475586
2016-02-11,52.28889465332031
2016-02-12,52.06499481201172
2016-02-16,52.57497787475586
2016-02-17,52.37596893310547
2016-02-18,52.948089599609375
2016-02-19,52.6869010925293
2016-02-22,53.103572845458984
2016-02-23,53.33367919921875
2016-02-24,53.520233154296875
2016-02-25,54.086158752441406
2016-02-26,52.419490814208984
2016-02-29,52.31377410888672
2016-03-01,52.1334114074707
2016-03-02,52.27645492553711
2016-03-03,52.245357513427734
2016-03-04,52.77396011352539
2016-03-07,53.58864212036133
2016-03-08,54.26651382446289
2016-03-09,54.683189392089844
2016-03-10,54.726707458496094
2016-03-11,54.882171630859375
2016-03-14,54.764034271240234
2016-03-15,54.956825256347656
2016-03-16,55.64712905883789
2016-03-17,56.0922966003418
2016-03-18,55.747440338134766
2016-03-21,55.747440338134766
2016-03-22,55.408870697021484
2016-03-23,56.048423767089844
2016-03-24,56.0922966003418
2016-03-28,55.97943878173828
2016-03-29,56.976383209228516
2016-03-30,56.8823356628418
2016-03-31,56.84471130371094
2016-04-01,57.08925247192383
2016-04-04,56.8823356628418
2016-04-05,55.83523178100586
2016-04-06,55.797607421875
2016-04-07,55.659664154052734
2016-04-08,55.80387878417969
2016-04-11,55.546791076660156
2016-04-12,55.86030578613281
2016-04-13,55.60948944091797
2016-04-14,55.35242462158203
2016-04-15,55.879112243652344
2016-04-18,55.954368591308594
2016-04-19,56.14873123168945
2016-04-20,54.58747482299805
2016-04-21,53.339725494384766
2016-04-22,53.778621673583984
2016-04-25,54.09213638305664
2016-04-26,53.96673583984375
2016-04-27,54.83198928833008
