Date,EMAE4.SA
2015-08-24,2.1904585361480713
2015-08-25,2.1904585361480713
2015-08-26,2.4407968521118164
2015-08-27,2.4407968521118164
2015-08-28,2.4407968521118164
2015-08-31,2.4407968521118164
2015-09-01,2.4407968521118164
2015-09-02,2.4407968521118164
2015-09-03,2.4407968521118164
2015-09-04,2.4407968521118164
2015-09-08,2.5534486770629883
2015-09-09,2.5534486770629883
2015-09-10,2.5534486770629883
2015-09-11,2.628549814224243
2015-09-14,2.628549814224243
2015-09-15,2.628549814224243
2015-09-16,2.628549814224243
2015-09-17,2.321885824203491
2015-09-18,2.321885824203491
2015-09-21,2.321885824203491
2015-09-22,2.321885824203491
2015-09-23,2.321885824203491
2015-09-24,2.321885824203491
2015-09-25,2.321885824203491
2015-09-28,2.321885824203491
2015-09-29,2.321885824203491
2015-09-30,2.321885824203491
2015-10-01,2.321885824203491
2015-10-02,2.5033810138702393
2015-10-05,2.5033810138702393
2015-10-06,2.5033810138702393
2015-10-07,2.5033810138702393
2015-10-08,2.5033810138702393
2015-10-09,2.6222915649414062
2015-10-13,2.6222915649414062
2015-10-14,2.6222915649414062
2015-10-15,2.6222915649414062
2015-10-16,2.3469197750091553
2015-10-19,2.3469197750091553
2015-10-20,2.3469197750091553
2015-10-21,2.3469197750091553
2015-10-22,2.3469197750091553
2015-10-23,2.3469197750091553
2015-10-26,2.3469197750091553
2015-10-27,2.3469197750091553
2015-10-28,2.3469197750091553
2015-10-29,2.3469197750091553
2015-10-30,2.3469197750091553
2015-11-03,2.3469197750091553
2015-11-04,2.3469197750091553
2015-11-05,2.3469197750091553
2015-11-06,2.3469197750091553
2015-11-09,2.3469197750091553
2015-11-10,2.3469197750091553
2015-11-11,2.3469197750091553
2015-11-12,2.3469197750091553
2015-11-13,2.3469197750091553
2015-11-16,2.3469197750091553
2015-11-17,2.3469197750091553
2015-11-18,2.3469197750091553
2015-11-19,2.3469197750091553
2015-11-23,2.3469197750091553
2015-11-24,2.497122049331665
2015-11-25,2.4407968521118164
2015-11-26,2.4407968521118164
2015-11-27,2.6222915649414062
2015-11-30,2.6786179542541504
2015-12-01,2.396986961364746
2015-12-02,2.396986961364746
2015-12-03,2.378211498260498
2015-12-04,2.3531782627105713
2015-12-07,2.3531782627105713
2015-12-08,2.3531782627105713
2015-12-09,2.6160335540771484
2015-12-10,2.6160335540771484
2015-12-11,2.6160335540771484
2015-12-14,2.284335136413574
2015-12-15,2.284335136413574
2015-12-16,2.284335136413574
2015-12-17,2.284335136413574
2015-12-18,2.5471906661987305
2015-12-21,2.5471906661987305
2015-12-22,2.5033810138702393
2015-12-23,2.5033810138702393
2015-12-28,2.5346734523773193
2015-12-29,2.8225619792938232
2015-12-30,2.6222915649414062
2016-01-04,2.4095041751861572
2016-01-05,2.4095041751861572
2016-01-06,2.4095041751861572
2016-01-07,2.5221564769744873
2016-01-08,2.5221564769744873
2016-01-11,2.284335136413574
2016-01-12,2.265559673309326
2016-01-13,2.4157629013061523
2016-01-14,2.3531782627105713
2016-01-15,2.315627336502075
2016-01-18,2.315627336502075
2016-01-19,2.315627336502075
2016-01-20,2.315627336502075
2016-01-21,2.315627336502075
2016-01-22,2.315627336502075
2016-01-26,2.309368848800659
2016-01-27,2.309368848800659
2016-01-28,2.528414726257324
2016-01-29,2.659842014312744
2016-02-01,2.659842014312744
2016-02-02,2.659842014312744
2016-02-03,2.5659658908843994
2016-02-04,2.5659658908843994
2016-02-05,2.5659658908843994
2016-02-10,2.5659658908843994
2016-02-11,2.5659658908843994
2016-02-12,2.5659658908843994
2016-02-15,2.5033810138702393
2016-02-16,2.5033810138702393
2016-02-17,2.5033810138702393
2016-02-18,2.5033810138702393
2016-02-19,2.4470551013946533
2016-02-22,2.4470551013946533
2016-02-23,2.4470551013946533
2016-02-24,2.4470551013946533
2016-02-25,2.4470551013946533
2016-02-26,2.4470551013946533
2016-02-29,2.4470551013946533
2016-03-01,2.4470551013946533
2016-03-02,2.4470551013946533
2016-03-03,2.8601126670837402
2016-03-04,2.8601126670837402
2016-03-07,2.8601126670837402
2016-03-08,2.8601126670837402
2016-03-09,2.8601126670837402
2016-03-10,2.8601126670837402
2016-03-11,2.8601126670837402
2016-03-14,2.5659658908843994
2016-03-15,2.5659658908843994
2016-03-16,2.7537190914154053
2016-03-17,2.8601126670837402
2016-03-18,2.872629404067993
2016-03-21,2.872629404067993
2016-03-22,3.0666420459747314
2016-03-23,3.0666420459747314
2016-03-24,3.0666420459747314
2016-03-28,3.122967481613159
2016-03-29,3.254395008087158
2016-03-30,3.0353493690490723
2016-03-31,2.759977340698242
2016-04-01,2.7537190914154053
2016-04-04,3.3670473098754883
2016-04-05,3.3670473098754883
2016-04-06,3.3670473098754883
2016-04-07,3.3670473098754883
2016-04-08,3.3670473098754883
2016-04-11,3.3670473098754883
2016-04-12,3.3670473098754883
2016-04-13,3.3670473098754883
2016-04-14,3.3670473098754883
2016-04-15,3.3670473098754883
2016-04-18,3.3670473098754883
2016-04-19,3.3670473098754883
2016-04-20,3.3670473098754883
2016-04-22,3.3670473098754883
2016-04-25,3.3670473098754883
2016-04-26,3.2293617725372314
2016-04-27,3.294426679611206
2016-04-28,3.192272663116455
2016-04-29,3.224196434020996
2016-05-02,3.224196434020996
2016-05-03,3.0773513317108154
2016-05-04,3.0773513317108154
2016-05-05,3.0773513317108154
2016-05-06,3.0773513317108154
2016-05-09,3.0773513317108154
2016-05-10,3.0773513317108154
2016-05-11,3.0773513317108154
2016-05-12,3.0773513317108154
2016-05-13,3.0773513317108154
