Date,CME
2015-08-03,64.88397216796875
2015-08-04,64.69662475585938
2015-08-05,65.49955749511719
2015-08-06,64.9642562866211
2015-08-07,65.06462860107422
2015-08-10,65.57315063476562
2015-08-11,65.07132720947266
2015-08-12,64.91741943359375
2015-08-13,65.38581085205078
2015-08-14,65.68022918701172
2015-08-17,65.74041748046875
2015-08-18,65.76719665527344
2015-08-19,65.05794525146484
2015-08-20,64.27508544921875
2015-08-21,61.31758117675781
2015-08-24,59.37716293334961
2015-08-25,59.618045806884766
2015-08-26,61.384490966796875
2015-08-27,62.74279022216797
2015-08-28,63.311546325683594
2015-08-31,63.191123962402344
2015-09-01,60.969661712646484
2015-09-02,61.93316650390625
2015-09-03,62.76955795288086
2015-09-04,61.84619903564453
2015-09-08,63.79044723510742
2015-09-09,61.893306732177734
2015-09-10,62.88222122192383
2015-09-11,63.56172180175781
2015-09-14,63.534793853759766
2015-09-15,64.072998046875
2015-09-16,64.16045379638672
2015-09-17,62.10854721069336
2015-09-18,60.81686019897461
2015-09-21,61.859642028808594
2015-09-22,61.02542495727539
2015-09-23,61.381980895996094
2015-09-24,60.65538787841797
2015-09-25,62.14894485473633
2015-09-28,60.89760971069336
2015-09-29,60.81013107299805
2015-09-30,62.39109802246094
2015-10-01,63.090782165527344
2015-10-02,60.9312629699707
2015-10-05,61.37526321411133
2015-10-06,60.44685363769531
2015-10-07,61.01200485229492
2015-10-08,60.46704864501953
2015-10-09,59.40410614013672
2015-10-12,60.251800537109375
2015-10-13,59.377193450927734
2015-10-14,58.74479675292969
2015-10-15,60.00286865234375
2015-10-16,60.48051452636719
2015-10-19,61.489654541015625
2015-10-20,61.583805084228516
2015-10-21,60.776519775390625
2015-10-22,62.202754974365234
2015-10-23,63.20514678955078
2015-10-26,63.17148971557617
2015-10-27,63.164772033691406
2015-10-28,64.5439453125
2015-10-29,65.53960418701172
2015-10-30,63.554988861083984
2015-11-02,64.87359619140625
2015-11-03,64.5910415649414
2015-11-04,64.17390441894531
2015-11-05,64.2546615600586
2015-11-06,65.11577606201172
2015-11-09,65.40504455566406
2015-11-10,65.69432067871094
2015-11-11,65.862548828125
2015-11-12,64.81975555419922
2015-11-13,64.21427917480469
2015-11-16,64.47666931152344
2015-11-17,64.05952453613281
2015-11-18,64.69866180419922
2015-11-19,65.37815856933594
2015-11-20,65.6808853149414
2015-11-23,65.47232055664062
2015-11-24,64.69193267822266
2015-11-25,64.53721618652344
2015-11-27,65.02159118652344
2015-11-30,65.69432067871094
2015-12-01,65.82887268066406
2015-12-02,66.08454132080078
2015-12-03,64.20082092285156
2015-12-04,67.05330657958984
2015-12-07,66.96588134765625
2015-12-08,66.13418579101562
2015-12-09,63.59186935424805
2015-12-10,64.18010711669922
2015-12-11,62.307186126708984
2015-12-14,64.02459716796875
2015-12-15,64.33560180664062
2015-12-16,64.5857925415039
2015-12-17,64.21390533447266
2015-12-18,62.577640533447266
2015-12-21,62.50326156616211
2015-12-22,64.02459716796875
2015-12-23,63.466590881347656
2015-12-24,64.10133361816406
2015-12-28,64.0943374633789
2015-12-29,64.39427185058594
2015-12-30,63.83626937866211
2015-12-31,63.19456481933594
2016-01-04,61.84836959838867
2016-01-05,62.33662796020508
2016-01-06,62.02970504760742
2016-01-07,61.05316925048828
2016-01-08,60.14643478393555
2016-01-11,60.64863967895508
2016-01-12,60.85788345336914
2016-01-13,58.709537506103516
2016-01-14,59.0792236328125
2016-01-15,59.0861930847168
2016-01-19,60.062740325927734
2016-01-20,58.73047637939453
2016-01-21,57.18896484375
2016-01-22,59.12807846069336
2016-01-25,59.037384033203125
2016-01-26,60.24407958984375
2016-01-27,60.48820114135742
2016-01-28,60.74626922607422
2016-01-29,62.67140197753906
2016-02-01,62.385440826416016
2016-02-02,62.15525817871094
2016-02-03,62.3575325012207
2016-02-04,60.21617126464844
2016-02-05,61.7646598815918
2016-02-08,62.90859603881836
2016-02-09,65.08479309082031
2016-02-10,63.14572525024414
2016-02-11,62.301753997802734
2016-02-12,63.578189849853516
2016-02-16,63.271263122558594
2016-02-17,64.27571868896484
2016-02-18,63.68281936645508
2016-02-19,65.09178161621094
2016-02-22,64.15013885498047
2016-02-23,64.10133361816406
2016-02-24,64.38031768798828
2016-02-25,65.00110626220703
2016-02-26,64.98715209960938
2016-02-29,63.78046798706055
2016-03-01,64.56168365478516
2016-03-02,65.07782745361328
2016-03-03,65.80323791503906
2016-03-04,66.12410736083984
2016-03-07,65.27313995361328
2016-03-08,65.49076080322266
2016-03-09,65.91899871826172
2016-03-10,65.79966735839844
2016-03-11,66.40336608886719
2016-03-14,67.66697692871094
2016-03-15,67.8916244506836
2016-03-16,67.65995788574219
2016-03-17,67.68806457519531
2016-03-18,67.35810852050781
2016-03-21,67.25282287597656
2016-03-22,67.09834289550781
2016-03-23,67.64594268798828
2016-03-24,66.81053924560547
2016-03-28,66.83861541748047
2016-03-29,66.69120025634766
2016-03-30,67.09136962890625
2016-03-31,67.42830657958984
2016-04-01,68.06013488769531
2016-04-04,67.91271209716797
2016-04-05,66.36124420166016
2016-04-06,66.2559585571289
2016-04-07,64.73958587646484
2016-04-08,62.54228591918945
2016-04-11,62.970542907714844
2016-04-12,63.21623229980469
2016-04-13,63.37067794799805
2016-04-14,63.86210632324219
2016-04-15,64.19203186035156
2016-04-18,64.22012329101562
2016-04-19,65.02041625976562
2016-04-20,65.35736083984375
2016-04-21,65.32225036621094
2016-04-22,66.12959289550781
2016-04-25,65.7785873413086
2016-04-26,66.07344055175781
2016-04-27,66.31212615966797
