Date,ASTRAZEN.NS
2015-08-21,1168.456787109375
2015-08-24,1134.34228515625
2015-08-25,1142.1693115234375
2015-08-26,1137.2464599609375
2015-08-27,1166.290771484375
2015-08-28,1166.142822265625
2015-08-31,1147.4859619140625
2015-09-01,1110.1224365234375
2015-09-02,1132.7176513671875
2015-09-03,1178.44970703125
2015-09-04,1180.025146484375
2015-09-07,1156.002197265625
2015-09-08,1171.607177734375
2015-09-09,1167.8658447265625
2015-09-10,1158.56201171875
2015-09-11,1172.54248046875
2015-09-14,1176.677734375
2015-09-15,1162.05712890625
2015-09-16,1156.9866943359375
2015-09-18,1151.3748779296875
2015-09-21,1147.387451171875
2015-09-22,1128.041015625
2015-09-23,1132.6685791015625
2015-09-24,1157.085205078125
2015-09-28,1146.8951416015625
2015-09-29,1147.8798828125
2015-09-30,1150.341064453125
2015-10-01,1150.2918701171875
2015-10-05,1170.5733642578125
2015-10-06,1162.3525390625
2015-10-07,1166.48779296875
2015-10-08,1178.0067138671875
2015-10-09,1164.321533203125
2015-10-12,1149.7503662109375
2015-10-13,1152.359375
2015-10-14,1155.4605712890625
2015-10-15,1171.21337890625
2015-10-16,1172.64111328125
2015-10-19,1230.8275146484375
2015-10-20,1256.3763427734375
2015-10-21,1248.0079345703125
2015-10-23,1223.6402587890625
2015-10-26,1192.2333984375
2015-10-27,1176.923828125
2015-10-28,1175.00390625
2015-10-29,1171.4102783203125
2015-10-30,1159.9403076171875
2015-11-02,1156.14990234375
2015-11-03,1169.736572265625
2015-11-04,1161.0233154296875
2015-11-05,1149.553466796875
2015-11-06,1142.90771484375
2015-11-09,1133.1114501953125
2015-11-10,1102.0489501953125
2015-11-13,1100.326416015625
2015-11-16,1099.8831787109375
2015-11-17,1098.2586669921875
2015-11-18,1084.0811767578125
2015-11-19,1101.6552734375
2015-11-20,1083.2935791015625
2015-11-23,1080.88134765625
2015-11-24,1089.4468994140625
2015-11-26,1070.4945068359375
2015-11-27,1061.6827392578125
2015-11-30,1083.39208984375
2015-12-01,1114.3560791015625
2015-12-02,1109.43310546875
2015-12-03,1083.98291015625
2015-12-04,1087.084228515625
2015-12-07,1081.275146484375
2015-12-08,1080.9801025390625
2015-12-09,1062.9627685546875
2015-12-10,1059.17236328125
2015-12-11,1051.197509765625
2015-12-14,1060.2552490234375
