Date,BGN.MI
2015-08-24,15.737818717956543
2015-08-25,16.726064682006836
2015-08-26,16.299884796142578
2015-08-27,16.726064682006836
2015-08-28,16.664297103881836
2015-08-31,16.503705978393555
2015-09-01,16.250469207763672
2015-09-02,15.663697242736816
2015-09-03,15.997233390808105
2015-09-04,15.398107528686523
2015-09-07,15.441346168518066
2015-09-08,15.731639862060547
2015-09-09,16.269001007080078
2015-09-10,16.034292221069336
2015-09-11,16.058996200561523
2015-09-14,15.886051177978516
2015-09-15,15.941646575927734
2015-09-16,16.071352005004883
2015-09-17,16.009586334228516
2015-09-18,15.793407440185547
2015-09-21,15.75634765625
2015-09-22,15.391932487487793
2015-09-23,15.398107528686523
2015-09-24,15.348698616027832
2015-09-25,15.78105354309082
2015-09-28,15.45987319946289
2015-09-29,15.231340408325195
2015-09-30,15.571052551269531
2015-10-01,15.601933479309082
2015-10-02,15.713112831115723
2015-10-05,16.182525634765625
2015-10-06,16.37400245666504
2015-10-07,16.435766220092773
2015-10-08,16.794004440307617
2015-10-09,16.36782455444336
2015-10-12,15.935465812683105
2015-10-13,15.910760879516602
2015-10-14,15.74399471282959
2015-10-15,15.904585838317871
2015-10-16,16.034292221069336
2015-10-19,16.250469207763672
2015-10-20,16.238117218017578
2015-10-21,16.133115768432617
2015-10-22,16.163999557495117
2015-10-23,16.91753578186035
2015-10-26,17.139890670776367
2015-10-27,17.288129806518555
2015-10-28,17.473426818847656
2015-10-29,17.646366119384766
2015-10-30,17.319013595581055
2015-11-02,17.281951904296875
2015-11-03,17.18312644958496
2015-11-04,17.232540130615234
2015-11-05,17.084306716918945
2015-11-06,17.522836685180664
2015-11-09,17.356069564819336
2015-11-10,17.491958618164062
2015-11-11,17.442543029785156
2015-11-12,17.232540130615234
2015-11-13,17.541366577148438
2015-11-16,17.442543029785156
2015-11-17,17.603132247924805
2015-11-18,17.498130798339844
2015-11-19,17.424013137817383
2015-11-20,17.306655883789062
2015-11-23,17.263423919677734
2015-11-24,17.121360778808594
2015-11-25,17.436365127563477
2015-11-26,17.553722381591797
2015-11-27,17.516664505004883
2015-11-30,17.80695915222168
2015-12-01,17.81313705444336
2015-12-02,17.949018478393555
2015-12-03,17.72666358947754
2015-12-04,17.60930824279785
2015-12-07,17.8316650390625
2015-12-08,17.714309692382812
2015-12-09,17.479598999023438
2015-12-10,17.442543029785156
2015-12-11,16.83724021911621
2015-12-14,16.472827911376953
2015-12-15,17.16459846496582
2015-12-16,17.553722381591797
2015-12-17,17.75136947631836
2015-12-18,17.634014129638672
2015-12-21,17.603132247924805
2015-12-22,17.516664505004883
2015-12-23,17.80695915222168
2015-12-28,18.054018020629883
2015-12-29,18.023136138916016
2015-12-30,18.023136138916016
2015-12-31,18.023136138916016
2016-01-04,17.479598999023438
2016-01-05,17.29430389404297
2016-01-06,16.781652450561523
2016-01-07,16.52841567993164
2016-01-08,16.262821197509766
2016-01-11,16.36782455444336
2016-01-12,16.509885787963867
2016-01-13,16.942245483398438
2016-01-14,16.645771026611328
2016-01-15,16.12693977355957
2016-01-18,15.676050186157227
2016-01-19,15.960173606872559
2016-01-20,15.070752143859863
2016-01-21,15.076927185058594
2016-01-22,15.50928783416748
2016-01-25,15.540168762207031
2016-01-26,15.428994178771973
2016-01-27,15.601933479309082
2016-01-28,15.19428539276123
2016-01-29,15.478403091430664
2016-02-01,15.293107986450195
2016-02-02,15.021339416503906
2016-02-03,13.823091506958008
2016-02-04,13.718088150024414
2016-02-05,13.594557762145996
2016-02-08,12.458077430725098
2016-02-09,12.680431365966797
2016-02-10,13.563675880432129
2016-02-11,13.174554824829102
2016-02-12,13.41543960571289
2016-02-15,14.002208709716797
2016-02-16,13.847797393798828
2016-02-17,14.38515567779541
2016-02-18,14.409863471984863
2016-02-19,14.193685531616211
2016-02-22,14.496332168579102
2016-02-23,14.181331634521484
2016-02-24,13.847797393798828
2016-02-25,14.323391914367676
2016-02-26,14.335742950439453
2016-02-29,14.521042823791504
2016-03-01,14.860750198364258
2016-03-02,15.021339416503906
2016-03-03,15.243693351745605
2016-03-04,15.571052551269531
2016-03-07,15.496933937072754
2016-03-08,15.435166358947754
2016-03-09,15.441346168518066
2016-03-10,15.323988914489746
2016-03-11,16.015762329101562
2016-03-14,16.201059341430664
2016-03-15,16.2937068939209
2016-03-16,16.2937068939209
2016-03-17,16.157821655273438
2016-03-18,16.343114852905273
2016-03-21,16.12693977355957
2016-03-22,15.848995208740234
2016-03-23,15.892230033874512
2016-03-24,15.540168762207031
2016-03-29,15.608109474182129
2016-03-30,15.935465812683105
2016-03-31,15.966347694396973
2016-04-01,16.009586334228516
2016-04-04,15.867524147033691
2016-04-05,14.829869270324707
2016-04-06,14.885454177856445
2016-04-07,14.656922340393066
2016-04-08,14.941045761108398
2016-04-11,15.398107528686523
2016-04-12,15.533988952636719
2016-04-13,15.873703956604004
2016-04-14,15.947820663452148
2016-04-15,16.114585876464844
2016-04-18,16.083703994750977
2016-04-19,16.015762329101562
2016-04-20,16.071352005004883
2016-04-21,16.108407974243164
2016-04-22,16.207233428955078
2016-04-25,16.058996200561523
2016-04-26,16.299884796142578
2016-04-27,16.170177459716797
2016-04-28,16.120765686035156
2016-04-29,16.015762329101562
2016-05-02,15.731639862060547
2016-05-03,15.37957763671875
2016-05-04,15.441346168518066
2016-05-05,15.120163917541504
2016-05-06,14.89163589477539
2016-05-09,14.706334114074707
2016-05-10,14.638394355773926
2016-05-11,14.607511520385742
2016-05-12,14.298683166503906
2016-05-13,14.453096389770508
2016-05-16,14.66927719116211
