Date,EMBONOR-B.SN
2015-08-24,725.1143188476562
2015-08-25,730.351318359375
2015-08-26,747.6063232421875
2015-08-27,768.553955078125
2015-08-28,778.8264770507812
2015-08-31,771.4412231445312
2015-09-01,771.4412231445312
2015-09-02,783.5263061523438
2015-09-03,778.8264770507812
2015-09-04,778.8264770507812
2015-09-07,778.8264770507812
2015-09-08,765.53271484375
2015-09-09,765.53271484375
2015-09-10,758.55029296875
2015-09-11,778.8936157226562
2015-09-14,783.39208984375
2015-09-15,812.3966064453125
2015-09-16,832.4716186523438
2015-09-17,829.3157958984375
2015-09-21,825.8246459960938
2015-09-22,825.8246459960938
2015-09-23,872.621337890625
2015-09-24,872.8226928710938
2015-09-25,851.5394287109375
2015-09-28,808.0326538085938
2015-09-29,770.5681762695312
2015-09-30,764.0557250976562
2015-10-01,763.6527099609375
2015-10-02,771.7095947265625
2015-10-05,788.897705078125
2015-10-06,818.1036376953125
2015-10-07,837.9099731445312
2015-10-08,817.7679443359375
2015-10-09,833.1428833007812
2015-10-13,832.4716186523438
2015-10-14,832.2701416015625
2015-10-15,831.128662109375
2015-10-16,830.5244750976562
2015-10-19,831.8672485351562
2015-10-20,831.8672485351562
2015-10-21,834.0829467773438
2015-10-22,831.80029296875
2015-10-23,819.1106567382812
2015-10-26,813.26953125
2015-10-27,815.7537231445312
2015-10-28,805.6826171875
2015-10-29,805.6826171875
2015-10-30,805.54833984375
2015-11-02,805.54833984375
2015-11-03,805.54833984375
2015-11-04,805.6826171875
2015-11-05,805.0111694335938
2015-11-06,805.0111694335938
2015-11-09,758.0130615234375
2015-11-10,758.0130615234375
2015-11-11,795.5444946289062
2015-11-12,792.2545166015625
2015-11-13,785.5404663085938
2015-11-16,784.19775390625
2015-11-17,769.8969116210938
2015-11-18,758.6846313476562
2015-11-19,765.3984985351562
2015-11-20,758.6846313476562
2015-11-23,745.2565307617188
2015-11-24,720.3474731445312
2015-11-25,730.4854736328125
2015-11-26,725.1143188476562
2015-11-27,711.686279296875
2015-11-30,699.33251953125
2015-12-01,704.9722900390625
2015-12-02,691.2085571289062
2015-12-03,684.8301391601562
2015-12-04,677.5118408203125
2015-12-07,668.045166015625
2015-12-09,662.640380859375
2015-12-10,668.7166137695312
2015-12-11,684.8301391601562
2015-12-14,672.073486328125
2015-12-15,670.7307739257812
2015-12-16,684.4945068359375
2015-12-17,690.5371704101562
2015-12-18,690.5371704101562
2015-12-21,690.2014770507812
2015-12-22,684.2930908203125
2015-12-23,683.4873046875
2015-12-24,684.8301391601562
2015-12-28,684.8301391601562
2015-12-29,671.4022216796875
2015-12-30,684.8301391601562
2015-12-31,684.8301391601562
2016-01-04,684.762939453125
2016-01-05,684.762939453125
2016-01-06,681.4732666015625
2016-01-07,681.4732666015625
2016-01-08,671.4022216796875
2016-01-11,671.4022216796875
2016-01-12,651.2601928710938
2016-01-13,651.2667846679688
2016-01-14,665.1177978515625
2016-01-15,654.6171875
2016-01-18,650.1522827148438
2016-01-19,653.58984375
2016-01-20,636.4019775390625
2016-01-21,635.1464233398438
2016-01-22,638.5103149414062
2016-01-25,631.00390625
2016-01-26,628.432373046875
2016-01-27,649.6755981445312
2016-01-28,657.9741821289062
2016-01-29,678.1160888671875
2016-02-01,654.0531616210938
2016-02-02,677.4447631835938
2016-02-03,677.4447631835938
2016-02-04,670.6233520507812
2016-02-05,676.7734985351562
2016-02-08,678.1160888671875
2016-02-09,679.4591064453125
2016-02-10,684.8301391601562
2016-02-11,684.8301391601562
2016-02-12,684.762939453125
2016-02-15,684.8301391601562
2016-02-16,697.318359375
2016-02-17,700.2724609375
2016-02-18,700.2724609375
2016-02-19,718.4003295898438
2016-02-22,718.4003295898438
2016-02-23,711.686279296875
2016-02-24,700.7423706054688
2016-02-25,725.1143188476562
2016-02-26,725.1143188476562
2016-02-29,725.1143188476562
2016-03-01,687.515869140625
2016-03-02,721.0859985351562
2016-03-03,721.0859985351562
2016-03-04,729.1427001953125
2016-03-07,738.5423583984375
2016-03-08,738.81103515625
2016-03-09,765.3984985351562
2016-03-10,766.4056396484375
2016-03-11,781.3778686523438
2016-03-14,781.3778686523438
2016-03-15,805.6826171875
2016-03-16,805.54833984375
2016-03-17,805.54833984375
2016-03-18,805.6826171875
2016-03-21,795.6116943359375
2016-03-22,804.3399658203125
2016-03-23,792.2545166015625
2016-03-24,792.2545166015625
2016-03-28,792.2545166015625
2016-03-29,791.5831298828125
2016-03-30,805.6826171875
2016-03-31,821.7962646484375
2016-04-01,821.7962646484375
2016-04-04,823.67626953125
2016-04-05,824.8175659179688
2016-04-06,822.4675903320312
2016-04-07,806.8911743164062
2016-04-08,815.7537231445312
2016-04-11,815.6864624023438
2016-04-12,807.0925903320312
2016-04-13,805.6826171875
2016-04-14,794.73876953125
2016-04-15,775.4694213867188
2016-04-18,772.1124877929688
2016-04-19,772.1124877929688
2016-04-20,805.6826171875
2016-04-21,798.9684448242188
2016-04-22,798.9684448242188
2016-04-25,797.1559448242188
2016-04-26,788.2932739257812
2016-04-27,790.0390014648438
2016-04-28,792.2545166015625
2016-04-29,817.7679443359375
2016-05-02,845.9667358398438
2016-05-03,845.2953491210938
2016-05-04,845.2953491210938
2016-05-05,833.2772216796875
2016-05-06,845.9667358398438
2016-05-09,842.6768188476562
2016-05-10,825.958984375
2016-05-11,837.2384643554688
2016-05-12,840.3941650390625
2016-05-13,822.4675903320312
2016-05-16,806.6513671875
2016-05-17,796.5076904296875
2016-05-18,798.3458251953125
2016-05-19,796.5758666992188
2016-05-20,797.7332763671875
