Date,HM-B.ST
2015-08-24,218.16915893554688
2015-08-25,223.24758911132812
2015-08-26,215.6299591064453
2015-08-27,218.4364471435547
2015-08-28,219.30514526367188
2015-08-31,217.701416015625
2015-09-01,212.6898956298828
2015-09-02,212.08847045898438
2015-09-03,215.22909545898438
2015-09-04,211.01937866210938
2015-09-07,212.6898956298828
2015-09-08,213.22442626953125
2015-09-09,215.5631866455078
2015-09-10,213.15762329101562
2015-09-11,211.75437927246094
2015-09-14,211.62075805664062
2015-09-15,208.21292114257812
2015-09-16,212.1553192138672
2015-09-17,212.08847045898438
2015-09-18,208.881103515625
2015-09-21,210.8857421875
2015-09-22,205.20596313476562
2015-09-23,207.41104125976562
2015-09-24,199.12530517578125
2015-09-25,204.2036895751953
2015-09-28,200.26124572753906
2015-09-29,199.86036682128906
2015-09-30,204.2704620361328
2015-10-01,200.1276092529297
2015-10-02,200.1276092529297
2015-10-05,206.20831298828125
2015-10-06,206.60919189453125
2015-10-07,205.94100952148438
2015-10-08,206.1414337158203
2015-10-09,207.6783447265625
2015-10-12,210.0170440673828
2015-10-13,210.8857421875
2015-10-14,210.2843475341797
2015-10-15,209.749755859375
2015-10-16,209.54931640625
2015-10-19,211.82122802734375
2015-10-20,213.62539672851562
2015-10-21,214.7613067626953
2015-10-22,218.70370483398438
2015-10-23,222.5125274658203
2015-10-26,221.91110229492188
2015-10-27,220.70831298828125
2015-10-28,221.3097381591797
2015-10-29,223.1807098388672
2015-10-30,222.04478454589844
2015-11-02,221.242919921875
2015-11-03,220.50791931152344
2015-11-04,221.71066284179688
2015-11-05,226.12078857421875
2015-11-06,223.915771484375
2015-11-09,220.2406005859375
2015-11-10,220.3742218017578
2015-11-11,221.44337463378906
2015-11-12,217.83506774902344
2015-11-13,214.69448852539062
2015-11-16,212.62307739257812
2015-11-17,215.5631866455078
2015-11-18,215.496337890625
2015-11-19,214.4272003173828
2015-11-20,216.23135375976562
2015-11-23,212.9571533203125
2015-11-24,209.0147247314453
2015-11-25,212.55624389648438
2015-11-26,213.15762329101562
2015-11-27,213.49172973632812
2015-11-30,213.49172973632812
2015-12-01,217.6345977783203
2015-12-02,216.832763671875
2015-12-03,216.832763671875
2015-12-04,211.35342407226562
2015-12-07,213.55856323242188
2015-12-08,207.61151123046875
2015-12-09,207.61151123046875
2015-12-10,202.0654296875
2015-12-11,202.0654296875
2015-12-14,197.45480346679688
2015-12-15,203.93641662597656
2015-12-16,202.19908142089844
2015-12-17,201.4640655517578
2015-12-18,200.26124572753906
2015-12-21,199.192138671875
2015-12-22,197.52159118652344
2015-12-23,200.46173095703125
2015-12-28,199.25892639160156
2015-12-29,201.6644744873047
2015-12-30,201.8649139404297
2016-01-04,191.24046325683594
2016-01-05,190.17135620117188
2016-01-07,187.3648681640625
2016-01-08,187.43170166015625
2016-01-11,185.5607452392578
2016-01-12,186.69667053222656
