Date,GMDCLTD.NS
2015-08-21,60.546791076660156
2015-08-24,55.30610275268555
2015-08-25,53.930885314941406
2015-08-26,54.599910736083984
2015-08-27,56.04946517944336
2015-08-28,55.937957763671875
2015-08-31,55.677791595458984
2015-09-01,54.00522232055664
2015-09-02,53.930885314941406
2015-09-03,53.930885314941406
2015-09-04,54.56273651123047
2015-09-07,54.116722106933594
2015-09-08,53.67070388793945
2015-09-09,55.677791595458984
2015-09-10,55.454776763916016
2015-09-11,55.714935302734375
2015-09-14,56.272464752197266
2015-09-15,55.380435943603516
2015-09-16,55.491943359375
2015-09-18,55.41761016845703
2015-09-21,56.495487213134766
2015-09-22,56.60698318481445
2015-09-23,57.2647590637207
2015-09-24,56.72305679321289
2015-09-28,55.562294006347656
2015-09-29,55.02059555053711
2015-09-30,55.40751266479492
2015-10-01,54.40151596069336
2015-10-05,55.67836380004883
2015-10-06,56.06529235839844
2015-10-07,55.562294006347656
2015-10-08,56.10398864746094
2015-10-09,56.142669677734375
2015-10-12,58.773765563964844
2015-10-13,58.773765563964844
2015-10-14,58.657684326171875
2015-10-15,58.11598587036133
2015-10-16,60.01192855834961
2015-10-19,58.92853927612305
2015-10-20,59.39283752441406
2015-10-21,58.54159927368164
2015-10-23,59.19937515258789
2015-10-26,58.27075958251953
2015-10-27,57.34213638305664
2015-10-28,57.651676177978516
2015-10-29,56.95521545410156
2015-10-30,56.68437194824219
2015-11-02,56.452213287353516
2015-11-03,56.452213287353516
2015-11-04,56.80044937133789
2015-11-05,56.37483215332031
2015-11-06,55.29143524169922
2015-11-09,57.032596588134766
2015-11-10,57.76776123046875
2015-11-13,58.4255256652832
2015-11-16,57.88383483886719
2015-11-17,58.03859329223633
2015-11-18,58.88983154296875
2015-11-19,60.47623062133789
2015-11-20,63.532920837402344
2015-11-23,66.24139404296875
2015-11-24,67.75039672851562
2015-11-26,69.298095703125
2015-11-27,67.0152359008789
2015-11-30,67.36347961425781
2015-12-01,69.99456024169922
2015-12-02,69.41416931152344
2015-12-03,68.94985961914062
2015-12-04,67.63431549072266
2015-12-07,67.36347961425781
2015-12-08,65.39016723632812
2015-12-09,61.98521423339844
2015-12-10,63.45553970336914
