Date,ANTARCHILE.SN
2015-08-24,6434.37841796875
2015-08-25,6491.66845703125
2015-08-26,6450.869140625
2015-08-27,6648.857421875
2015-08-28,6624.9326171875
2015-08-31,6580.509765625
2015-09-01,6577.365234375
2015-09-02,6625.02783203125
2015-09-03,6644.18701171875
2015-09-04,6625.02783203125
2015-09-07,6586.8984375
2015-09-08,6558.68212890625
2015-09-09,6543.33447265625
2015-09-10,6576.41259765625
2015-09-11,6576.41259765625
2015-09-14,6525.12744140625
2015-09-15,6529.79931640625
2015-09-16,6529.70361328125
2015-09-17,6434.5693359375
2015-09-21,6520.1708984375
2015-09-22,6482.326171875
2015-09-23,6482.04052734375
2015-09-24,6577.365234375
2015-09-25,6577.365234375
2015-09-28,6444.0078125
2015-09-29,6482.04052734375
2015-09-30,6538.7587890625
2015-10-01,6434.37841796875
2015-10-02,6434.37841796875
2015-10-05,6435.712890625
2015-10-06,6434.4736328125
2015-10-07,6482.04052734375
2015-10-08,6482.04052734375
2015-10-09,6529.70361328125
2015-10-13,6524.93701171875
2015-10-14,6510.63818359375
2015-10-15,6520.1708984375
2015-10-16,6510.63818359375
2015-10-19,6510.63818359375
2015-10-20,6510.63818359375
2015-10-21,6510.63818359375
2015-10-22,6577.365234375
2015-10-23,6672.689453125
2015-10-26,6663.15576171875
2015-10-27,6577.365234375
2015-10-28,6577.365234375
2015-10-29,6653.625
2015-10-30,6672.689453125
2015-11-02,6672.689453125
2015-11-03,6701.2861328125
2015-11-04,6767.05908203125
2015-11-05,6814.626953125
2015-11-06,6819.3935546875
2015-11-09,6720.35009765625
2015-11-10,6667.92333984375
2015-11-11,6672.689453125
2015-11-12,6672.689453125
2015-11-13,6644.091796875
2015-11-16,6648.857421875
2015-11-17,6625.02783203125
2015-11-18,6645.52197265625
2015-11-19,6648.857421875
2015-11-20,6647.90576171875
2015-11-23,6529.70361328125
2015-11-24,6604.5322265625
2015-11-25,6529.70361328125
2015-11-26,6529.70361328125
2015-11-27,6528.75
2015-11-30,6491.5732421875
2015-12-01,6433.42578125
2015-12-02,6433.42578125
2015-12-03,6386.71630859375
2015-12-04,6386.71630859375
2015-12-07,6386.71630859375
2015-12-09,6285.673828125
2015-12-10,6339.24560546875
2015-12-11,6339.05517578125
2015-12-14,6300.92578125
2015-12-15,6286.5322265625
2015-12-16,6415.314453125
2015-12-17,6482.04052734375
2015-12-18,6462.97607421875
2015-12-21,6205.6005859375
2015-12-22,6206.5537109375
2015-12-23,6339.05517578125
2015-12-24,6339.05517578125
2015-12-28,6415.314453125
2015-12-29,6296.15869140625
2015-12-30,6291.39208984375
2015-12-31,6291.39208984375
2016-01-04,6102.74609375
2016-01-05,6138.8740234375
2016-01-06,6100.74462890625
2016-01-07,6072.1474609375
2016-01-08,6005.4208984375
2016-01-11,6005.4208984375
2016-01-12,5910.09619140625
2016-01-13,5720.40087890625
2016-01-14,5728.97998046875
2016-01-15,5814.77197265625
2016-01-18,5814.77197265625
2016-01-19,5814.77197265625
2016-01-20,5786.17529296875
2016-01-21,5786.17529296875
2016-01-22,5862.43408203125
2016-01-25,5863.38720703125
2016-01-26,5814.77197265625
2016-01-27,5718.49560546875
2016-01-28,5814.77197265625
2016-01-29,6100.74462890625
2016-02-01,5958.71240234375
2016-02-02,5815.724609375
2016-02-03,5814.77197265625
2016-02-04,5814.77197265625
2016-02-05,5833.93310546875
2016-02-08,5805.3349609375
2016-02-09,5814.77197265625
