Date,GOOG
2015-08-03,31.374008178710938
2015-08-04,31.276586532592773
2015-08-05,31.99879264831543
2015-08-06,31.94411849975586
2015-08-07,31.577299118041992
2015-08-10,31.499263763427734
2015-08-11,32.84376907348633
2015-08-12,32.78313446044922
2015-08-13,32.628543853759766
2015-08-14,32.66184997558594
2015-08-17,32.848243713378906
2015-08-18,32.61264419555664
2015-08-19,32.84973907470703
2015-08-20,32.150386810302734
2015-08-21,30.443042755126953
2015-08-24,29.306297302246094
2015-08-25,28.9310302734375
2015-08-26,31.24527359008789
2015-08-27,31.69211769104004
2015-08-28,31.332752227783203
2015-08-31,30.72983741760254
2015-09-01,29.71288299560547
2015-09-02,30.535491943359375
2015-09-03,30.133384704589844
2015-09-04,29.85752296447754
2015-09-08,30.5513973236084
2015-09-09,30.45496940612793
2015-09-10,30.883920669555664
2015-09-11,31.10361671447754
2015-09-14,30.977863311767578
2015-09-15,31.569347381591797
2015-09-16,31.611099243164062
2015-09-17,31.955055236816406
2015-09-18,31.276586532592773
2015-09-21,31.584259033203125
2015-09-22,30.95052719116211
2015-09-23,30.93412208557129
2015-09-24,31.1051082611084
2015-09-25,30.417692184448242
2015-09-28,29.56873893737793
2015-09-29,29.572715759277344
2015-09-30,30.241241455078125
2015-10-01,30.383893966674805
2015-10-02,31.160280227661133
2015-10-05,31.883975982666016
2015-10-06,32.081302642822266
2015-10-07,31.92821502685547
2015-10-08,31.769161224365234
2015-10-09,31.990341186523438
2015-10-12,32.1424446105957
2015-10-13,32.42228317260742
2015-10-14,32.36560821533203
2015-10-15,32.89148712158203
2015-10-16,32.91434860229492
2015-10-19,33.10820007324219
2015-10-20,32.32187271118164
2015-10-21,31.940643310546875
2015-10-22,32.39693069458008
2015-10-23,34.89258575439453
2015-10-26,35.428409576416016
2015-10-27,35.215179443359375
2015-10-28,35.436859130859375
2015-10-29,35.634185791015625
2015-10-30,35.33049011230469
2015-11-02,35.84244155883789
2015-11-03,35.89463806152344
2015-11-04,36.19037628173828
2015-11-05,36.34645462036133
2015-11-06,36.47120666503906
2015-11-09,36.03032684326172
2015-11-10,36.20081329345703
2015-11-11,36.55272674560547
2015-11-12,36.345458984375
2015-11-13,35.638160705566406
2015-11-16,36.232627868652344
2015-11-17,36.05070877075195
2015-11-18,36.78136444091797
2015-11-19,36.70233917236328
2015-11-20,37.60646438598633
2015-11-23,37.57564163208008
2015-11-24,37.19292449951172
2015-11-25,37.18646240234375
2015-11-27,37.29133605957031
2015-11-30,36.91059875488281
2015-12-01,38.1253776550293
2015-12-02,37.89375305175781
