Date,ROK
2015-08-03,94.53155517578125
2015-08-04,94.24461364746094
2015-08-05,95.12179565429688
2015-08-06,95.44153594970703
2015-08-07,95.0152359008789
2015-08-10,97.5074462890625
2015-08-11,95.7038803100586
2015-08-12,94.96603393554688
2015-08-13,94.96602630615234
2015-08-14,95.77397918701172
2015-08-17,96.458251953125
2015-08-18,95.37001037597656
2015-08-19,93.99320220947266
2015-08-20,91.7013168334961
2015-08-21,89.81334686279297
2015-08-24,86.70526885986328
2015-08-25,85.38615417480469
2015-08-26,88.29640197753906
2015-08-27,91.69304656982422
2015-08-28,92.0640640258789
2015-08-31,92.19593811035156
2015-09-01,88.66740417480469
2015-09-02,89.32694244384766
2015-09-03,89.0301284790039
2015-09-04,87.60388946533203
2015-09-08,90.37397003173828
2015-09-09,87.54618072509766
2015-09-10,86.68876647949219
2015-09-11,87.30709838867188
2015-09-14,86.51563262939453
2015-09-15,87.84296417236328
2015-09-16,88.692138671875
2015-09-17,87.25761413574219
2015-09-18,85.56756591796875
2015-09-21,85.74891662597656
2015-09-22,84.99868774414062
2015-09-23,83.59716033935547
2015-09-24,83.30860900878906
2015-09-25,82.67381286621094
2015-09-28,82.36050415039062
2015-09-29,82.73973846435547
2015-09-30,83.65486145019531
2015-10-01,82.73973846435547
2015-10-02,84.42984771728516
2015-10-05,85.7654037475586
2015-10-06,86.01273345947266
2015-10-07,85.01521301269531
2015-10-08,86.9113540649414
2015-10-09,87.04328155517578
2015-10-12,86.99380493164062
2015-10-13,86.18588256835938
2015-10-14,85.61701965332031
2015-10-15,86.76294708251953
2015-10-16,85.97151184082031
2015-10-19,85.04816436767578
2015-10-20,86.02923583984375
2015-10-21,85.67472076416016
2015-10-22,88.25518035888672
2015-10-23,89.07136535644531
2015-10-26,88.68386840820312
2015-10-27,86.76294708251953
2015-10-28,89.63200378417969
2015-10-29,89.50006103515625
2015-10-30,89.99473571777344
2015-11-02,91.14891052246094
2015-11-03,90.80268859863281
2015-11-04,90.38221740722656
2015-11-05,89.82157897949219
2015-11-06,89.8628158569336
2015-11-09,88.86527252197266
