Date,TKO
2015-08-03,17.396150588989258
2015-08-04,19.1728515625
2015-08-05,19.845584869384766
2015-08-06,18.90549087524414
2015-08-07,18.948610305786133
2015-08-10,18.336246490478516
2015-08-11,17.939512252807617
2015-08-12,17.948137283325195
2015-08-13,18.120634078979492
2015-08-14,18.43112564086914
2015-08-17,18.534622192382812
2015-08-18,18.275875091552734
2015-08-19,18.707111358642578
2015-08-20,17.896390914916992
2015-08-21,17.715267181396484
2015-08-24,16.481931686401367
2015-08-25,16.680295944213867
2015-08-26,17.137409210205078
2015-08-27,17.24952507019043
2015-08-28,16.809669494628906
2015-08-31,17.3012752532959
2015-09-01,15.71431827545166
2015-09-02,16.266307830810547
2015-09-03,16.76654052734375
2015-09-04,16.24043083190918
2015-09-08,16.895912170410156
2015-09-09,16.801040649414062
2015-09-10,16.861417770385742
2015-09-11,17.199861526489258
2015-09-14,17.295318603515625
2015-09-15,16.609752655029297
2015-09-16,16.53165054321289
2015-09-17,16.53165054321289
2015-09-18,15.802701950073242
2015-09-21,15.75930118560791
2015-09-22,15.516319274902344
2015-09-23,15.273338317871094
2015-09-24,15.316729545593262
2015-09-25,14.86546802520752
2015-09-28,14.344785690307617
2015-09-29,14.414214134216309
2015-09-30,14.665870666503906
2015-10-01,14.908858299255371
2015-10-02,15.012991905212402
2015-10-05,15.577071189880371
2015-10-06,15.5944242477417
2015-10-07,16.28866195678711
2015-10-08,16.965551376342773
2015-10-09,17.08704376220703
2015-10-12,17.303998947143555
2015-10-13,17.486230850219727
2015-10-14,16.800668716430664
2015-10-15,17.1738224029541
2015-10-16,17.008943557739258
2015-10-19,17.165143966674805
2015-10-20,17.625083923339844
2015-10-21,16.44487190246582
2015-10-22,16.696535110473633
2015-10-23,18.067663192749023
2015-10-26,18.058984756469727
2015-10-27,17.633758544921875
2015-10-28,17.31267547607422
2015-10-29,15.091097831726074
2015-10-30,15.472938537597656
2015-11-02,14.86546802520752
2015-11-03,14.717942237854004
2015-11-04,15.22994327545166
2015-11-05,15.143167495727539
2015-11-06,15.212591171264648
2015-11-09,14.839436531066895
2015-11-10,14.752655029296875
2015-11-11,14.79604434967041
2015-11-12,14.214616775512695
2015-11-13,14.214616775512695
2015-11-16,14.527026176452637
2015-11-17,14.492316246032715
2015-11-18,15.134488105773926
2015-11-19,14.856791496276855
2015-11-20,14.969610214233398
2015-11-23,14.943570137023926
2015-11-24,14.622483253479004
2015-11-25,14.839436531066895
2015-11-27,15.082422256469727
2015-11-30,14.743976593017578
2015-12-01,14.79604434967041
2015-12-02,15.125805854797363
2015-12-03,15.030351638793945
2015-12-04,14.908858299255371
2015-12-07,14.544382095336914
2015-12-08,14.622483253479004
2015-12-09,14.500990867614746
2015-12-10,14.023700714111328
2015-12-11,13.875069618225098
2015-12-14,14.067414283752441
2015-12-15,14.609477043151855
2015-12-16,15.273942947387695
2015-12-17,15.256457328796387
2015-12-18,15.037883758544922
2015-12-21,15.090343475341797
2015-12-22,15.588695526123047
2015-12-23,16.19195556640625
2015-12-24,16.4105224609375
2015-12-28,16.30561065673828
2015-12-29,16.35806655883789
2015-12-30,16.20943260192871
2015-12-31,15.597428321838379
2016-01-04,15.396340370178223
2016-01-05,15.064114570617676
2016-01-06,14.574503898620605
2016-01-07,14.268502235412598
2016-01-08,14.251012802124023
2016-01-11,14.364675521850586
2016-01-12,14.670673370361328
2016-01-13,14.076156616210938
2016-01-14,14.714393615722656
2016-01-15,14.68816089630127
2016-01-19,14.504557609558105
2016-01-20,14.452102661132812
2016-01-21,13.945013046264648
2016-01-22,14.635706901550293
2016-01-25,15.11656665802002
2016-01-26,15.737318992614746
2016-01-27,15.361369132995605
2016-01-28,15.57994270324707
2016-01-29,15.64988899230957
2016-02-01,15.562458038330078
2016-02-02,14.932968139648438
2016-02-03,14.539531707763672
2016-02-04,14.871768951416016
2016-02-05,14.48707389831543
2016-02-08,14.417133331298828
2016-02-09,14.399646759033203
2016-02-10,13.770153999328613
2016-02-11,13.061975479125977
2016-02-12,12.808427810668945
2016-02-16,13.429179191589355
2016-02-17,13.525348663330078
2016-02-18,13.324260711669922
2016-02-19,13.420435905456543
2016-02-22,14.294730186462402
2016-02-23,14.364675521850586
2016-02-24,14.277247428894043
2016-02-25,14.539531707763672
2016-02-26,14.705652236938477
2016-02-29,14.618219375610352
2016-03-01,14.731878280639648
2016-03-02,15.13405704498291
2016-03-03,15.466287612915039
2016-03-04,15.378854751586914
2016-03-07,15.76354694366455
2016-03-08,15.737318992614746
2016-03-09,15.606172561645508
2016-03-10,15.28268051147461
2016-03-11,15.626018524169922
2016-03-14,15.784476280212402
2016-03-15,15.643627166748047
2016-03-16,15.73165512084961
2016-03-17,16.497549057006836
2016-03-18,15.84610366821289
2016-03-21,15.714046478271484
2016-03-22,15.511578559875488
2016-03-23,15.273880958557129
2016-03-24,15.071404457092285
2016-03-28,15.749260902404785
2016-03-29,16.145414352416992
2016-03-30,15.661229133605957
2016-03-31,15.546780586242676
2016-04-01,15.238669395446777
2016-04-04,14.578411102294922
2016-04-05,14.763285636901855
2016-04-06,14.48157787322998
2016-04-07,14.085426330566406
2016-04-08,14.270295143127441
2016-04-11,13.786110877990723
2016-04-12,14.226276397705078
2016-04-13,14.331916809082031
2016-04-14,14.270295143127441
2016-04-15,14.38473892211914
2016-04-18,14.472774505615234
2016-04-19,14.402347564697266
2016-04-20,14.780891418457031
2016-04-21,14.569608688354492
2016-04-22,14.833710670471191
2016-04-25,14.74567699432373
2016-04-26,15.027388572692871
2016-04-27,14.85131549835205
