Date,KOTAKBANK.NS
2015-08-03,685.7353515625
2015-08-04,686.3811645507812
2015-08-05,687.4244384765625
2015-08-06,702.22802734375
2015-08-07,700.4396362304688
2015-08-10,702.7247924804688
2015-08-11,700.1417236328125
2015-08-12,681.711669921875
2015-08-13,686.2818603515625
2015-08-14,713.0574951171875
2015-08-17,715.143798828125
2015-08-18,700.5390014648438
2015-08-19,707.7918701171875
2015-08-20,692.9384765625
2015-08-21,683.5496215820312
2015-08-24,643.4109497070312
2015-08-25,635.313720703125
2015-08-26,623.1925659179688
2015-08-27,646.1928100585938
2015-08-28,643.2619018554688
2015-08-31,647.4844360351562
2015-09-01,609.7799072265625
2015-09-02,604.7625122070312
2015-09-03,623.0435180664062
2015-09-04,602.378173828125
2015-09-07,596.7645874023438
2015-09-08,616.386962890625
2015-09-09,630.5943603515625
2015-09-10,631.1904907226562
2015-09-11,627.1666870117188
2015-09-14,641.5729370117188
2015-09-15,635.860107421875
2015-09-16,636.8536376953125
2015-09-18,653.1475219726562
2015-09-21,661.1454467773438
2015-09-22,638.5426025390625
2015-09-23,654.3896484375
2015-09-24,650.2167358398438
2015-09-28,636.9530029296875
2015-09-29,647.2857055664062
2015-09-30,643.9076538085938
2015-10-01,636.7045288085938
2015-10-05,648.8256225585938
2015-10-06,651.5082397460938
2015-10-07,656.2275390625
2015-10-08,649.3721313476562
2015-10-09,655.2339477539062
2015-10-12,657.7674560546875
2015-10-13,651.8062133789062
2015-10-14,648.6268920898438
2015-10-15,649.2230834960938
2015-10-16,655.03515625
2015-10-19,654.0913696289062
2015-10-20,649.8192749023438
2015-10-21,652.3527221679688
2015-10-23,660.8970336914062
2015-10-26,657.6185302734375
2015-10-27,656.1777954101562
2015-10-28,667.106689453125
2015-10-29,659.704833984375
2015-10-30,683.2018432617188
2015-11-02,682.059326171875
2015-11-03,678.6812744140625
2015-11-04,668.4976196289062
2015-11-05,646.3915405273438
2015-11-06,652.25341796875
2015-11-09,655.830078125
2015-11-10,642.665771484375
2015-11-13,665.2686157226562
2015-11-16,674.7071533203125
2015-11-17,672.7698364257812
2015-11-18,668.447998046875
2015-11-19,677.687744140625
2015-11-20,677.8864135742188
2015-11-23,679.6747436523438
2015-11-24,673.2168579101562
2015-11-26,680.7677612304688
2015-11-27,694.2301635742188
2015-11-30,687.8714599609375
2015-12-01,684.1458740234375
2015-12-02,676.0485229492188
2015-12-03,670.4349365234375
2015-12-04,660.3507080078125
2015-12-07,667.2557373046875
2015-12-08,669.6401977539062
2015-12-09,664.275146484375
2015-12-10,673.5149536132812
2015-12-11,663.3809204101562
2015-12-14,669.7394409179688
2015-12-15,682.1586303710938
2015-12-16,690.007568359375
2015-12-17,698.6513061523438
2015-12-18,697.9061279296875
2015-12-21,701.3338012695312
2015-12-22,693.6836547851562
2015-12-23,698.00537109375
2015-12-24,696.813232421875
2015-12-28,703.4202880859375
2015-12-29,701.6319580078125
2015-12-30,704.5628662109375
2015-12-31,715.3922729492188
2016-01-01,722.5457763671875
2016-01-04,700.7376708984375
2016-01-05,703.1718139648438
2016-01-06,699.0486450195312
2016-01-07,687.176025390625
2016-01-08,690.6035766601562
2016-01-11,696.31640625
2016-01-12,687.5238037109375
2016-01-13,684.6922607421875
2016-01-14,679.6747436523438
2016-01-15,671.229736328125
2016-01-18,663.0829467773438
2016-01-19,664.37451171875
2016-01-20,658.3635864257812
2016-01-21,656.5751953125
2016-01-22,678.6316528320312
2016-01-25,676.594970703125
2016-01-27,670.2362670898438
2016-01-28,658.9595336914062
2016-01-29,679.1781005859375
2016-02-01,683.2515869140625
2016-02-02,672.7698364257812
2016-02-03,661.2448120117188
2016-02-04,671.8756713867188
2016-02-05,687.5238037109375
2016-02-08,668.7459106445312
2016-02-09,672.6704711914062
2016-02-10,663.0330810546875
2016-02-11,624.8816528320312
2016-02-12,617.9766235351562
2016-02-15,621.2056274414062
2016-02-16,616.2378540039062
2016-02-17,621.255126953125
2016-02-18,631.4388427734375
2016-02-19,627.1170654296875
2016-02-22,636.058837890625
2016-02-23,618.9700927734375
2016-02-24,614.7476196289062
2016-02-25,602.9244995117188
2016-02-26,611.7669677734375
2016-02-29,626.3221435546875
2016-03-01,634.3201293945312
2016-03-02,652.0547485351562
2016-03-03,653.39599609375
2016-03-04,661.34423828125
2016-03-08,646.341796875
2016-03-09,655.6314086914062
2016-03-10,650.3656616210938
2016-03-11,638.4930419921875
2016-03-14,632.680908203125
2016-03-15,635.36328125
2016-03-16,647.0372924804688
2016-03-17,647.0372924804688
2016-03-18,654.5385131835938
2016-03-21,659.4068603515625
2016-03-22,661.989990234375
2016-03-23,655.6810302734375
2016-03-28,665.2686157226562
2016-03-29,667.1563720703125
2016-03-30,679.426513671875
2016-03-31,676.2472534179688
2016-04-01,675.5020141601562
2016-04-04,682.8540649414062
2016-04-05,664.4241943359375
2016-04-06,663.678955078125
2016-04-07,658.2145385742188
2016-04-08,661.046142578125
2016-04-11,666.9576416015625
2016-04-12,672.968505859375
2016-04-13,687.8714599609375
2016-04-18,678.9295654296875
2016-04-20,682.705078125
2016-04-21,682.2579956054688
2016-04-22,671.7266845703125
2016-04-25,676.0485229492188
