Date,GIVN.SW
2015-08-24,1309.0179443359375
2015-08-25,1327.3759765625
2015-08-26,1308.2197265625
2015-08-27,1316.2015380859375
2015-08-28,1319.3941650390625
2015-08-31,1328.9725341796875
2015-09-01,1303.4306640625
2015-09-02,1310.6142578125
2015-09-03,1331.3670654296875
2015-09-04,1309.0179443359375
2015-09-07,1313.0089111328125
2015-09-08,1328.17431640625
2015-09-09,1333.7613525390625
2015-09-10,1313.0089111328125
2015-09-11,1317.7979736328125
2015-09-14,1295.448974609375
2015-09-15,1305.027099609375
2015-09-16,1309.8160400390625
2015-09-17,1303.4306640625
2015-09-18,1292.2559814453125
2015-09-21,1306.6234130859375
2015-09-22,1271.50341796875
2015-09-23,1259.5306396484375
2015-09-24,1238.7779541015625
2015-09-25,1262.7232666015625
2015-09-28,1248.356201171875
2015-09-29,1237.181640625
2015-09-30,1265.1177978515625
2015-10-01,1240.3743896484375
2015-10-02,1234.7869873046875
2015-10-05,1273.8980712890625
2015-10-06,1284.2742919921875
2015-10-07,1282.6781005859375
2015-10-08,1295.448974609375
2015-10-09,1352.917724609375
2015-10-12,1352.917724609375
2015-10-13,1352.1197509765625
2015-10-14,1348.927001953125
2015-10-15,1376.8634033203125
2015-10-16,1382.4505615234375
2015-10-19,1392.8270263671875
2015-10-20,1350.5234375
2015-10-21,1359.3033447265625
2015-10-22,1397.6160888671875
2015-10-23,1410.3870849609375
2015-10-26,1414.3779296875
2015-10-27,1403.203369140625
2015-10-28,1417.5706787109375
2015-10-29,1413.579833984375
2015-10-30,1412.781494140625
2015-11-02,1423.9561767578125
2015-11-03,1444.708984375
2015-11-04,1446.30517578125
2015-11-05,1460.6724853515625
2015-11-06,1460.6724853515625
2015-11-09,1431.93798828125
2015-11-10,1443.91064453125
2015-11-11,1447.901611328125
2015-11-12,1425.552490234375
2015-11-13,1410.3870849609375
2015-11-16,1417.5706787109375
2015-11-17,1439.1214599609375
2015-11-18,1443.91064453125
2015-11-19,1462.268798828125
2015-11-20,1472.6451416015625
2015-11-23,1463.8651123046875
2015-11-24,1439.919677734375
2015-11-25,1468.654296875
2015-11-26,1467.8560791015625
2015-11-27,1472.6451416015625
2015-11-30,1482.2232666015625
2015-12-01,1468.654296875
2015-12-02,1474.241455078125
2015-12-03,1454.287109375
2015-12-04,1445.507080078125
2015-12-07,1463.8651123046875
2015-12-08,1466.259765625
2015-12-09,1456.6812744140625
2015-12-10,1427.148681640625
2015-12-11,1407.1942138671875
2015-12-14,1417.5706787109375
2015-12-15,1454.287109375
2015-12-16,1441.51611328125
2015-12-17,1443.1124267578125
2015-12-18,1407.1942138671875
2015-12-21,1404.7996826171875
2015-12-22,1410.3870849609375
2015-12-23,1439.919677734375
2015-12-28,1448.69970703125
2015-12-29,1467.8560791015625
2015-12-30,1455.085205078125
2016-01-04,1411.1851806640625
2016-01-05,1416.7725830078125
2016-01-06,1411.1851806640625
2016-01-07,1395.221435546875
2016-01-08,1368.0833740234375
2016-01-11,1388.037841796875
2016-01-12,1408.7906494140625
2016-01-13,1446.30517578125
2016-01-14,1435.130615234375
2016-01-15,1414.3779296875
2016-01-18,1412.781494140625
2016-01-19,1444.708984375
2016-01-20,1397.6160888671875
2016-01-21,1407.1942138671875
2016-01-22,1446.30517578125
2016-01-25,1466.259765625
2016-01-26,1483.8197021484375
2016-01-27,1492.599853515625
2016-01-28,1483.8197021484375
2016-01-29,1522.132568359375
2016-02-01,1522.9306640625
2016-02-02,1522.9306640625
2016-02-03,1531.71044921875
2016-02-04,1498.18701171875
2016-02-05,1480.6270751953125
2016-02-08,1448.69970703125
2016-02-09,1435.130615234375
2016-02-10,1430.3416748046875
2016-02-11,1392.02880859375
2016-02-12,1408.7906494140625
2016-02-15,1445.507080078125
2016-02-16,1455.88330078125
2016-02-17,1483.0216064453125
2016-02-18,1487.810791015625
2016-02-19,1492.599853515625
2016-02-22,1511.7559814453125
2016-02-23,1487.810791015625
2016-02-24,1487.810791015625
2016-02-25,1492.599853515625
2016-02-26,1498.9849853515625
2016-02-29,1496.5906982421875
2016-03-01,1522.9306640625
2016-03-02,1504.5723876953125
2016-03-03,1498.18701171875
2016-03-04,1492.599853515625
2016-03-07,1502.177734375
2016-03-08,1498.9849853515625
2016-03-09,1504.5723876953125
2016-03-10,1494.994140625
2016-03-11,1510.9578857421875
2016-03-14,1511.7559814453125
2016-03-15,1518.1414794921875
2016-03-16,1530.912353515625
2016-03-17,1527.7196044921875
2016-03-18,1483.0216064453125
2016-03-21,1514.2603759765625
2016-03-22,1515.08251953125
2016-03-23,1557.8304443359375
2016-03-24,1549.609619140625
2016-03-29,1571.8056640625
2016-03-30,1571.8056640625
2016-03-31,1550.4317626953125
2016-04-01,1547.143310546875
2016-04-04,1545.499267578125
2016-04-05,1550.4317626953125
2016-04-06,1562.762939453125
2016-04-07,1558.652587890625
2016-04-08,1570.1614990234375
2016-04-11,1548.7874755859375
2016-04-12,1593.1795654296875
2016-04-13,1584.958740234375
2016-04-14,1583.314697265625
2016-04-15,1594.8236083984375
2016-04-18,1590.7132568359375
2016-04-19,1595.6456298828125
2016-04-20,1591.5352783203125
2016-04-21,1573.44970703125
2016-04-22,1575.9158935546875
2016-04-25,1579.2042236328125
2016-04-26,1576.7379150390625
2016-04-27,1572.627685546875
2016-04-28,1567.6953125
2016-04-29,1553.719970703125
2016-05-02,1573.44970703125
2016-05-03,1561.940673828125
2016-05-04,1546.321533203125
2016-05-06,1562.762939453125
2016-05-09,1577.5599365234375
2016-05-10,1590.7132568359375
