Date,SAB.MC
2015-08-24,1.1480721235275269
2015-08-25,1.1937637329101562
2015-08-26,1.1860407590866089
2015-08-27,1.2291579246520996
2015-08-28,1.235593318939209
2015-08-31,1.222723126411438
2015-09-01,1.1821800470352173
2015-09-02,1.1847543716430664
2015-09-03,1.142924189567566
2015-09-04,1.091441035270691
2015-09-07,1.085005283355713
2015-09-08,1.0933716297149658
2015-09-09,1.106242060661316
2015-09-10,1.0933716297149658
2015-09-11,1.0862925052642822
2015-09-14,1.082431674003601
2015-09-15,1.0901540517807007
2015-09-16,1.1030244827270508
2015-09-17,1.172526478767395
2015-09-18,1.1487160921096802
2015-09-21,1.130053162574768
2015-09-22,1.0998066663742065
2015-09-23,1.0624815225601196
2015-09-24,1.0296614170074463
2015-09-25,1.0303046703338623
2015-09-28,1.0444622039794922
2015-09-29,1.0560461282730103
2015-09-30,1.0566903352737427
2015-10-01,1.0566903352737427
2015-10-02,1.070847511291504
2015-10-05,1.1551512479782104
2015-10-06,1.1718833446502686
2015-10-07,1.2040600776672363
2015-10-08,1.251038908958435
2015-10-09,1.2973729372024536
2015-10-12,1.2806411981582642
2015-10-13,1.2394551038742065
2015-10-14,1.2484643459320068
2015-10-15,1.2632659673690796
2015-10-16,1.2664836645126343
2015-10-19,1.2542566061019897
2015-10-20,1.201486349105835
2015-10-21,1.2220791578292847
2015-10-22,1.244602918624878
2015-10-23,1.22658371925354
2015-10-26,1.197624683380127
2015-10-27,1.1609432697296143
2015-10-28,1.1454977989196777
2015-10-29,1.1416369676589966
2015-10-30,1.1319841146469116
2015-11-02,1.16287362575531
2015-11-03,1.1744575500488281
2015-11-04,1.164804220199585
2015-11-05,1.1229746341705322
2015-11-06,1.1654480695724487
2015-11-09,1.1493595838546753
2015-11-10,1.1197563409805298
2015-11-11,1.1229746341705322
2015-11-12,1.1010942459106445
2015-11-13,1.101737141609192
2015-11-16,1.0985196828842163
2015-11-17,1.1171826124191284
2015-11-18,1.1197563409805298
2015-11-19,1.1480721235275269
2015-11-20,1.1094603538513184
2015-11-23,1.1204004287719727
2015-11-24,1.1274794340133667
2015-11-25,1.106242060661316
2015-11-26,1.1120340824127197
2015-11-27,1.1030244827270508
2015-11-30,1.1242611408233643
2015-12-01,1.1454977989196777
2015-12-02,1.1242611408233643
2015-12-03,1.1358449459075928
2015-12-04,1.1454977989196777
2015-12-07,1.1139649152755737
2015-12-08,1.0946590900421143
2015-12-09,1.0933716297149658
2015-12-10,1.083074927330017
2015-12-11,1.0695605278015137
2015-12-14,1.0476806163787842
2015-12-15,1.085005283355713
2015-12-16,1.0882230997085571
2015-12-17,1.101737141609192
