Date,CUMMINSIND.NS
2015-08-21,953.2486572265625
2015-08-24,869.5189208984375
2015-08-25,930.8760375976562
2015-08-26,919.1055908203125
2015-08-27,901.950439453125
2015-08-28,927.3282470703125
2015-08-31,917.435791015625
2015-09-01,894.7716064453125
2015-09-02,889.8461303710938
2015-09-03,893.22705078125
2015-09-04,901.1157836914062
2015-09-07,885.7138061523438
2015-09-08,881.080810546875
2015-09-09,932.963134765625
2015-09-10,926.8275146484375
2015-09-11,925.6588134765625
2015-09-14,925.2413330078125
2015-09-15,916.5592651367188
2015-09-16,909.4637451171875
2015-09-18,932.0867919921875
2015-09-21,933.7562866210938
2015-09-22,920.4829711914062
2015-09-23,909.714111328125
2015-09-24,918.8966674804688
2015-09-28,913.9298706054688
2015-09-29,896.8165283203125
2015-09-30,914.4307861328125
2015-10-01,908.6707153320312
2015-10-05,921.6100463867188
2015-10-06,900.2809448242188
2015-10-07,888.38525390625
2015-10-08,876.2391357421875
2015-10-09,888.6774291992188
2015-10-12,887.80078125
2015-10-13,863.1328125
2015-10-14,877.07373046875
2015-10-15,880.0374145507812
2015-10-16,884.2948608398438
2015-10-19,886.8826904296875
2015-10-20,897.150634765625
2015-10-21,897.8602905273438
2015-10-23,887.2581787109375
2015-10-26,886.8826904296875
2015-10-27,886.9662475585938
2015-10-28,885.0877075195312
2015-10-29,887.7173461914062
2015-10-30,896.3157348632812
2015-11-02,899.1541748046875
2015-11-03,893.5191650390625
2015-11-04,903.9540405273438
2015-11-05,884.0861206054688
2015-11-06,872.73291015625
2015-11-09,875.3624267578125
2015-11-10,847.0631103515625
2015-11-13,844.5586547851562
2015-11-16,841.0108642578125
2015-11-17,828.2384643554688
2015-11-18,824.732421875
2015-11-19,831.369140625
2015-11-20,841.8873291015625
2015-11-23,839.299560546875
2015-11-24,842.6387329101562
2015-11-26,831.8698120117188
2015-11-27,830.45068359375
2015-11-30,827.6541748046875
2015-12-01,857.3309936523438
2015-12-02,845.7691650390625
2015-12-03,833.8316040039062
2015-12-04,830.45068359375
2015-12-07,837.9637451171875
2015-12-08,829.1150512695312
2015-12-09,829.4072265625
2015-12-10,827.5706787109375
2015-12-11,827.06982421875
2015-12-14,854.3674926757812
2015-12-15,847.897705078125
2015-12-16,844.141357421875
2015-12-17,852.6144409179688
2015-12-18,855.7866821289062
2015-12-21,865.344970703125
2015-12-22,854.4092407226562
2015-12-23,855.5362548828125
2015-12-24,859.7101440429688
2015-12-28,852.9483642578125
2015-12-29,856.6215209960938
2015-12-30,853.8665771484375
2015-12-31,860.0858764648438
2016-01-01,867.1815795898438
2016-01-04,854.3674926757812
2016-01-05,846.9376831054688
2016-01-06,842.8472290039062
2016-01-07,839.132568359375
2016-01-08,837.1708374023438
2016-01-11,822.4783325195312
2016-01-12,826.4437255859375
2016-01-13,812.4193115234375
2016-01-14,819.9739990234375
2016-01-15,811.5844116210938
