Date,RADICO.NS
2015-08-21,89.07425689697266
2015-08-24,86.11148071289062
2015-08-25,85.01239013671875
2015-08-26,86.3026351928711
2015-08-27,89.4565658569336
2015-08-28,87.16280364990234
2015-08-31,85.53805541992188
2015-09-01,82.52749633789062
2015-09-02,83.67436981201172
2015-09-03,82.95758056640625
2015-09-04,81.09390258789062
2015-09-07,79.37357330322266
2015-09-08,80.23372650146484
2015-09-09,83.57879638671875
2015-09-10,81.38063049316406
2015-09-11,81.95405578613281
2015-09-14,81.38063049316406
2015-09-15,80.47267150878906
2015-09-16,80.3770980834961
2015-09-18,80.99832916259766
2015-09-21,82.09741973876953
2015-09-22,80.61602783203125
2015-09-23,81.14672088623047
2015-09-24,79.89237213134766
2015-09-28,80.71251678466797
2015-09-29,80.56778717041016
2015-09-30,81.3396987915039
2015-10-01,83.70366668701172
2015-10-05,83.4141845703125
2015-10-06,82.9317398071289
2015-10-07,83.4141845703125
2015-10-08,82.78702545166016
2015-10-09,82.44930267333984
2015-10-12,81.29144287109375
2015-10-13,82.30457305908203
2015-10-14,85.15099334716797
2015-10-15,85.48869323730469
2015-10-16,89.92715454101562
2015-10-19,91.42271423339844
2015-10-20,96.1024169921875
2015-10-21,94.02790069580078
2015-10-23,96.29539489746094
2015-10-26,93.20775604248047
2015-10-27,93.93143463134766
2015-10-28,97.40499877929688
2015-10-29,99.23828887939453
2015-10-30,98.27340698242188
2015-11-02,100.05842590332031
2015-11-03,104.97933959960938
2015-11-04,104.1591796875
2015-11-05,101.69873809814453
2015-11-06,99.81721496582031
2015-11-09,105.36529541015625
2015-11-10,104.68988800048828
2015-11-13,116.6544418334961
2015-11-16,120.32099151611328
2015-11-17,118.05352783203125
2015-11-18,113.56680297851562
2015-11-19,116.36497497558594
2015-11-20,118.87366485595703
2015-11-23,124.56648254394531
2015-11-24,118.14998626708984
2015-11-26,110.62391662597656
2015-11-27,110.76863861083984
2015-11-30,109.707275390625
2015-12-01,106.04071044921875
2015-12-02,108.54942321777344
2015-12-03,106.8608627319336
2015-12-04,104.01447296142578
2015-12-07,104.78636169433594
2015-12-08,100.34790802001953
2015-12-09,97.79096984863281
2015-12-10,102.567138671875
2015-12-11,100.73387145996094
2015-12-14,105.99246978759766
2015-12-15,104.01447296142578
2015-12-16,106.57140350341797
2015-12-17,108.79063415527344
2015-12-18,111.73353576660156
2015-12-21,111.49230194091797
2015-12-22,109.6590347290039
2015-12-23,107.77750396728516
2015-12-24,110.67215728759766
2015-12-28,108.79063415527344
2015-12-29,107.72926330566406
2015-12-30,111.00987243652344
2015-12-31,115.30360412597656
2016-01-01,111.97474670410156
2016-01-04,110.76863861083984
2016-01-05,111.2510986328125
2016-01-06,107.72926330566406
2016-01-07,107.29505920410156
2016-01-08,113.37384033203125
2016-01-11,117.08863067626953
2016-01-12,110.62391662597656
2016-01-13,108.74238586425781
2016-01-14,107.53628540039062
2016-01-15,100.92683410644531
2016-01-18,102.37416076660156
2016-01-19,104.5933837890625
2016-01-20,103.38729095458984
2016-01-21,105.55828094482422
2016-01-22,108.01872253417969
2016-01-25,107.82575225830078
2016-01-27,109.46604919433594
2016-01-28,107.68101501464844
2016-01-29,109.99673461914062
2016-02-01,110.81690216064453
2016-02-02,110.67215728759766
2016-02-03,108.4046859741211
2016-02-04,105.26880645751953
2016-02-05,109.56254577636719
2016-02-08,104.73812103271484
2016-02-09,103.29080200195312
2016-02-10,102.85660552978516
2016-02-11,94.17265319824219
2016-02-12,93.73845672607422
2016-02-15,95.90943145751953
2016-02-16,94.51034545898438
2016-02-17,95.0410385131836
2016-02-18,94.99278259277344
2016-02-19,96.24716186523438
2016-02-22,98.27340698242188
2016-02-23,96.44012451171875
2016-02-24,94.75157928466797
2016-02-25,93.40074157714844
2016-02-26,89.1552505493164
2016-02-29,91.85691833496094
2016-03-01,93.49723052978516
2016-03-02,93.01480102539062
2016-03-03,98.75582885742188
2016-03-04,98.128662109375
2016-03-08,97.11554718017578
2016-03-09,98.41813659667969
2016-03-10,96.87431335449219
2016-03-11,96.44012451171875
2016-03-14,96.1024169921875
2016-03-15,93.78668975830078
2016-03-16,93.64196014404297
2016-03-17,92.5323486328125
2016-03-18,93.01480102539062
2016-03-21,95.90943145751953
2016-03-22,92.29113006591797
2016-03-23,92.09814453125
2016-03-28,91.22975158691406
2016-03-29,90.36135864257812
2016-03-30,92.24286651611328
2016-03-31,92.00167083740234
2016-04-01,93.11127471923828
2016-04-04,93.83494567871094
2016-04-05,92.7253189086914
2016-04-06,90.84379577636719
2016-04-07,91.08502197265625
2016-04-08,91.47098541259766
2016-04-11,87.70792388916016
2016-04-12,84.37907409667969
2016-04-13,84.71678161621094
2016-04-18,85.34396362304688
2016-04-20,87.75616455078125
2016-04-21,90.21662139892578
2016-04-22,89.05876922607422
2016-04-25,88.286865234375
2016-04-26,88.62456512451172
2016-04-27,87.70792388916016
2016-04-28,85.68167114257812
2016-04-29,85.15099334716797
2016-05-02,85.24746704101562
2016-05-03,86.35709381103516
2016-05-04,85.15099334716797
2016-05-05,86.16412353515625
2016-05-06,84.08961486816406
2016-05-09,89.68592834472656
2016-05-10,88.47982788085938
2016-05-11,88.33509826660156
2016-05-12,86.50181579589844
2016-05-13,85.34396362304688
2016-05-16,84.5238037109375
2016-05-17,85.53694152832031
2016-05-18,86.50181579589844
2016-05-19,84.86151123046875
2016-05-20,84.0413589477539
2016-05-23,82.64228057861328
2016-05-24,81.14672088623047
2016-05-25,81.67740631103516
2016-05-26,82.20807647705078
2016-05-27,81.8703842163086
