Date,ATUL.NS
2015-08-21,1407.4923095703125
2015-08-24,1198.1766357421875
2015-08-25,1202.709228515625
2015-08-26,1198.2733154296875
2015-08-27,1243.887451171875
2015-08-28,1259.0762939453125
2015-08-31,1304.642822265625
2015-09-01,1279.8585205078125
2015-09-02,1273.7830810546875
2015-09-03,1304.064208984375
2015-09-04,1267.99658203125
2015-09-07,1246.105712890625
2015-09-08,1242.8751220703125
2015-09-09,1259.4139404296875
2015-09-10,1294.372314453125
2015-09-11,1349.196533203125
2015-09-14,1357.5863037109375
2015-09-15,1330.8253173828125
2015-09-16,1344.133544921875
2015-09-18,1410.86767578125
2015-09-21,1462.123779296875
2015-09-22,1395.196533203125
2015-09-23,1395.3416748046875
2015-09-24,1400.3560791015625
2015-09-28,1440.52197265625
2015-09-29,1443.125732421875
2015-09-30,1500.071533203125
2015-10-01,1544.6732177734375
2015-10-05,1528.5687255859375
2015-10-06,1532.6673583984375
2015-10-07,1534.7886962890625
2015-10-08,1529.9669189453125
2015-10-09,1522.541259765625
2015-10-12,1520.226806640625
2015-10-13,1554.1241455078125
2015-10-14,1540.0926513671875
2015-10-15,1525.67529296875
2015-10-16,1504.45947265625
2015-10-19,1523.7467041015625
2015-10-20,1523.5057373046875
2015-10-21,1522.734130859375
2015-10-23,1531.606201171875
2015-10-26,1508.9918212890625
2015-10-27,1523.650146484375
2015-10-28,1508.8955078125
2015-10-29,1508.220458984375
2015-10-30,1610.7325439453125
2015-11-02,1626.114013671875
2015-11-03,1704.372314453125
2015-11-04,1670.8607177734375
2015-11-05,1655.623779296875
2015-11-06,1664.4476318359375
2015-11-09,1677.6112060546875
2015-11-10,1628.9107666015625
2015-11-13,1600.799560546875
2015-11-16,1576.9796142578125
2015-11-17,1611.8897705078125
2015-11-18,1592.9400634765625
2015-11-19,1600.1728515625
2015-11-20,1619.653076171875
2015-11-23,1589.275390625
2015-11-24,1592.7952880859375
2015-11-26,1610.6844482421875
2015-11-27,1637.0596923828125
2015-11-30,1581.560546875
2015-12-01,1590.721923828125
2015-12-02,1569.7469482421875
2015-12-03,1611.407470703125
2015-12-04,1578.1368408203125
2015-12-07,1568.252197265625
2015-12-08,1537.826416015625
2015-12-09,1528.08642578125
2015-12-10,1516.0799560546875
2015-12-11,1500.26416015625
2015-12-14,1503.012939453125
2015-12-15,1537.3927001953125
2015-12-16,1520.9501953125
2015-12-17,1571.48291015625
2015-12-18,1564.876708984375
2015-12-21,1544.5770263671875
2015-12-22,1529.9183349609375
2015-12-23,1550.8450927734375
2015-12-24,1568.300537109375
2015-12-28,1559.765869140625
2015-12-29,1546.3128662109375
2015-12-30,1547.084228515625
2015-12-31,1554.317138671875
2016-01-01,1615.8917236328125
2016-01-04,1637.975830078125
2016-01-05,1636.6256103515625
2016-01-06,1616.9044189453125
2016-01-07,1569.6988525390625
2016-01-08,1573.700927734375
2016-01-11,1557.9815673828125
2016-01-12,1528.4237060546875
2016-01-13,1504.9415283203125
2016-01-14,1479.96435546875
2016-01-15,1441.9683837890625
2016-01-18,1397.9932861328125
2016-01-19,1397.318115234375
2016-01-20,1340.0831298828125
2016-01-21,1353.6806640625
2016-01-22,1413.18212890625
2016-01-25,1410.24072265625
2016-01-27,1407.7816162109375
2016-01-28,1400.9346923828125
2016-01-29,1400.74169921875
2016-02-01,1395.4376220703125
2016-02-02,1450.3583984375
2016-02-03,1402.6220703125
2016-02-04,1424.272216796875
2016-02-05,1409.131591796875
2016-02-08,1407.3475341796875
2016-02-09,1410.6268310546875
2016-02-10,1417.7628173828125
2016-02-11,1355.320068359375
2016-02-12,1299.1939697265625
2016-02-15,1350.6912841796875
2016-02-16,1274.0723876953125
2016-02-17,1301.2193603515625
2016-02-18,1317.0831298828125
2016-02-19,1345.3388671875
2016-02-22,1347.798095703125
2016-02-23,1333.477294921875
2016-02-24,1305.462158203125
2016-02-25,1311.0074462890625
2016-02-26,1312.2130126953125
2016-02-29,1304.449951171875
2016-03-01,1352.427001953125
2016-03-02,1375.1378173828125
2016-03-03,1377.2596435546875
2016-03-04,1375.861083984375
2016-03-08,1391.8212890625
2016-03-09,1400.8382568359375
2016-03-10,1390.5196533203125
2016-03-11,1411.1568603515625
2016-03-14,1444.4755859375
2016-03-15,1441.8720703125
2016-03-16,1442.498779296875
2016-03-17,1455.083740234375
2016-03-18,1459.2789306640625
2016-03-21,1465.739990234375
2016-03-22,1469.597412109375
2016-03-23,1461.062744140625
2016-03-28,1417.9075927734375
2016-03-29,1436.519775390625
2016-03-30,1437.4359130859375
2016-03-31,1479.626953125
2016-04-01,1465.7884521484375
2016-04-04,1481.603759765625
2016-04-05,1542.6002197265625
2016-04-06,1571.1934814453125
2016-04-07,1613.1434326171875
2016-04-08,1598.0029296875
2016-04-11,1631.4664306640625
2016-04-12,1648.101806640625
2016-04-13,1672.8857421875
2016-04-18,1739.7647705078125
2016-04-20,1734.653564453125
2016-04-21,1710.1104736328125
2016-04-22,1691.54638671875
2016-04-25,1691.0643310546875
2016-04-26,1716.5234375
2016-04-27,1760.4505615234375
2016-04-28,1762.7650146484375
2016-04-29,1736.7750244140625
2016-05-02,1666.76220703125
2016-05-03,1768.5989990234375
2016-05-04,1732.3388671875
2016-05-05,1809.7294921875
2016-05-06,1831.6685791015625
2016-05-09,1866.771728515625
2016-05-10,1882.2979736328125
2016-05-11,1919.32958984375
2016-05-12,1953.9986572265625
2016-05-13,1895.6060791015625
2016-05-16,1828.341796875
2016-05-17,1859.394287109375
2016-05-18,1839.8658447265625
2016-05-19,1813.249267578125
