Date,ADANIENT.NS
2015-08-21,43.32522964477539
2015-08-24,37.65231704711914
2015-08-25,38.28557205200195
2015-08-26,37.995338439941406
2015-08-27,42.11149215698242
2015-08-28,40.6866569519043
2015-08-31,39.657623291015625
2015-09-01,37.995338439941406
2015-09-02,37.59954833984375
2015-09-03,38.52304458618164
2015-09-04,36.62327575683594
2015-09-07,35.515079498291016
2015-09-08,36.09556198120117
2015-09-09,37.177371978759766
2015-09-10,36.676048278808594
2015-09-11,36.62327575683594
2015-09-14,40.6866569519043
2015-09-15,38.76051330566406
2015-09-16,39.393768310546875
2015-09-18,41.135231018066406
2015-09-21,42.82390213012695
2015-09-22,41.37269592285156
2015-09-23,42.217041015625
2015-09-24,42.37534713745117
2015-09-28,42.401737213134766
2015-09-29,41.71570587158203
2015-09-30,42.66558837890625
2015-10-01,42.50727462768555
2015-10-05,43.404388427734375
2015-10-06,44.40704345703125
2015-10-07,44.77643585205078
2015-10-08,44.40704345703125
2015-10-09,44.30150604248047
2015-10-12,45.43608474731445
2015-10-13,44.881980895996094
2015-10-14,44.750057220458984
2015-10-15,51.05622863769531
2015-10-16,50.71321105957031
2015-10-19,49.47309494018555
2015-10-20,50.66044235229492
2015-10-21,49.44670104980469
2015-10-23,49.63140869140625
2015-10-26,48.36488723754883
2015-10-27,48.44404602050781
2015-10-28,48.07464599609375
2015-10-29,48.10103225708008
2015-10-30,48.76067352294922
2015-11-02,46.64982604980469
2015-11-03,46.64982604980469
2015-11-04,44.96113586425781
2015-11-05,43.034996032714844
2015-11-06,41.71570587158203
2015-11-09,41.92679214477539
2015-11-10,40.26449966430664
2015-11-13,39.815940856933594
2015-11-16,40.6866569519043
2015-11-17,42.29618835449219
2015-11-18,41.135231018066406
2015-11-19,41.135231018066406
2015-11-20,41.267147064208984
2015-11-23,41.821250915527344
2015-11-24,42.005958557128906
2015-11-26,43.589088439941406
2015-11-27,43.404388427734375
2015-11-30,43.48354721069336
2015-12-01,43.008602142333984
2015-12-02,43.9584846496582
2015-12-03,42.71836471557617
2015-12-04,41.689327239990234
2015-12-07,41.84764099121094
2015-12-08,40.23810577392578
2015-12-09,39.736785888671875
2015-12-10,39.815940856933594
2015-12-11,38.44388961791992
2015-12-14,39.6048583984375
2015-12-15,41.45185089111328
2015-12-16,40.9769172668457
2015-12-17,42.2434196472168
2015-12-18,42.269805908203125
2015-12-21,42.98222351074219
2015-12-22,42.9030647277832
2015-12-23,43.457157135009766
2015-12-24,44.45981979370117
2015-12-28,44.327884674072266
