Date,ERIC-B.ST
2015-08-24,60.22362518310547
2015-08-25,62.43714904785156
2015-08-26,61.86469268798828
2015-08-27,63.887420654296875
2015-08-28,63.7729377746582
2015-08-31,63.00962829589844
2015-09-01,61.78834533691406
2015-09-02,61.635719299316406
2015-09-03,63.69659423828125
2015-09-04,61.635719299316406
2015-09-07,62.20817184448242
2015-09-08,62.93331527709961
2015-09-09,63.39127731323242
2015-09-10,62.704322814941406
2015-09-11,62.399009704589844
2015-09-14,61.750205993652344
2015-09-15,61.25406265258789
2015-09-16,61.36855697631836
2015-09-17,61.750205993652344
2015-09-18,59.7656364440918
2015-09-21,60.109130859375
2015-09-22,59.84197235107422
2015-09-23,60.22362518310547
2015-09-24,59.422149658203125
2015-09-25,61.902862548828125
2015-09-28,60.147300720214844
2015-09-29,60.49075698852539
2015-09-30,62.742469787597656
2015-10-01,62.055511474609375
2015-10-02,62.47531509399414
2015-10-05,64.612548828125
2015-10-06,64.84152221679688
2015-10-07,64.91786193847656
2015-10-08,65.94828796386719
2015-10-09,66.02462005615234
2015-10-12,66.02462005615234
2015-10-13,64.68885040283203
2015-10-14,63.81108474731445
2015-10-15,65.87196350097656
2015-10-16,66.21544647216797
2015-10-19,65.83380126953125
2015-10-20,65.52848815917969
2015-10-21,66.06280517578125
2015-10-22,67.3985366821289
2015-10-23,63.35309982299805
2015-10-26,63.65842819213867
2015-10-27,61.750205993652344
2015-10-28,62.01736068725586
2015-10-29,63.35309982299805
2015-10-30,63.6202507019043
2015-11-02,63.16227722167969
2015-11-03,64.53621673583984
2015-11-04,65.83380126953125
2015-11-05,65.3376693725586
2015-11-06,65.10867309570312
2015-11-09,66.32994079589844
2015-11-10,62.2463493347168
2015-11-11,62.51349639892578
2015-11-12,61.40671920776367
2015-11-13,60.60525131225586
2015-11-16,62.66615295410156
2015-11-17,63.73475646972656
2015-11-18,63.23861312866211
2015-11-19,62.51349639892578
2015-11-20,63.31494140625
2015-11-23,63.31494140625
2015-11-24,62.93331527709961
2015-11-25,63.20045852661133
2015-11-26,64.42172241210938
2015-11-27,64.07823944091797
2015-11-30,64.07823944091797
2015-12-01,63.31494140625
2015-12-02,63.7729377746582
2015-12-03,63.23861312866211
2015-12-04,62.284507751464844
2015-12-07,62.284507751464844
2015-12-08,60.986907958984375
2015-12-09,59.7656364440918
2015-12-10,59.384010314941406
2015-12-11,58.3917236328125
2015-12-14,57.513938903808594
2015-12-15,58.506221771240234
2015-12-16,59.61298751831055
2015-12-17,60.22362518310547
2015-12-18,60.032798767089844
2015-12-21,61.78834533691406
2015-12-22,61.177738189697266
2015-12-23,62.742469787597656
2015-12-28,62.20817184448242
2015-12-29,63.04780578613281
2015-12-30,62.81881332397461
2016-01-04,60.68159484863281
2016-01-05,60.75791931152344
2016-01-07,59.155025482177734
2016-01-08,59.68932342529297
