Date,GICRE.NS
2017-10-25,379.10418701171875
2017-10-26,369.4997863769531
2017-10-27,361.99835205078125
2017-10-30,370.9306945800781
2017-10-31,373.7491455078125
2017-11-01,367.7003173828125
2017-11-02,363.2774963378906
2017-11-03,359.9169921875
2017-11-06,354.60528564453125
2017-11-07,349.81396484375
2017-11-08,346.90875244140625
2017-11-09,343.1580505371094
2017-11-10,356.4481506347656
2017-11-13,352.02532958984375
2017-11-14,357.6622314453125
2017-11-15,346.86541748046875
2017-11-16,348.0361633300781
2017-11-17,344.1770324707031
2017-11-20,346.822021484375
2017-11-21,345.36944580078125
2017-11-22,346.2366638183594
2017-11-23,344.3721923828125
2017-11-24,345.0659484863281
2017-11-27,341.3368835449219
2017-11-28,346.063232421875
2017-11-29,347.51580810546875
2017-11-30,348.2962951660156
2017-12-01,345.5645751953125
2017-12-04,345.0876159667969
2017-12-05,343.98187255859375
2017-12-06,347.2339782714844
2017-12-07,348.0361633300781
2017-12-08,347.494140625
2017-12-11,343.309814453125
2017-12-12,342.7027587890625
2017-12-13,341.2284851074219
2017-12-14,337.7379455566406
2017-12-15,338.38836669921875
2017-12-18,339.0821228027344
2017-12-19,339.2555847167969
2017-12-20,340.4263000488281
2017-12-21,338.4750671386719
2017-12-22,335.52655029296875
2017-12-26,338.0198059082031
2017-12-27,331.862548828125
2017-12-28,330.1498107910156
2017-12-29,326.81097412109375
2018-01-01,331.60235595703125
2018-01-02,330.7351379394531
2018-01-03,332.07928466796875
2018-01-04,332.92486572265625
2018-01-05,331.42889404296875
2018-01-08,334.78936767578125
2018-01-09,334.8327331542969
2018-01-10,334.26904296875
2018-01-11,334.07391357421875
2018-01-12,347.6892395019531
2018-01-15,346.8870849609375
2018-01-16,346.86541748046875
2018-01-17,344.74072265625
2018-01-18,343.76507568359375
2018-01-19,339.4073181152344
2018-01-22,340.2962341308594
2018-01-23,338.2149353027344
2018-01-24,336.11187744140625
2018-01-25,334.7460021972656
2018-01-29,332.4695739746094
2018-01-30,330.4099426269531
2018-01-31,328.0901184082031
2018-02-01,326.6158752441406
2018-02-02,316.25262451171875
2018-02-05,327.30963134765625
2018-02-06,327.006103515625
2018-02-07,331.6890869140625
2018-02-08,326.7893371582031
2018-02-09,323.1253356933594
2018-02-12,323.8407897949219
2018-02-14,338.4750671386719
2018-02-15,340.0793762207031
2018-02-16,334.07391357421875
2018-02-19,333.1850280761719
2018-02-20,327.8082580566406
2018-02-21,316.9680480957031
2018-02-22,315.0818786621094
2018-02-23,319.9599609375
2018-02-26,318.5073547363281
2018-02-27,315.6238708496094
2018-02-28,312.697021484375
2018-03-01,317.7052001953125
2018-03-05,314.3013610839844
2018-03-06,312.54522705078125
2018-03-07,305.6725769042969
2018-03-08,304.56683349609375
2018-03-09,304.8052978515625
2018-03-12,303.69964599609375
2018-03-13,305.5858459472656
2018-03-14,303.6779479980469
2018-03-15,307.0167236328125
2018-03-16,304.003173828125
2018-03-19,305.6942138671875
2018-03-20,305.7159423828125
2018-03-21,305.7159423828125
2018-03-22,305.7159423828125
2018-03-23,303.52618408203125
2018-03-26,303.5478820800781
2018-03-27,305.78094482421875
2018-03-28,318.3122253417969
2018-04-02,320.69708251953125
2018-04-03,323.7757263183594
2018-04-04,319.829833984375
2018-04-05,317.42333984375
2018-04-06,319.5046691894531
2018-04-09,320.198486328125
2018-04-10,318.8759765625
2018-04-11,316.3826904296875
2018-04-12,313.9111328125
2018-04-13,314.453125
2018-04-16,318.420654296875
2018-04-17,317.7702331542969
2018-04-18,319.2011413574219
2018-04-19,315.884033203125
